type,code,fullname
Деление,СМ,Смиддл-дивизия
Плей-офф,ok,Выиграли Кубок Стэнли
Деление,КВ,ВХА Канадский дивизион
Кругло,SF,Полуфиналы
Деление,АТ,Атлантический дивизион
Плей-офф,"Здравствуйте! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Пустые игры Кубка Стэнли
Кругло,КФ,Четвертьфиналы
Кругло,"Извините, я не понимаю ваш запрос. Можете ли вы повторить ваш запрос или предоставить дополнительную информацию, чтобы я мог помочь вам?",Финалы Дивизиона
Плей-офф,"Предложение: ""I am looking forward to the upcoming conference.""",Потеряемый предварительный раунд НХЛ
Деление,Нет,Норрис-дивизия
Конференция,ВВ,Западная конференция
Кругло,"CQF означает ""Комбинированная система оценки боевая эффективность"". Это система, используемая в вооруженных силах для оценки эффективности оружия, техники и систем.",Половинфиналы конференции
Деление,WD,Западный дивизион
Плей-офф,WSK,Вызов Серии Won
Плей-офф,НХЛФ,Потерянные финалы НХЛ
Конференция,КК,Конференция Кэмпбелла
Деление,СЕ,Южно-Восточный дивизион
Деление,ЦЕ,Центральный дивизион
Кругло,SFДЗП,Половина финала Кубка Стэнли
Кругло,ЧФ,Финал Кубка
Кругло,ВП,Западные плей-офф
Деление,ЕД,Восточный дивизион
Кругло,"Здравствуйте! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Конец года
Плей-офф,"Извините, я не понимаю ваш запрос. Можете ли вы повторить ваш запрос или предоставить дополнительную информацию, чтобы я мог помочь вам?",Пропущенные финалы Кубка НХЛ
Плей-офф,НД,НД - Финалы Кубка Стэнли прерваны (в связи с эпидемией гриппа)
Кругло,АФК,Финал Кубка Авко
Плей-офф,КФД,Половина полуфиналов НХЛ
Деление,Калифорния,Канадское отделение
Кругло,SCФ,Финал Кубка Стэнли
Плей-офф,НХФ,Потери на финальных экзаменах по НХА
Плей-офф,ПФ,Потерянные финалы ПЧП
Плей-офф,АВПР,Потеряло АВКО Кубок предварительный раунд
Плей-офф,SFДЗП,Половинfinale Кубка Стэнли
Деление,Ов,Восточный дивизион WHA
Плей-офф,avf,Финал Кубка АВКО
Кругло,Предложение,Предварительный
Конференция,ВА,Конференция Уэльса
Плей-офф,ВФ,Потеряные финалы WCHL
Деление,Н/Д,Северо-Западный Отдел
Плей-офф,Фонд защиты окружающей среды,Пропущенные полуфинальные матчи WCHL
Конференция,ЭК,Восточная конференция
Плей-офф,"CQF означает ""Комбинированная система оценки боевая эффективность"". Это система, используемая в вооруженных силах для оценки эффективности оружия, техники и систем.",Пропущенные матчи 1/4 финала конференции НХЛ
Кругло,КФД,Полуфинал
Плей-офф,SF,Пусть потеряешь полуфинал НХЛ
Деление,ПТ,Патрик Дивизион
Плей-офф,АВЦ,Вон АВКО Кубок
Плей-офф,КФ,Пропущенные четверти НХЛ
Деление,ВВ,Западный дивизион
Деление,АД,Отделение Адама
Плей-офф,ЧФ,Потерянные финалы конференции НХЛ
Плей-офф,АВКФ,Половина финала Кубка АВКО
Плей-офф,КГТ,Пропущенные игры полуфинала плей-офф НХЛ
Кругло,КГТ,Семфиналы конференции
Плей-офф,Авсф,Половин финала Кубка АВКО
Плей-офф,LKS,Выиграли Кубок Стэнли / Проиграли Серию вызовов
Деление,АМ,Американский дивизион
Деление,Компьютер,Тихоокеанский дивизион
Деление,НЭ,Восточно-Северный дивизион
