year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1991,NHL,EDM,16,8,8,0,49,54,340,0,14,78,0,17,90,1
1950,NHL,TOR,11,8,2,1,30,15,145,,,,,,,
1979,NHL,VAN,4,1,3,0,7,15,84,2,1,14,0,6,18,0
1967,NHL,LAK,7,3,4,0,21,26,114,,5,,1,4,,0
1954,NHL,DET,11,8,3,0,41,26,143,,,,,,,
1981,NHL,BOS,11,6,5,0,43,39,253,2,9,40,1,14,42,0
1938,NHL,MTL,3,1,2,0,5,8,39,,,,,,,
1973,WHA,HOU,14,12,2,0,71,35,,,,,,,,
1962,NHL,TOR,10,8,2,0,31,16,93,,,,,,,
2009,NHL,WAS,7,3,4,0,22,20,69,4,1,33,0,6,30,2
1986,NHL,MTL,17,10,7,0,67,54,433,6,16,60,2,11,63,3
2007,NHL,DET,22,16,6,0,72,41,243,4,20,106,0,14,98,6
1978,NHL,BOS,11,7,4,0,36,32,131,4,6,25,0,8,32,1
2008,NHL,STL,4,0,4,0,5,11,63,2,1,24,0,4,18,0
1977,NHL,ATF,2,0,2,0,5,8,24,0,0,4,1,3,6,0
1913,NHA,TBS,2,1,1,0,6,2,,,,,,,,
1982,NHL,EDM,16,11,5,0,80,50,372,0,14,72,2,18,74,10
2002,NHL,BOS,5,1,4,0,8,13,70,0,3,18,0,3,22,0
1927,NHL,OTS,2,0,2,0,1,3,24,,,,,,,
1974,WHA,TOT,6,2,4,0,27,29,,,,,,,,
2003,NHL,NYI,5,1,4,0,5,12,50,4,2,16,1,2,23,0
1989,NHL,CHI,20,10,10,0,69,65,532,6,18,109,1,22,109,5
1986,NHL,NYR,6,2,4,0,13,22,172,0,4,35,2,3,32,0
1989,NHL,CAL,6,2,4,0,24,29,149,6,2,33,1,10,46,2
1976,WHA,NEW,5,1,4,0,14,23,,,,,,,,
2006,NHL,TBL,6,2,4,0,14,19,110,2,4,26,0,7,28,1
1920,PCHA,VML,2,2,0,0,13,2,,,,,,,,
1931,NHL,MTM,4,1,1,2,6,5,24,,,,,,,
1987,NHL,LAK,5,1,4,0,18,30,178,4,8,38,,8,34,0
2001,NHL,STL,10,5,5,0,24,19,150,0,9,45,1,5,42,2
1950,NHL,MTL,11,5,6,0,23,25,86,,,,,,,
1979,NHL,LAK,4,1,3,0,10,21,73,2,1,16,2,3,15,2
1914,NHA,OT1,2,1,1,0,4,1,,,,,,,,
1921,WCHL,CAT,2,0,1,1,1,2,,,,,,,,
2001,NHL,NYI,7,3,4,0,21,22,169,2,11,38,0,5,43,0
1990,NHL,VAN,6,2,4,0,16,26,154,0,5,23,0,5,24,1
1989,NHL,EDM,22,16,6,0,93,60,288,0,21,99,2,14,98,4
1988,NHL,LAK,11,4,7,0,36,42,270,2,15,54,,11,57,1
1980,NHL,NYR,14,7,7,0,60,56,402,6,11,59,4,18,65,2
1987,NHL,NJD,20,11,9,0,67,71,871,10,23,117,,22,128,4
1992,NHL,VAN,12,6,6,0,46,43,188,2,12,56,2,12,56,0
2011,NHL,NYR,20,10,10,0,43,41,218,2,13,73,0,11,69,0
