type,code,fullname
Отдел,SM,Отдел Смайта
Воспроизведение,ПК,Выиграл Кубок Стэнли
Отдел,ХО,Отдел по делам женщин Канады
Круглая,SF,Полуфинал
Отдел,АТ,Атлантический отдел
Воспроизведение,F,Проиграл финал Кубка Стэнли
Круглая,QF,Четверо-финал
Круглая,DF,Окончательные результаты по разделу
Воспроизведение,PRE,Проиграл предварительный раунд НХЛ
Отдел,Нет,Отдел Норриса
Зал,ВК,Западная конференция
Круглая,CQF,Квартира-финансы конференций
Отдел,WD,Западный отдел
Воспроизведение,ВТС,Серия &lt; &lt; Вон вызов &gt; &gt;
Воспроизведение,НФЧМ,Проигранные финалы NHL
Зал,КК,Конференция &quot; Кэмпбелл &quot;
Отдел,SE,Юго-восточный отдел
Отдел,СЕ,Центральный отдел
Круглая,СКФ,Кубок Стэнли Полуфинал
Круглая,CF,Заключительные документы Конференции
Круглая,РГ,Западный плейофф
Отдел,Ред.,Восточный отдел
Круглая,F,Финал
Воспроизведение,DF,Проигранные финалы по разделу NHL
Воспроизведение,ND,Финал Кубка Стэнли прекратился (эпидемия гриппа)
Круглая,РВК,Финал Кубка Авто
Воспроизведение,DSF,Потерянные полуфиналы подкласса NHL
Отдел,КА,Канадский отдел
Круглая,ПКФ,Финал Кубка Стэнли
Воспроизведение,НКАФ,Проигранные финалы NHA
Воспроизведение,ПФ,Потерянные финалы PCHA
Воспроизведение,АВПРА,Проиграл предварительный раунд Кубка АВКО
Воспроизведение,СКФ,Проиграл полуфинал Кубка Стэнли
Отдел,ЭВ,Восточная дивизия WHA
Воспроизведение,АВФ,Проиграл финал Кубка AVCO
Круглая,Предварительно,Предварительные данные
Зал,WA,Конференция в Уэльсе
Воспроизведение,WF,Потерянные финалы WCHL
Отдел,НО,Северо-западный отдел
Воспроизведение,WSF,Потерянные полуфиналы WCHL
Зал,ЕС,Восточная конференция
Воспроизведение,CQF,"Пропавшая конференция NHL, четверть финала"
Круглая,DSF,Полуфинал
Воспроизведение,SF,Потерянные полуфиналы NHL
Отдел,PT,Отдел Патрика
Воспроизведение,AVC,Выиграл Кубок АВКО
Воспроизведение,QF,Потерянный четвертьфинал NHL
Отдел,WW,WHA West Division
Отдел,АД,Отдел Адамса
Воспроизведение,CF,Проигранные итоговые документы конференции NHL
Воспроизведение,AVQF,Проиграл четвертьфинала Кубка АВКО
Воспроизведение,СФК,Пропавшие полуфиналы конференции NHL
Круглая,СФК,Полуфинал Конференции
Воспроизведение,AVSF,Проиграл полуфинал Кубка АВКО
Воспроизведение,ЛСС,Вон Кубок Стэнли / Lost Challenge Series
Отдел,АМ,Американский отдел
Отдел,ПК,Тихоокеанский отдел
Отдел,Нет,Северо-восточный отдел
