playerid,year,stint,tmid,lgid,gp,min,w,l,t/ol,eng,sho,ga,sa,postgp,postmin,postw,postl,postt,posteng,postsho,postga,postsa
grayge01,1972,1,NYI,NHL,1.0,60.0,0.0,1.0,0.0,0.0,0.0,5.0,,,,,,,,,,
basseha01,1967,1,PIT,NHL,25.0,1299.0,7.0,10.0,3.0,2.0,1.0,62.0,,,,,,,,,,
malarcl01,1983,1,QUE,NHL,23.0,1215.0,10.0,9.0,2.0,0.0,0.0,80.0,591.0,,,,,,,,,
brimsfr01,1939,1,BOS,NHL,48.0,2950.0,31.0,12.0,5.0,,6.0,98.0,,6.0,360.0,2.0,4.0,,,0.0,15.0,
ellisda01,2010,1,TBL,NHL,31.0,1679.0,13.0,7.0,6.0,4.0,2.0,82.0,741.0,,,,,,,,,
theodjo01,1999,1,MTL,NHL,30.0,1655.0,12.0,13.0,2.0,2.0,5.0,58.0,717.0,,,,,,,,,
whiddbo01,1973,1,CLC,WHA,22.0,1232.0,7.0,12.0,3.0,0.0,1.0,80.0,680.0,,,,,,,,,
belfoed01,1989,1,CHI,NHL,,,,,,,,,,9.0,409.0,4.0,2.0,,0.0,0.0,17.0,200.0
legacma01,2003,1,DET,NHL,41.0,2325.0,23.0,10.0,5.0,3.0,3.0,82.0,1019.0,4.0,220.0,2.0,2.0,,0.0,0.0,8.0,84.0
mcaulke01,1944,1,NYR,NHL,46.0,2760.0,11.0,25.0,10.0,,1.0,227.0,,,,,,,,,,
simmodo01,1960,1,BOS,NHL,18.0,1079.0,3.0,9.0,6.0,,1.0,59.0,,,,,,,,,,
astroha01,1979,1,COR,NHL,49.0,2574.0,9.0,27.0,6.0,3.0,0.0,161.0,,,,,,,,,,
faveldo01,1974,1,TOR,NHL,39.0,2149.0,12.0,17.0,6.0,2.0,1.0,145.0,,,,,,,,,,
wilsodu01,1971,1,VAN,NHL,53.0,2870.0,16.0,30.0,3.0,1.0,1.0,173.0,,,,,,,,,,
wattji01,1973,1,STL,NHL,1.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,
mioed01,1978,2,EDO,WHA,22.0,1068.0,7.0,10.0,0.0,2.0,1.0,71.0,482.0,3.0,90.0,0.0,0.0,,1.0,0.0,6.0,
