lake,country,province
Lago Maggiore,I,Piemonte
Vaettern,S,Orebro
Pyramid Lake,USA,Nevada
Chad Lake,WAN,Nigeria
Laguna Mar Chiquita,RA,Santa Fe
Lake Prespa,AL,Albania
Ammersee,D,Bayern
Caspian Sea,R,Astrakhanskaya oblast
Lake Mweru,ZRE,Shaba/Katanga
Lake Winnipesaukee,USA,New Hampshire
Atlin Lake,CDN,Yukon Territory
Lake Erie,USA,Ohio
Ozero Balchash,KAZ,Zhambyl
Lake Maracaibo,YV,Trujillo
Lake Nipigon,CDN,Ontario
Lake Ontario,CDN,Ontario
Lac Leman,CH,VS
Lake Victoria,EAK,Western
Lake Manitou,CDN,Ontario
Vaenern,S,Varmland
Lake Michigan,USA,Indiana
Lake Sakakawea,USA,North Dakota
Etoscha Salt Pan,NAM,Namibia
Lake Victoria,EAT,Kagera
Chew Bahir,ETH,Ethiopia
