name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Victoria Nile,,Lake Sese Seko/Albertsee,,,33.0,-1.0,East African Rift,1134.0,30.9,1.7
Paatsjoki,,,Barents Sea,145.0,28.3,68.95,,119.0,30.05,60.75
Paraguay,Parana,,,2549.0,-56.5,-14.5,,,-58.4,-27.3
Manicouagan,Saint Lawrence River,,,560.0,-68.7,51.4,,350.0,-68.15,49.2
Bani,Niger,,,430.0,-6.56,12.6,,285.0,-4.2,14.52
Ebro,,,Mediterranean Sea,925.0,-4.37,43.0375,Cordillera Cantabrica,1.6,0.5,40.8
Rio Grande,,,Gulf of Mexico,3034.0,-107.5,38.0,,3900.0,-97.18,25.96
Rio Lerma,,Lago de Chapala,Pacific Ocean,965.0,-99.0,19.0,,,-105.6,21.5
Blue Nile,Nile,,,1783.0,37.3,12.0,Ethiopian Highlands,1830.0,32.5,15.6
Hudson River,,,Atlantic Ocean,493.0,-73.95,44.1,Adirondacks,1309.0,-74.0,40.7
Thames,,,North Sea,346.0,-2.03,51.7,,105.0,0.65,51.5
Saone,Rhone,,,480.0,6.2,48.1,Vogesen,451.0,4.8,45.7
Rio Desaguadero,,Poopo,,383.0,-69.0,-16.55,Andes,3812.0,-67.1,-18.55
Lomami,Zaire,,,1450.0,24.7,-8.7,,1140.0,24.0,-0.8
Amudarja,,Ozero Aral,,1415.0,68.3,37.1,,310.0,59.0,44.0
Merrimack River,,,Atlantic Ocean,177.0,-71.6,43.4,,,-70.8119,42.8194
Niagara River,,Lake Ontario,,58.0,-78.9,42.9,,174.0,79.1,43.25
Ammer,Isar,Ammersee,,168.0,11.05,47.57,Alps,850.0,11.96,48.5
Oesterdalaelv,Dalaelv,Siljan,,241.0,12.6,62.2,,,15.1,60.7
Suchona,Northern Dwina,,,558.0,59.0,39.0,,180.0,60.9,46.3
Vaesterdalaelv,Dalaelv,,,320.0,12.6,61.8,,,15.1,60.7
Joekulsa a Fjoellum,,,Norwegian Sea,206.0,-16.5,64.8,,,-16.6,66.2
Rio Madeira,Amazonas,,,1450.0,-65.4,-10.4,,,-58.76,-3.4
Irawaddy,,,Andaman Sea,2170.0,98.0,29.0,,4300.0,96.0,17.0
Kasai,Kwa,,,1983.0,19.3,-10.96,,,17.4,3.3
Guadiana,,,Atlantic Ocean,742.0,-3.0,42.0,Cordillera Iberica,608.0,-7.65,37.35
Jubba,,,Indian Ocean,1658.0,,,,,42.7,-0.5
Maas,,,North Sea,925.0,5.63,47.97,,409.0,4.67,51.72
Irtysch,Ob,,,4248.0,90.0,47.9,Altai,2930.0,68.93,61.07
Western Dwina,,,Baltic Sea,1020.0,34.0,56.0,Waldai Hills,228.0,24.1,57.0
Benue,Niger,,,1400.0,12.58,7.58,,1100.0,6.75,7.78
Western Morava,Morava,,,308.0,20.2,43.85,,,21.4,43.7
Amur,,,Sea of Okhotsk,2824.0,121.48,53.33,,305.0,140.73,53.1
Inn,Donau,,,517.0,9.67,46.41,Alps,2484.0,13.47,48.57
Morava,Donau,,,185.0,21.4,43.7,,,21.1,44.6
Asahan,,,Malakka Strait,150.0,98.7,2.7,,905.0,99.2,3.1
Syrdarja,,Ozero Aral,,2129.0,71.7,41.0,,,60.5,46.0
Ischim,Irtysch,,,2450.0,71.5,52.0,,,71.5,58.0
Saint Lawrence River,,,Atlantic Ocean,1197.0,-76.55,44.2,,75.0,-64.8,49.6
Weser,,,North Sea,440.0,9.65,51.4,,116.5,8.5,53.5
Sanga,Zaire,,,530.0,15.0,6.0,,,17.0,-2.0
Lena,,,Sibirian Sea,4400.0,107.88,53.99,,1465.0,126.692,72.4005
Rio San Juan,,Lake Managua,Caribbean Sea,199.0,-85.35,11.6,,31.0,-83.7,10.9
Parana,,,Atlantic Ocean,3998.0,-46.5,-19.0,,,-58.2,-34.5
Oder,,,Baltic Sea,866.0,17.52,49.61,Sudety Mountains,634.0,14.59,53.6
Bahr el-Ghasal,White Nile,,,716.0,,,,,30.43,9.5
Limpopo,,,Indian Ocean,1750.0,28.0,-26.0,,1800.0,34.0,-25.2
Indus,,,Arabian Sea,3180.0,79.7,32.45,,5300.0,67.4,24.0
Waag,Donau,,,403.0,19.81,49.02,Beskides,664.0,18.15,47.75
Saluen,,,Andaman Sea,2980.0,91.9,32.5,,5450.0,97.5,17.0
Jenissej,,,Sibirian Sea,4092.0,97.5,52.33,,,100.02,51.06
Dnjestr,,,Black Sea,1352.0,23.0,49.0,Karpaten,1000.0,30.23,46.35
Bomu,Ubangi,,,280.0,27.0,5.0,,,22.5,4.0
Saar,Mosel,,,227.0,7.15,48.5,Vogesen,640.0,6.6,49.7
Raab,Donau,,,250.0,15.52,47.35,Alps,1150.0,17.63,47.69
Shabelle,Jubba,,,1820.0,,,,,42.76,0.5
Tobol,Ob,,,1591.0,60.8,51.2,Ural,,68.25,58.2
Tiber,,,Mediterranean Sea,405.0,12.08,43.77,Apennin,1348.0,12.23,41.74
Weichsel,,,Baltic Sea,1047.0,19.01,49.61,Beskides,1100.0,18.95,54.36
Nelson River,,,Arctic Ocean,664.0,-97.97,52.77,,218.0,-92.33,57.15
Southern Morava,Morava,,,295.0,21.4,42.1,,,21.4,43.7
Riviere Richelieu,Saint Lawrence River,,,124.0,-73.3,45.0,,30.0,-73.1,46.0
Lech,Donau,,,264.0,10.0,47.17,Alps,1840.0,10.93,48.73
Dnepr,,,Black Sea,2201.0,34.0,55.5,Waldai Hills,220.0,32.252,46.5257
Vuoksi,,Ozero Ladoga,,162.0,28.75,61.2,,,31.54,60.81
Nile,,Lake Nasser,Mediterranean Sea,,32.5,15.6,,,31.0,31.5
Tennessee,Ohio River,Chickamauga Lake,,1049.0,-83.0,35.2,Appalachian Mountains,,-88.63,37.07
White Drin,Drin,,,175.0,20.2,42.7,,,20.4,42.1
Mackenzie River,,,Arctic Ocean,1903.0,-113.9,61.7,,156.0,-135.02,69.2
Arkansas,Mississippi,,,2334.0,-106.3,39.25,,4260.0,-91.0,34.0
Tocantins,,,Atlantic Ocean,2640.0,-49.0,-16.0,,,-48.0,-0.5
Don,,,Sea of Azov,1870.0,37.5,53.0,,,39.4,47.1
Tigris,Schatt al Arab,,,1900.0,41.0,38.3,Antitaurus,,47.44,31.0
Mekong,,,South China Sea,4350.0,94.0,32.5,,5200.0,107.0,9.0
Ob,,,Sibirian Sea,3650.0,85.0,52.43,,162.0,71.35,66.48
Niger,,Lake Kainji,Atlantic Ocean,4184.0,-10.87,9.65,,490.0,6.42,5.32
Umeaelv,,Storuman,Baltic Sea,470.0,15.0,66.1,,,20.1,63.5
Cuilo,Kwa,,,970.0,14.7,-11.3,,,17.4,3.3
Isar,Donau,,,295.0,11.4,47.37,Alps,1.16,12.98,48.8
