name,depth
Арктический океан,5608.0
Берингово море,4096.0
Мексиканский залив,4375.0
Азовское море,100.0
Оखотское море,3372.0
Атлантический океан,9219.0
Море Сулу,6218.0
Скеджеррак,725.0
Персидский залив,102.0
Карибское море,7240.0
Чёрное море,2211.0
Ямальное море,4036.0
Арабское море,5203.0
Восточное Китайское море,2370.0
Малаккийский пролив,104.0
Ирландское море,272.0
Индийский океан,6400.0
Канал,175.0
Индийский океан,7440.0
Балтийское море,459.0
Бухта Бенгальская,4694.0
Баренцево море,32.0
Сибирское море,540.0
Каттегат,94.0
Южная Китайская завита,5420.0
Красный море,2635.0
Тихоокеанский океан,11034.0
Бенгальский залив,4045.0
Средиземное море,5121.0
Аندаманское море,3113.0
Северное море,200.0
Норвежское море,3860.0
Оманский залив,3350.0
Жёлтое море,200.0
Гольф Стрит,5143.0
