sea,country,province
Тихоокеанский океан,ФСО,Фиджи
Атлантический океан,Р,Мадейра
Ирландское море,GBM,Мужчина
Средиземное море,I,Венето
Тихоокеанский океан,J,Миядзаки
Средиземное море,ТR,Мугла
Карибское море,МЕКС,Кинтана Роо
Японское море,J,Ниигата
Индийский океан,МПК,Нампула
Атлантический океан,SN,Сент-Луис
Тихоокеанский океан,НКА,Новая Каледония
Карибское море,ДЖА,Чили
Карибское море,ПА,Колон
Море Сулавеси,РИ,Индонезия
Атлантический океан,АНГ,Луанда
Персидский залив,ОАЭ,Умм аль-Кайвейн
Бенгальский залив,МЬЯ,Ракхайн
Индийский океан,МПК,Мапуту
Тихоокеанский океан,J,Аомори
Норвежское море,ИУ,Италия
Атлантический океан,АНГ,Кабинда
Малаккский пролив,ТЗА,Джохор
Балтийское море,И,Мальмохус
Скагеррак,Н,Остров
Персидский залив,БРИН,Бахрейн
Атлантический океан,АНГ,Заир
Аденский залив,ДА,Йемен
Карибское море,C,Тунецы
Карибское море,CO,Атлантико
Бенгальский залив,СИН,Орисса
Тихоокеанский океан,МЕКС,Нижняя Калифорния
Красное море,ЕТ,Сина аль-Джанубия
Атлантический океан,F,Бретагн
Балтийское море,SF,Вааса
Средиземное море,DZ,Алжир
Красное море,СУД,Шаркия
Карибское море,ПА,Комарка де Сан-Блас
Карибское море,YV,Нуэва Эспарта
Норвежское море,Н,Согн-о-о-фьордане
Норвежское море,SVAX,Свальбард
Атлантический океан,США,Грузия
Атлантический океан,США,Делавэр
Тихоокеанский океан,ПЭ,&lt; &lt; Либертад &gt; &gt;
Атлантический океан,SN,Луга
Атлантический океан,E,Канарские острова
Тихоокеанский океан,J,Айти
Индийский океан,ЕАТ,Танга
Средиземное море,RL,Ливан
Мексиканский залив,МЕКС,Кампех
Балтийское море,И,Калмар
Сибирианское море,Р,Магаданская область
Карибское море,HCA,Кортесы
Канал,F,Достоинство Нормандии
Атлантический океан,G,Габон
Тихоокеанский океан,CO,Чоко
Арабское море,СИН,Гуджарат
Японское море,J,Фукуока
Атлантический океан,RCH,Чили
Оманский залив,IR,Систан и Белучестан
Балтийское море,И,Уппсала
Тихоокеанский океан,КИР,Кирибати
Канал,ГБГ,Гернси
Арабское море,СИН,Карнатака
Атлантический океан,ГНБ,Гвинея-Бисау
Тихоокеанский океан,МЕКС,Сонора
Мексиканский залив,C,Сьюдад-де-ла-Хабана
Персидский залив,IR,Бушер
