river,country,province
Далаэльв,И,Даларна
Ольт,RO,Харгита
Замбези,Z,Луапула
Луар,F,Рон-Алпес
Нельсон Ривер,КН,Манитоба
Бригач,D,Баден Вуртемберг
Эннс,A,Верхняя Австрия
Асахан,РИ,Индонезия
Ориноко,YV,Амазонки
&lt; &lt; Шатт аль-Араб &gt; &gt;,ИРК,Аль-Анбар
Кимижоки,SF,Хеме
Руки,ЗРЕ,Уравнение
Сенегал,RG,Гвинея
Ломами,ЗРЕ,Шаба/Катанга
Джениссдж,Р,Репозиция Тивы
Нигер,RG,Гвинея
Сомнения,F,Фрэнше Комте
Остердалаэльв,И,Даларна
Саскачеванская река,КН,Альберта
Меконг,ТДж,Тибет
Гамбия,RG,Гвинея
Куило,АНГ,Лунда Сул
Токантины,КР,Гоиас
Рио Десагуадеро,БОЛ,Боливия
Катун,Р,Репозиция Альтая
Парагвай,КР,Мато Гроссо
Некар,D,Баден Вуртемберг
Рузизи,ЗРЕ,Киву
Нил,СУД,Аль-Хартум
Волга,Р,Тверская область
Тобол,Р,Оренбургская область
Сон,F,Лоррейн
Лулуа,ЗРЕ,Шаба/Катанга
Река Святого Лоуренса,КН,Квебек
Луапула,Z,Луапула
Верра,D,Тюринген
Санга,РСС,Центральноафриканская Республика
Синий Нил,ЭТО,Эфиопия
Маникуаган,КН,Квебек
Янгце,ТДж,Цинхай
Бому,РСС,Центральноафриканская Республика
Паатшоки,SF,Лаппия
Рио Сан-Франциско,КР,Минас-Жерайс
Иравадди,ТДж,Тибет
Рио Мадейра,БОЛ,Боливия
Южная Морава,MK,Чешская Республика
Река Детройт,КН,Онтарио
Река Ниагара,США,Нью-Йорк
Бусира,ЗРЕ,Уравнение
Дон,Р,Тульская область
Река Муррумбиджи,AUS,Новый Южный Уэльс
Хванхо,ТДж,Цинхай
Изир,F,Рон-Алпес
Бахр-эль-Джебель/Альберт-Нил,ЕАС,Уганда
Фими,ЗРЕ,Бандунду
Чатанга,Р,Красноярский крей
Доуро,E,Кастиль и Леон
Днепр,Р,Смоленская область
Реус,CH,УР
Шари,РСС,Центральноафриканская Республика
Бани,CI,Кот-д &apos; Ивуар
Индус,ТДж,Тибет
Луалаба,ЗРЕ,Шаба/Катанга
Рейн,CH,ГР
Чир,МВт,Малави
Сирдарья,TAD,Худжан
Умеэльв,И,Вастерботтен
Куанго,АНГ,Маланье
Ишим,KAZ,Карагандия
