country,independence,dependent,government
B,1830-10-04,,конституционная монархия
НМИС,,США,содружество в политическом союзе с США
ПР,,США,"содружество, связанное с США"
ФГУ,,F,Министерство иностранных дел Франции
СУД,1956-01-01,,Прежняя правящая военная хунта
CO,1810-07-20,,Республика
KOS,2008-02-17,,Республика
РН,1960-08-03,,Республика
КИР,1979-07-12,,Республика
IR,1979-04-01,,Метрополитическая республика
Z,1964-10-24,,Республика
НИК,1821-09-15,,Республика
ЧР,1821-09-15,,Демократическая Республика
L,,,конституционная монархия
RL,1943-11-22,,Республика
NAU,1968-01-31,,Республика
НЬЮ,1974-10-19,,свободного объединения с Новой Зеландией
КР,1822-09-07,,Федеративная республика
БиГ,1992-04-01,,Формирующаяся демократия
РИМ,1960-11-28,,Республика
КОК,,Новой Зеландии,самоуправляющееся парламентское правительство в свободной ассоциации с Новой Зеландией
SK,1993-01-01,,парламентская демократия
СУА,1821-09-15,,Республика
МВт,1964-07-06,,Многосторонняя демократия
ГЭ,1991-04-09,,Республика
АЗС,,,правовой статус территории и вопрос о суверенитете
ЛС,1966-10-04,,изменение конституционной монархии
V,1929-02-11,,монархическое крепостное состояние
ГБГ,,ГБ,British Kone Industice (иждивенчество британской кроны)
D,1871-01-18,,Федеративная республика
ПНГ,1975-09-16,,парламентская демократия
РИ,1945-08-17,,Республика
ТВЧ,1978-10-01,,демократии
ОК,,,Республика
COM,1975-07-06,,независимая республика
ТМ,1991-10-27,,Республика
НКА,,F,Зарубежная территория Франции с 1956 года
AXA,,ГБ,Британские заморские территории
ФСО,1970-10-10,,Республика
SGP,1965-08-09,,Республика в рамках Содружества
ОМТС,,ГБ,Британские заморские территории
Н,1001-01-01,,Республика
HR,1991-06-25,,парламентская демократия
ДСО,1977-06-27,,Республика
KWT,1961-06-19,,Номинальная конституционная монархия
ФПОЛ,,F,Зарубежная территория Франции с 1946 года
CI,1960-08-07,,Республика
РЧ,1804-01-01,,Республика
XMAS,,AUS,территории Австралии
COCO,,AUS,территории Австралии
Нл,1579-01-01,,конституционная монархия
SY,1976-06-29,,Республика
GH,1957-03-06,,конституционная демократия
PL,1918-11-11,,демократическое государство
ГУАМ,,США,организован
