country,continent,percentage
GNB,Africa,100.0
WAN,Africa,100.0
P,Europe,100.0
Q,Asia,100.0
RL,Asia,100.0
PR,America,100.0
MW,Africa,100.0
R,Europe,20.0
TM,Asia,100.0
AXA,America,100.0
ETH,Africa,100.0
GE,Asia,100.0
NORF,Australia/Oceania,100.0
CV,Africa,100.0
XMAS,Australia/Oceania,100.0
GBJ,Europe,100.0
TAD,Asia,100.0
NMIS,Australia/Oceania,100.0
SN,Africa,100.0
DK,Europe,100.0
THA,Asia,100.0
S,Europe,100.0
TJ,Asia,100.0
IRL,Europe,100.0
KWT,Asia,100.0
KOS,Europe,100.0
G,Africa,100.0
J,Asia,100.0
V,Europe,100.0
ET,Africa,90.0
TT,America,100.0
PL,Europe,100.0
BI,Africa,100.0
RG,Africa,100.0
GBG,Europe,100.0
RSA,Africa,100.0
MAYO,Africa,100.0
MH,Australia/Oceania,100.0
YV,America,100.0
TR,Asia,95.0
EAU,Africa,100.0
K,Asia,100.0
SA,Asia,100.0
GUAD,America,100.0
FPOL,Australia/Oceania,100.0
VU,Australia/Oceania,100.0
RMM,Africa,100.0
RN,Africa,100.0
AUS,Australia/Oceania,100.0
L,Europe,100.0
MD,Europe,100.0
SUD,Africa,100.0
BRU,Asia,100.0
WAFU,Australia/Oceania,100.0
NOK,Asia,100.0
UZB,Asia,100.0
AMSA,Australia/Oceania,100.0
TL,Asia,100.0
AG,America,100.0
MNG,Asia,100.0
RT,Africa,100.0
SLB,Australia/Oceania,100.0
MYA,Asia,100.0
MNE,Europe,100.0
EAK,Africa,100.0
RI,Australia/Oceania,20.0
SLO,Europe,100.0
ROU,America,100.0
TR,Europe,5.0
D,Europe,100.0
FSM,Australia/Oceania,100.0
SRB,Europe,100.0
RCH,America,100.0
TUV,Australia/Oceania,100.0
JOR,Asia,100.0
WAL,Africa,100.0
MEX,America,100.0
CZ,Europe,100.0
WG,America,100.0
ARU,America,100.0
TN,Africa,100.0
WEST,Asia,100.0
