island,sea,lake,river
Singapore,South China Sea,,
Santiago,Atlantic Ocean,,
Cuba,Atlantic Ocean,,
Filicudi,Mediterranean Sea,,
Krakatau,Indian Ocean,,
Ameland,North Sea,,
Jura,Atlantic Ocean,,
Okinawa,Pacific Ocean,,
Tobago,Caribbean Sea,,
Salina,Mediterranean Sea,,
South Andaman Island,Andaman Sea,,
Dagoe,Baltic Sea,,
Negros,Sulawesi Sea,,
Niue,Pacific Ocean,,
Banks Island,Arctic Ocean,,
Baffin Island,Arctic Ocean,,
Palawan,Sulawesi Sea,,
Bangka,Sunda Sea,,
Fuerteventura,Atlantic Ocean,,
Gotland,Baltic Sea,,
Rugen,North Sea,,
Saint Vincent,Caribbean Sea,,
Corvo,Atlantic Ocean,,
Tasmania,Indian Ocean,,
Santa Rosa Island,Pacific Ocean,,
Palawan,South China Sea,,
La Palma,Atlantic Ocean,,
Antigua,Atlantic Ocean,,
Curacao,Caribbean Sea,,
Svalbard,Arctic Ocean,,
Kyushu,Pacific Ocean,,
Flores,Atlantic Ocean,,
Guadalcanal,Pacific Ocean,,
Gozo,Mediterranean Sea,,
San Miguel Island,Pacific Ocean,,
Malta,Mediterranean Sea,,
Mindanao,Sulawesi Sea,,
Fohr,North Sea,,
Newfoundland,Atlantic Ocean,,
Saipan,Pacific Ocean,,
Lipari,Mediterranean Sea,,
Lanai,Pacific Ocean,,
Tortola,Caribbean Sea,,
Saint Kitts,Caribbean Sea,,
Jamaica,Caribbean Sea,,
Cyprus,Mediterranean Sea,,
Koror,Pacific Ocean,,
Sicilia,Mediterranean Sea,,
Saint Kitts,Atlantic Ocean,,
Seeland,Baltic Sea,,
Seeland,Kattegat,,
Streymoy,Norwegian Sea,,
Montserrat,Atlantic Ocean,,
Niihau,Pacific Ocean,,
Fongafale,Pacific Ocean,,
Samar,Pacific Ocean,,
Cayman Brac,Caribbean Sea,,
Westray,North Sea,,
Rarotonga,Pacific Ocean,,
Mindoro,South China Sea,,
Nevis,Atlantic Ocean,,
Wangerooge,North Sea,,
Sardegna,Mediterranean Sea,,
St. Martin,Caribbean Sea,,
New Providence,Atlantic Ocean,,
Taiwan,South China Sea,,
Islay,Atlantic Ocean,,
Kefallinia,Mediterranean Sea,,
Mallorca,Mediterranean Sea,,
Svalbard,Barents Sea,,
Lefkas,Mediterranean Sea,,
Santa Maria,Atlantic Ocean,,
Gheschm,Persian Gulf,,
Timor,Indian Ocean,,
Santa Cruz Island,Pacific Ocean,,
Iceland,Norwegian Sea,,
East Falkland,Atlantic Ocean,,
Sumatra,Malakka Strait,,
South Andaman Island,Gulf of Bengal,,
Sri Lanka,Indian Ocean,,
Basse-Terre,Caribbean Sea,,
Taiwan,Pacific Ocean,,
Victoria Island,Arctic Ocean,,
St. Martin,Atlantic Ocean,,
Sao Tome,Atlantic Ocean,,
Rhum,Atlantic Ocean,,
Amrum,North Sea,,
San Clemente Island,Pacific Ocean,,
Grenada,Atlantic Ocean,,
Sao Miguel,Atlantic Ocean,,
