country,name,percentage
SRB,Hungarian,3.8
IR,Luri,2.0
NIC,Spanish,100.0
STP,Portuguese,100.0
H,Hungarian,98.2
CO,Spanish,100.0
PK,Hindko,2.0
SLB,English,1.0
YE,Arabic,100.0
MACX,Portuguese,4.0
AFG,Pashtu,35.0
SF,Finnish,93.5
WAFU,French,10.8
MNTS,English,100.0
NOK,Korean,100.0
RMM,Bambara,80.0
MK,Turkish,3.0
AG,English,100.0
HONX,Chinese,95.6
NMIS,Chinese Languages,23.4
FPOL,Polynesian,31.4
IR,Arabic,1.0
TM,Russian,12.0
UZB,Russian,14.2
BIH,Serbo-Croatian,99.0
PL,Polish,100.0
KAZ,Kazak,40.0
J,Japanese,100.0
BVIR,English,100.0
PK,Brahui,1.0
ARM,Armenian,96.0
B,Dutch,56.0
CH,Italian,12.0
,Creole,1.6
E,Catalan,17.0
UZB,Uzbek,74.3
TM,Turkmen,72.0
TUCA,English,100.0
MYA,Burmese,100.0
,Papiamento,65.4
HONX,English,3.2
F,French,100.0
IR,Persian,58.0
GUAM,Chamorro,22.2
PA,English,14.0
MNG,Khalkha Mongol,90.0
E,Basque,2.0
B,German,1.0
PK,Sindhi,12.0
PK,Balochi,3.0
MNE,Bosnian,5.5
BG,Bulgarian,100.0
PK,Punjabi,48.0
CH,German,65.0
AFG,Afghan Persian,50.0
MNE,Montenegrin,22.0
RH,French,10.0
SRB,Serbian,88.3
