sea1,sea2
Caribbean Sea,Gulf of Mexico
Atlantic Ocean,Irish Sea
Arabian Sea,Indian Ocean
Arctic Ocean,Atlantic Ocean
Arctic Ocean,Norwegian Sea
East China Sea,Yellow Sea
Arctic Ocean,Barents Sea
South China Sea,Sulawesi Sea
Atlantic Ocean,North Sea
Sea of Japan,Sea of Okhotsk
North Sea,Norwegian Sea
North Sea,Skagerrak
Atlantic Ocean,Caribbean Sea
Pacific Ocean,Sea of Japan
Black Sea,Mediterranean Sea
Andaman Sea,Malakka Strait
Baltic Sea,North Sea
Arctic Ocean,Bering Sea
Sea of Japan,Yellow Sea
East China Sea,South China Sea
North Sea,The Channel
Gulf of Bengal,Pacific Ocean
Arabian Sea,Gulf of Oman
Atlantic Ocean,Gulf of Mexico
Gulf of Aden,Indian Ocean
Atlantic Ocean,Indian Ocean
Arctic Ocean,Sibirian Sea
Kattegat,Skagerrak
Malakka Strait,South China Sea
Black Sea,Sea of Azov
Gulf of Oman,Indian Ocean
Atlantic Ocean,Pacific Ocean
East China Sea,Pacific Ocean
South China Sea,Sunda Sea
Indian Ocean,Sunda Sea
