mountain,island
Гуни Бинаиа,Серам
Гилуве,Новая Гвинея
Андрингитра,Мадагаскар
Люсер,Суматра
Снаефелл,Исландия
Кракатау,Кракатау
Пинатубо,Лусон
Пеле,Мартиника
Пико Дуарте,Хиспаньола
Гора Апо,Минданао
Халеакалы,Мауи
Тамбор,Сумбава
Пика Джейя,Новая Гвинея
Пулог,Лусон
Мерапи,Ява
Силисили,Саваи
Мон-Орехена,Тахити
Керини,Суматра
Питон де ла Фурнез,Перезвонок
Мауна-Лоа,Гавайи
Жима,Олхон
Пик королевы Марии,Тристан да Куна
Гора Блю-Маунтин,Ямайка
Церо-де-Пунта,Пуэрто-Рико
Морне Диабло́тINS,Доминика
Пик Барбоу,Элсмер-Айленд
Пико,Пико
Гора Один,Остров Бафин
Гора Агу,Бали
Кинасу,Борнео
Монте-Цинто,Да
Пико Рувью,Мэдера
Гора Уильям,Новая Гвинея
Рока де лос Мучахос,Ла-Пальма
Суфриер-Хилс,Монсерат
Пико-де-Тейде,Тенерифе
Ораефайокулль,Исландия
Тата-милау,Тимор
Пико-Туркиньо,Куба
Ринджани,Ломбок
Концепсьон,Остров Ометепе
Ла Суфриер,Нижний Терр
Попоманасеву,Гвадалканал
Канлаон,Негрос
Пситорит,Крета
Руапеху,Тэ Ика-а-Мауи (Северный остров)
