island,sea,lake,river
Сингапур,Южно-Китайское море,,
Сантьяго,Атлантический океан,,
Куба,Атлантический океан,,
Филикуди,Средиземное море,,
Кракатау,Индийский океан,,
Амеланд,Северное море,,
Юра,Атлантический океан,,
Окинава,Тихоокеанский океан,,
Тобаго,Карибское море,,
Салина,Средиземное море,,
Южный Андаман,Андаманское море,,
Дагое,Балтийское море,,
Негры,Море Сулавеси,,
Ниуэ,Тихоокеанский океан,,
Остров Бэнкс,Северный Ледовитый океан,,
Остров Баффин,Северный Ледовитый океан,,
Палаван,Море Сулавеси,,
Бангка,Сундское море,,
Фуэртевентура,Атлантический океан,,
Готландия,Балтийское море,,
Руген,Северное море,,
Сент-Винсент,Карибское море,,
Корво,Атлантический океан,,
Тасмания,Индийский океан,,
Остров Санта-Роза,Тихоокеанский океан,,
Палаван,Южно-Китайское море,,
Ла-Пальма,Атлантический океан,,
Антигуа,Атлантический океан,,
Куракао,Карибское море,,
Свальбард,Северный Ледовитый океан,,
Кюсю,Тихоокеанский океан,,
Флорес,Атлантический океан,,
Гвадалканал,Тихоокеанский океан,,
Гозо,Средиземное море,,
Остров Сан-Мигель,Тихоокеанский океан,,
Мальта,Средиземное море,,
Минданао,Море Сулавеси,,
Фор,Северное море,,
Ньюфаундленд,Атлантический океан,,
Сайпан,Тихоокеанский океан,,
Липари,Средиземное море,,
Ланай,Тихоокеанский океан,,
Тортола,Карибское море,,
Сент-Китс,Карибское море,,
Чили,Карибское море,,
Кипр,Средиземное море,,
Корор,Тихоокеанский океан,,
Сицилия,Средиземное море,,
Сент-Китс,Атлантический океан,,
Площадь,Балтийское море,,
Площадь,Каттегат,,
Стреймой,Норвежское море,,
Монтсеррат,Атлантический океан,,
Ниихау,Тихоокеанский океан,,
Фонгафейл,Тихоокеанский океан,,
Самар,Тихоокеанский океан,,
Кайман Брак,Карибское море,,
Вестрей,Северное море,,
Раротонг,Тихоокеанский океан,,
Миндоро,Южно-Китайское море,,
Невис,Атлантический океан,,
Вангерож,Северное море,,
Сарденья,Средиземное море,,
Сент-Мартин,Карибское море,,
Новое Провидение,Атлантический океан,,
Тайвань,Южно-Китайское море,,
Ислай,Атлантический океан,,
Кефалиния,Средиземное море,,
Маллорка,Средиземное море,,
Свальбард,Море Баренцев,,
Лефкас,Средиземное море,,
Санта-Мария,Атлантический океан,,
Гешм,Персидский залив,,
Тимор,Индийский океан,,
Остров Санта-Крус,Тихоокеанский океан,,
Италия,Норвежское море,,
Восточный Фолкленд,Атлантический океан,,
Суматра,Малаккский пролив,,
Южный Андаман,Бенгальский залив,,
Шри-Ланка,Индийский океан,,
Басс-Терре,Карибское море,,
Тайвань,Тихоокеанский океан,,
Остров Виктория,Северный Ледовитый океан,,
Сент-Мартин,Атлантический океан,,
Сан-Томе,Атлантический океан,,
Рум,Атлантический океан,,
Амрум,Северное море,,
Остров Сан-Клементе,Тихоокеанский океан,,
Гренада,Атлантический океан,,
Сан Мигель,Атлантический океан,,
