country,independence,dependent,government
EAU,1962-10-09,,republic
IND,1947-08-15,,federal republic
NORF,,AUS,territory of Australia
BERM,,GB,British Overseas Territories
CDN,1867-07-01,,confederation with parliamentary democracy
ROU,1828-08-25,,republic
MACX,,TJ,special administrative area in China
HELX,,GB,British Overseas Territories
ZRE,1960-06-30,,republic with a strong presidential system
CO,1810-07-20,,republic
ANG,1975-11-11,,transitional government nominally a multiparty democracy with a strong presidential system
NAM,1990-03-21,,republic
AL,1912-11-28,,emerging democracy
ROK,,,republic
LT,1991-09-06,,republic
ER,1993-05-27,,transitional government
VU,1980-07-30,,republic
USA,1776-07-04,,federal republic
FGU,,F,overseas department of France
BY,1991-08-25,,republic
UAE,1971-12-02,,federation with specified powers delegated to the UAE central government and other powers reserved to member emirates
PNG,1975-09-16,,parliamentary democracy
H,1001-01-01,,republic
JOR,1946-05-25,,constitutional monarchy
UZB,1991-08-31,,republic
IRQ,1932-10-03,,republic
SPMI,,F,territorial collectivity of France
CAM,1960-01-01,,unitary republic
SP,1960-07-01,,none
GAZA,,,
NIUE,1974-10-19,,self governing territory in free association with New Zealand
BOL,1825-08-06,,republic
PR,,USA,commonwealth associated with the US
TJ,,,Communist state
SF,1917-12-06,,republic
FALK,,GB,British Overseas Territories
KWT,1961-06-19,,nominal constitutional monarchy
MART,,F,overseas department of France
D,1871-01-18,,federal republic
LB,,,republic
SN,1960-08-20,,republic under multiparty democratic rule
VIRG,,,organized
GB,1801-01-01,,constitutional monarchy
NMIS,,USA,commonwealth in political union with the US
CZ,1993-01-01,,parliamentary democracy
RC,,,multiparty democratic regime
SRB,2006-06-05,,parliamentary democracy
R,1991-08-24,,federation
ARM,1918-05-28,,republic
WL,1979-02-22,,parliamentary democracy
IR,1979-04-01,,theocratic republic
ET,1922-02-28,,republic
FARX,,DK,part of the Danish realm
TR,1923-10-29,,republican parliamentary democracy
COCO,,AUS,territory of Australia
PITC,,GB,British Overseas Territories
AMSA,,USA,unincorporated and unorganized territory of the US
C,1902-05-20,,Communist state
SY,1976-06-29,,republic
K,1949-11-09,,multiparty liberal democracy under a constitutional monarchy established in September 1993
MOC,1975-06-25,,republic
BIH,1992-04-01,,emerging democracy
YV,1811-07-05,,republic
PK,1947-08-14,,republic
KAZ,1991-12-16,,republic
ETH,,,federal republic
,,NL,part of the Dutch realm
ARU,,NL,part of the Dutch realm
SK,1993-01-01,,parliamentary democracy
EC,1822-05-24,,republic
ES,1821-09-15,,republic
WS,1962-01-01,,constitutional monarchy under native chief
TM,1991-10-27,,republic
RO,1881-01-01,,republic
WAL,1961-04-27,,constitutional democracy
KOS,2008-02-17,,republic
GH,1957-03-06,,constitutional democracy
RA,1816-07-09,,republic
TCH,1960-08-11,,republic
FJI,1970-10-10,,republic
FPOL,,F,overseas territory of France since 1946
HCA,1821-09-15,,republic
KN,1983-09-19,,constitutional monarchy
JA,1962-08-06,,parliamentary democracy
MH,1986-10-21,,constitutional government in free association with the US
AND,,,parliamentary democracy that retains as its heads of state a coprincipality
RG,1958-10-02,,republic
BD,1971-12-16,,republic
GUAM,,USA,organized
MA,1956-03-02,,constitutional monarchy
MNG,1921-03-13,,republic
EAK,1963-12-12,,republic
MC,1419-01-01,,constitutional monarchy
DK,,,constitutional monarchy
TL,2002-05-20,,parliamentary democracy
SUD,1956-01-01,,transitional previously ruling military junta
BHT,1949-08-08,,monarchy
STP,1975-07-12,,republic
IL,1948-05-14,,republic
E,1492-01-01,,parliamentary monarchy
BS,1973-07-10,,commonwealth
WAG,1965-02-18,,republic under multiparty democratic rule
SLB,1978-07-07,,parliamentary democracy
MW,1964-07-06,,multiparty democracy
BR,1822-09-07,,federal republic
P,1140-01-01,,republic
SMAR,,F,overseas collectivity of France
BZ,1981-09-21,,parliamentary democracy
DOM,1844-02-27,,republic
NEP,1768-01-01,,parliamentary democracy as of 12 May 1991
I,1861-03-17,,republic
XMAS,,AUS,territory of Australia
WAFU,,F,overseas territory of France
SA,1932-09-23,,monarchy
COM,1975-07-06,,independent republic
NIC,1821-09-15,,republic
RWA,1962-07-01,,republic
SVAX,,N,territory of Norway administered by the Ministry of Industry
G,1960-08-17,,republic
V,1929-02-11,,monarchical sacerdotal state
LS,1966-10-04,,modified constitutional monarchy
HR,1991-06-25,,parliamentary democracy
PY,1811-05-14,,republic
RL,1943-11-22,,republic
OM,1650-01-01,,monarchy
GCA,1821-09-15,,republic
WD,1978-11-03,,parliamentary democracy
RB,1966-09-30,,parliamentary republic
WEST,,,
GNB,1974-09-10,,republic
AXA,,GB,British Overseas Territories
CL,1948-02-04,,republic
RCB,1960-08-15,,republic
GR,1829-01-01,,parliamentary republic
LAO,1949-07-19,,Communist state
HONX,,TJ,special administrative area in China
ZW,1980-04-18,,parliamentary democracy
REUN,,F,overseas department of France
RSM,0301-01-01,,republic
BEN,1960-08-01,,republic under multiparty democratic rule dropped Marxism Leninism December 1989
NZ,1907-09-26,,parliamentary democracy
GROX,,DK,part of the Danish realm
B,1830-10-04,,constitutional monarchy
SGP,1965-08-09,,republic within Commonwealth
PL,1918-11-11,,democratic state
BF,1960-08-05,,parliamentary
FL,1719-01-23,,hereditary constitutional monarchy
CAYM,,GB,British Overseas Territories
RI,1945-08-17,,republic
RT,1960-04-27,,republic under transition to multiparty democratic rule
