sea1,sea2
Моро-Нуса-Тенгара,Понтик Коралловых островов
Каширское озеро,Оखотское море
Чёрное море,Море Азовское
Индийский океан,Тихоокеанский океан
Малаккский пролив,Южная Китайская затока
Восточное Китайское море,Южная Китайская затока
Гulf-оф-Аден,Красный море
Андаманское море,Индийский океан
Арабское море,Оманский залив
Оманский залив,Индийский океан
Атлантический океан,Северное море
Северное море,Канал
Тихоокеанский океан,Каширское озеро
Атлантический океан,Ирландское море
Каширское озеро,Жёлтое море
Северное море,Норвежское море
Восточное Китайское море,Каширское озеро
Восточное Китайское море,Жёлтое море
Баренцево море,Норвежское море
Баренцево море,Сибирское море
Атлантический океан,Тихоокеанский океан
Северный Ледовитый океан,Норвежское море
Атлантический океан,Средиземное море
Арабское море,Индийский океан
Гольф Бенгальский,Понтик Коралловых островов
Оманский залив,Персидский залив
Балтийское море,Северное море
Карибское море,Гольфстрем
Атлантический океан,Гольфстрем
Северный Ледовитый океан,Берингово море
Чёрное море,Средиземное море
Тихоокеанский океан,Моро-Нуса-Тенгара
Восточное Китайское море,Тихоокеанский океан
Северный Ледовитый океан,Сибирское море
Южная Китайская затока,Понтик Коралловых островов
Гulf-оф-Аден,Индийский океан
Каттегат,Шкегеррак
Атлантический океан,Карибское море
Северное море,Шкегеррак
Тихоокеанский океан,Южная Китайская затока
Андаманское море,Малаккский пролив
Южная Китайская затока,Моро-Нуса-Тенгара
Индийский океан,Понтик Коралловых островов
Атлантический океан,Канал
Андаманское море,Гольф Бенгальский
Гольф Бенгальский,Тихоокеанский океан
Атлантический океан,Индийский океан
Северный Ледовитый океан,Баренцево море
Атлантический океан,Норвежское море
Арабское море,Гulf-оф-Аден
Северный Ледовитый океан,Атлантический океан
Тихоокеанский океан,Оखотское море
Тихоокеанский океан,Понтик Коралловых островов
Берингово море,Тихоокеанский океан
