country,population_growth,infant_mortality
НОРФ,,
ХЭЛКС,0.45,17.63
Хонкс,0.51,2.9
Макс,1.15,5.3
HR,0.58,10.2
ПК,2.24,96.8
"Сегодня среда, 24 апреля 2024 года.",2.37,34.3
НЦА,1.14,7.05
А,0.41,6.2
ПР,0.34,8.42
РОК,1.02,8.2
В,1.41,72.8
я,0.13,6.9
ЧЕЛОВЕК,-0.9,51.4
RUB,0.7,15.4
ТО,0.82,40.26
Текущий язык: русский,2.03,40.65
КИР,1.89,52.9
ЦИ,2.92,82.4
Западная Вирджиния,0.64,16.8
Да,0.73,9.09
ОМ,3.53,27.3
МАРТ,1.1,7.1
РАЗДЕЛ ЕЖЕГО ДНЯ,,
RL,2.16,36.7
Тука,2.56,13.89
ГНБ,2.35,115.8
Газа,4.55,30.6
П,0.02,7.6
RB,1.63,54.2
Q,2.39,19.6
ФПΌЛ,1.39,7.55
Да,0.8,15.6
ЭТ,1.91,72.8
Кайм,2.39,6.94
RP,2.18,35.9
РЧ,1.24,13.6
МНЕ,-0.851,
ТН,1.81,35.1
ДЖИ,1.5,106.7
ЧХ,2.68,120.4
スロ,-0.27,7.3
Ял,2.11,8.5
Нет,1.74,25.9
Резюме,2.93,54.3
СИ,0.76,12.5
Да,3.56,71.5
Анг,2.68,138.9
SRB,-0.47,6.75
Вафу-вафу,0.35,5.02
SF,0.1,4.9
ЭФИР,2.72,122.8
Мексика,1.87,25.0
Добро пожаловать в Киберпанк 2077! Как я могу вам помочь?,0.56,4.5
БХТ,2.32,116.3
ВГ,0.55,11.9
СА,3.45,46.4
Z,2.11,96.1
НЛ,0.56,4.9
РГ,1.85,134.1
Р,1.1,28.3
TM,1.82,81.6
СГП,1.9,4.7
БИ,1.54,102.2
КРБ,2.19,108.1
МЯ,1.84,80.7
АЗ,0.78,74.5
bs,1.05,23.3
Фиджи,1.28,17.4
КАМ,2.89,78.7
РТ,3.56,84.3
Афг,4.78,149.7
МТП,0.59,6.9
"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",0.46,15.7
Смар,,
GBG,1.28,9.2
КОНС,,
АХएА,2.27,3.52
БВИР,1.84,14.65
Коко,,
ХКГ,2.6,41.8
УЗБ,1.87,79.6
Спми,0.77,9.95
РИМ,3.17,81.7
"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",0.67,6.0
Мएस,1.23,17.2
LV,-1.39,21.2
Б,1.16,55.3
ФГУ,3.86,14.6
ГУАД,1.2,8.3
ТТ,0.08,18.2
Бз,2.42,33.9
КУТ,6.65,11.1
ЗРЕ,1.67,108.0
Индия,1.64,71.1
БЕРМ,0.65,2.46
ГЛОНАС,0.26,18.7
LB,2.13,108.1
ПЛ,0.14,12.4
РЭ,1.77,103.8
СМЕ,1.6,29.3
Сирия,3.37,40.0
БРУ,2.56,24.2
КР,0.89,7.0
МВ,3.52,47.0
CZ,-0.03,8.4
И,2.96,2.2
ГБЗ,0.54,6.9
В реальной жизни,-0.22,6.4
Н,0.98,18.9
НАМ,2.93,47.2
САВ,2.46,145.82
ОВ,-1.13,17.4
МOC,2.65,125.6
Лаос,2.81,96.8
майо,3.32,56.29
АВР,16.49,118.8
Ось,0.83,4.3
Ярко,2.21,52.7
Мк,0.46,29.7
СУД,3.48,76.0
"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",0.48,4.9
[Джор],2.65,31.5
СВАХ,-0.02,
ЭР,2.79,118.9
Кук,-3.3,16.9
ФАЛК,,
ТЖ,0.98,39.6
Здравствуйте! Как я могу вам помочь?,3.24,88.4
ВИРГ,-0.06,12.54
ЛС,1.9,81.6
Г,2.29,80.3
АМСА,1.22,10.18
ТУВ,1.51,27.6
C,0.44,9.0
К,2.77,107.8
Okay.,0.77,2.7
РИ,1.53,63.1
А,1.03,33.4
"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",0.34,5.3
К,1.66,25.8
GM,0.94,2.4
НЕП,2.45,79.0
Стоп,2.58,61.1
КГЗ,0.07,77.8
СН,3.37,64.0
SLB,3.35,25.8
"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",-0.35,17.0
РМ,0.02,38.9
БЕН,3.32,105.1
БИХ,-2.84,43.2
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",0.16,6.3
"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",-0.68,12.3
"Добро пожаловать в Cohere! Я ваш верный помощник, готовый помочь с любыми задачами на английском и русском языках. Как я могу вам помочь сегодня?",1.47,90.1
Запад,4.99,28.6
Ирак,3.69,60.0
США,0.91,6.7
БФ,2.53,117.8
ЕВ,1.96,34.8
В,0.33,6.4
АГ,0.76,17.2
ГАМ,1.37,6.05
МВ,1.71,139.9
М,1.01,6.9
Да здравствует Россия!,0.38,9.6
ПИТЦ,,
"""I'm not sure what you mean,"" she replied, her eyes widening slightly at his tone. ""Of course I believe you—I would never doubt your word. But it's just so unexpected."" She paused for a moment, as if gathering her thoughts, before continuing in a softer voice. ""I don't know why he would say such a thing to me out of the blue like that. It's not like him at all.""",0.21,4.4
СМР,0.82,5.5
Ваг,3.55,80.5
МАЛ,2.07,24.0
НЗ,1.12,6.7
ГЕ,-1.02,22.5
ДЗ,2.21,48.7
