country,organization,type
ЕАС,МФСР,Категория III
UA,ЕБРР,Член
Н,МФК,Член
RL,МУС,Член
SGP,ВОЗ,Член
SLB,Интелсат,Неподписавшийся пользователь
ЕАС,МОТ,Член
ТТ,МОК,Национальный олимпийский комитет
IRL,ВОЗ,Член
МВт,МФСР,Категория III
ТЗА,СООНО,Член
КАМ,АКТ,Член
Ру,ЮНИДО,Член
ЛБ,ИКАО,Член
ДН,КХЦ,Член
ZW,ЭКА,Член
ВРЕМЯ,WFTU,Член
KN,МООНГ,Член
LAO,ЭСКАТО,Член
С.А.,ВОЗ,Член
ЗРЕ,АфБР,региональный член
C,МСЭ,Член
SF,БИС,Член
SF,ГЯП,Член
SK,ВОИС,Член
МЭТ,AMU,Член
HR,ИКАО,Член
RL,АБЕДА,Член
БОЛ,ЮНЕСКО,Член
ВАГ,ЮНЕСКО,Член
ZW,ИСО,Член
RL,ВМО,Член
IRL,ZC,Член
РИМ,Интелсат,Член
МК,МОК,Национальный олимпийский комитет
ZW,ВОИС,Член
JOR,ИСО,член корреспондента
ГЭ,МФСР,Категория III
РЧ,ВОЗ,Член
М,Интелсат,Член
YV,ВОИС,Член
ФГУ,ВКЛ,Член
ЕАС,Интелсат,Член
РЭ,WFTU,Член
CH,ЦЕРН,Член
ЧР,Интерпол,Член
РТ,МАР,Часть II
МЬЯ,МБРР,Член
ГНБ,КМООНА III,Член
G,ВМО,Член
ПА,МКПТ,Национальное общество
L,РКРТ,Член
НЬЮ,ЮНЕСКО,Член
МЕКС,МУС,Член
Юзеф,ВОЗ,Член
B,ВОТ,Член
ГР,WFTU,Член
ВАГ,ЮНИДО,Член
УРБ,CDB,региональный член
Юзеф,МОТ,Член
PY,МФСР,Категория III
БГ,МОК,Национальный олимпийский комитет
ARM,МФОКК,Член
PL,ЗЕС,ассоциированный партнер
КН,ОАГ,Член
GH,МФОКК,Член
БРУ,ИКАО,Член
ES,ФАО,Член
Бен,FZ,Член
F,ВКЛ,Член
АГ,ЭКЛАК,Член
ЕАТ,ВОЗ,Член
RL,ППТС,Член
ТМ,ЮНЕСКО,Член
РММ,МСЭ,Член
И,СПРООН,Член
WS,ФАО,Член
YV,О-3,Член
МПГ,WFTU,Член
СИН,ДН,Член
ОПП,О-9,Член
GH,АКТ,Член
HR,СЕ,гость
TN,Интерпол,Член
БиГ,МФСР,Категория III
ЛС,WTRO,Член
ZW,ДН,Член
ЕАТ,МКПТ,Национальное общество
ПДТ,МОТ,Член
Кейм,Кариком,наблюдатель
КАМ,МБРР,Член
Новой Зеландии,МЭА,Член
Ил,ОАГ,наблюдатель
Н,СООНО,Член
РТ,МКПТ,Национальное общество
AUS,ЮНЕСКО,Член
ПДТ,ФАО,Член
ПА,ООН,Член
Н,РКРТ,Член
WS,МВФ,Член
ДЖА,ЮНИТАР,Член
М,МСЭ,Член
ТМ,ФАО,Член
A,О-9,Член
ДА,ВМО,Член
ЕТ,ЕБРР,Член
MK,ВМО,Член
Z,ВМО,Член
Р,МСЭ,Член
СУА,ППТС,Член
ФСО,ИКМООНН,Член
MK,МАР,Часть II
Клянусь!,КХЦ,Член
F,ЭКА,ассоциированный член
Р,МАР,Часть I
РВА,CEPGL,Член
Н,ZC,Член
RG,АКТ,Член
УРБ,ИКАО,Член
COM,ЮНЕСКО,Член
TAD,ЕЭК,Член
МЭТ,КХЦ,Член
НКА,ВПС,Член
СИН,СААРК,Член
WD,WTRO,Член
КН,C,Член
G,ЮНЕСКО,Член
ТЗА,МФК,Член
И,ЮНЕСКО,Член
F,МВФ,Член
RSA,ZC,Член
К,МВФ,Член
ПК,ППТС,Член
Z,КМООНА III,Член
ЛБ,ВОЗ,Член
БГ,ZC,Член
МВ,ИМО,Член
ДН,ЭКА,Член
G,ЭКА,Член
J,ВОТ,Член
ТТ,WFTU,Член
ПДТ,МОМ,наблюдатель
IRL,ВМО,Член
ДА,ВОИС,Член
РЧ,ППТС,Член
CZ,МСЭ,Член
ДЖА,ВМО,Член
ПК,ИКАО,Член
ПА,ЮНЕСКО,Член
МВт,ОАЕ,Член
МПГ,МБРР,Член
ТТ,МООНГ,Член
ТТ,Интелсат,Член
I,ДН,гость
L,МОТ,Член
ТДж,ВМО,Член
Н,ВПС,Член
Нл,WTRO,Член
НИК,ОПАНАЛ,Член
И,ОМЧП,Член
AL,МФСР,Категория III
РМ,МБРР,Член
A,ВОТ,Член
М,ФАО,Член
РОУ,МБРР,Член
США,ИМО,Член
Бен,ИКАО,Член
LAO,МОТ,Член
БРУ,ВМО,Член
ЕАТ,О-6,Член
РЧ,МОК,Национальный олимпийский комитет
ВАН,ЮНЕСКО,Член
БРИН,ИМО,Член
KGZ,ОБСЕ,Член
Кл,МУС,Член
УРБ,АКТ,Член
Q,АМП,Член
E,ВОТ,Член
МНП,ВМО,Член
КИР,МФК,Член
РИМ,ВПС,Член
CV,МФК,Член
МК,ОБСЕ,Член
ПДТ,ЭКА,Член
RO,ВОИС,Член
WS,ВОЗ,Член
TN,ВОИС,Член
РСС,ВОИС,Член
МЬЯ,АзБР,региональный член
WL,C,Член
BS,ВМО,Член
ЭАК,МООНРЗС,Член
ПК,МБРР,Член
CZ,МБРР,Член
WL,ООН,Член
ПК,CP,Член
UA,МФК,Член
RCH,МОМ,Член
SK,ОБСЕ,Член
НИК,ВМО,Член
СУА,Интерпол,Член
ГР,ИКМООНН,Член
МПК,МФСР,Категория III
ВАЛ,МСЭ,Член
KAZ,АзБР,региональный член
