country,population_growth,infant_mortality
НОРФ,,
HELX,0.45,17.63
ХОНКС,0.51,2.9
МАКХ,1.15,5.3
HR,0.58,10.2
ПК,2.24,96.8
WS,2.37,34.3
НКА,1.14,7.05
A,0.41,6.2
ПР,0.34,8.42
ОК,1.02,8.2
ZW,1.41,72.8
I,0.13,6.9
Парень,-0.9,51.4
Ру,0.7,15.4
К,0.82,40.26
ТЛ,2.03,40.65
КИР,1.89,52.9
CI,2.92,82.4
WV,0.64,16.8
,0.73,9.09
РОУ,3.53,27.3
МАРТ,1.1,7.1
XMAS,,
RL,2.16,36.7
ТУКА,2.56,13.89
ГНБ,2.35,115.8
Газа,4.55,30.6
Р,0.02,7.6
РБ,1.63,54.2
Q,2.39,19.6
ФПОЛ,1.39,7.55
ДЖА,0.8,15.6
ЕТ,1.91,72.8
Кейм,2.39,6.94
РП,2.18,35.9
RCH,1.24,13.6
МНП,-0.851,
TN,1.81,35.1
ДСО,1.5,106.7
TCH,2.68,120.4
SLO,-0.27,7.3
Ил,2.11,8.5
Норк,1.74,25.9
CV,2.93,54.3
SY,0.76,12.5
ДА,3.56,71.5
АНГ,2.68,138.9
ОПП,-0.47,6.75
ВАФА,0.35,5.02
SF,0.1,4.9
ЭТО,2.72,122.8
МЕКС,1.87,25.0
И,0.56,4.5
БВ,2.32,116.3
РГ,0.55,11.9
С.А.,3.45,46.4
Z,2.11,96.1
Нл,0.56,4.9
RG,1.85,134.1
РЭ,1.1,28.3
ТМ,1.82,81.6
SGP,1.9,4.7
БИ,1.54,102.2
КБК,2.19,108.1
МЬЯ,1.84,80.7
AZ,0.78,74.5
BS,1.05,23.3
ФСО,1.28,17.4
КАМ,2.89,78.7
РТ,3.56,84.3
AFG,4.78,149.7
МК,0.59,6.9
БГ,0.46,15.7
СМАРТ,,
ГБГ,1.28,9.2
KOS,,
AXA,2.27,3.52
БВИР,1.84,14.65
COCO,,
HCA,2.6,41.8
Юзеф,1.87,79.6
СПМИ,0.77,9.95
РИМ,3.17,81.7
D,0.67,6.0
MS,1.23,17.2
ЛВ,-1.39,21.2
КР,1.16,55.3
ФГУ,3.86,14.6
ГРАД,1.2,8.3
ТТ,0.08,18.2
BZ,2.42,33.9
KWT,6.65,11.1
ЗРЕ,1.67,108.0
СИН,1.64,71.1
БЕРМ,0.65,2.46
УРБ,0.26,18.7
ЛБ,2.13,108.1
PL,0.14,12.4
РЧ,1.77,103.8
МСП,1.6,29.3
СИР,3.37,40.0
БРУ,2.56,24.2
КР,0.89,7.0
МВ,3.52,47.0
CZ,-0.03,8.4
И ДОЛЖНОСТНЫЕ ЛИЦА,2.96,2.2
ГБЦ,0.54,6.9
IRL,-0.22,6.4
KN,0.98,18.9
ДН,2.93,47.2
АЗС,2.46,145.82
ЭВ,-1.13,17.4
МПК,2.65,125.6
LAO,2.81,96.8
Мэйо,3.32,56.29
РВА,16.49,118.8
ИУ,0.83,4.3
IR,2.21,52.7
MK,0.46,29.7
СУД,3.48,76.0
Н,0.48,4.9
JOR,2.65,31.5
SVAX,-0.02,
ЧП,2.79,118.9
КОК,-3.3,16.9
ФАЛК,,
ТДж,0.98,39.6
УР,3.24,88.4
ВИРГ,-0.06,12.54
ЛС,1.9,81.6
GH,2.29,80.3
АМСА,1.22,10.18
ТВЧ,1.51,27.6
C,0.44,9.0
К,2.77,107.8
GBJ,0.77,2.7
РИ,1.53,63.1
ТА,1.03,33.4
F,0.34,5.3
CO,1.66,25.8
GBM,0.94,2.4
NEP,2.45,79.0
ПДТ,2.58,61.1
KGZ,0.07,77.8
SN,3.37,64.0
SLB,3.35,25.8
ЛТ,-0.35,17.0
ARM,0.02,38.9
Бен,3.32,105.1
БиГ,-2.84,43.2
E,0.16,6.3
Н,-0.68,12.3
G,1.47,90.1
ЗАХОД,4.99,28.6
ИРК,3.69,60.0
США,0.91,6.7
BF,2.53,117.8
ЕС,1.96,34.8
B,0.33,6.4
АГ,0.76,17.2
ГУАМ,1.37,6.05
МВт,1.71,139.9
М,1.01,6.9
WD,0.38,9.6
ОМТС,,
J,0.21,4.4
РШМ,0.82,5.5
ВАГ,3.55,80.5
ТЗА,2.07,24.0
Новой Зеландии,1.12,6.7
ГЭ,-1.02,22.5
DZ,2.21,48.7
