name,area,longitude,latitude
Ferlo,70000.0,-14.0,15.0
Arabian Desert,50000.0,26.0,33.0
Azaouad,80000.0,0.0,20.0
Great Basin,300000.0,-117.0,38.0
Grand Erg Est,150000.0,8.0,31.0
Namib,95000.0,15.0,-25.0
Sturt Desert,13000.0,141.0,-29.0
Hamada du Draa,35000.0,,
Darfur,500000.0,27.0,15.0
Kalahari,1200000.0,21.0,-22.0
Hamada al-Hamra,84000.0,12.0,30.0
Dascht-e-Kavir,77600.0,55.0,32.5
Kum Tagh,22000.0,92.0,40.0
Nefud,78000.0,42.0,28.0
Nubian Desert,50000.0,21.0,32.0
Erg Rebiana,200000.0,22.0,23.0
Rub Al Chali,780000.0,51.0,21.0
Erg Maqteir,40000.0,-11.0,22.0
Simpson Desert,176500.0,137.0,-25.0
Great Sandy Desert,360000.0,123.0,-20.0
Karakum,400000.0,60.0,40.0
Mojave,57000.0,-115.2,36.2
Fesan,300000.0,13.0,26.0
Tanami,37500.0,130.0,-20.0
Sonora,320000.0,-113.0,32.0
