island,country,province
Great Britain,GB,Gwynedd
Prince of Wales Island,CDN,Northwest Territories
Cuba,C,Cienfuegos
Molokai,USA,Hawaii
Honshu,J,Yamagata
Sumatra,RI,Indonesia
Filicudi,I,Calabria
Great Britain,GB,Torfaen
Gomera,E,Canary Islands
Cuba,C,Las Tunas
Great Britain,GB,Humberside
Fohr,D,Schleswig Holstein
Saint Kitts,KN,Saint Kitts and Nevis
Hawaii,USA,Hawaii
Great Britain,GB,Oxfordshire
Martinique,MART,Martinique
Great Britain,GB,Newport
Niue,NIUE,Niue
Kos,GR,Notion Aiyaion
Singapore,SGP,Singapore
Honshu,J,Wakayama
Saint Thomas,VIRG,Virgin Islands
Fuerteventura,E,Canary Islands
Tristan Da Cunha,HELX,Saint Helena
Oesel,EW,Estonia
Savaii,WS,Samoa
Guernsey,GBG,Guernsey
Faial,P,Azores
Nauru,NAU,Nauru
Sao Tome,STP,Sao Tome and Principe
Great Britain,GB,Staffordshire
Shetland Mainland,GB,Shetland
Honshu,J,Gifu
Lolland,DK,Denmark
Bornholm,DK,Denmark
Westray,GB,Orkneys
Taiwan,RC,Taiwan
Great Britain,GB,Denbighshire
Great Britain,GB,West Midlands
Great Britain,GB,Northamptonshire
Wangerooge,D,Niedersachsen
Lampedusa,I,Sicilia
Ibiza,E,Balearic Islands
St. Martin,SMAR,Saint Martin
Nantucket,USA,Massachusetts
Great Britain,GB,Leicestershire
Baltrum,D,Niedersachsen
San Miguel Island,USA,California
Borneo,BRU,Brunei
