abbreviation,name,city,country,province,established
ESA,European Space Agency,Paris,F,Ile de France,1973-07-31
BSEC,Black Sea Economic Cooperation Zone,,,,1992-06-25
UNAVEM III,United Nations Angola Verification Mission,New York,USA,New York,1988-12-20
G-3,Group of 3,,,,1990-10-01
WTrO,World Trade Organization,,,,1994-04-15
ICC,International Chamber of Commerce,Paris,F,Ile de France,1919-01-01
Interpol,International Criminal Police Organization,Lyon,F,Rhone Alpes,1956-06-13
AMF,Arab Monetary Fund,Abu Dhabi,UAE,Abu Dhabi,1976-04-27
G-7,Group of 7,,,,1985-09-22
CE,Council of Europe,Strasbourg,F,Alsace,1949-05-05
APEC,Asia Pacific Economic Cooperation,Singapore,SGP,Singapore,1989-11-07
OAU,Organization of African Unity,Addis Ababa,ETH,Ethiopia,1963-05-25
UNMOT,United Nations Mission of Observers in Tajikistan,New York,USA,New York,1994-12-16
ECLAC,Economic Commission for Latin America and the Caribbean,Santiago,RCH,Chile,1948-02-25
IAEA,International Atomic Energy Agency,Vienna,A,Vienna,1956-10-26
Caricom,Caribbean Community and Common Market,Georgetown,GUY,Guyana,1973-07-04
UNIFIL,United Nations Interim Force in Lebanon,New York,USA,New York,1978-03-19
UNESCO,"United Nations Educational, Scientific, and Cultural Organization",Paris,F,Ile de France,1945-11-16
ECA,Economic Commission for Africa,Addis Ababa,ETH,Ethiopia,1958-04-29
ANC,North Atlantic Cooperation Council,Brussels,B,Brabant,1991-11-08
UNTSO,United Nations Truce Supervision Organization,Jerusalem,IL,Central,1948-05-01
ACP,"African, Caribbean, and Pacific Countries",Brussels,B,Brabant,1976-04-01
CBSS,Council of the Baltic Sea States,,,,1992-03-05
NAM,Nonaligned Movement,Jakarta,RI,Indonesia,1961-09-01
SPC,South Pacific Commission,Noumea,NCA,New Caledonia,1947-02-06
G-6,Group of 6,,,,1984-05-22
G-9,Group of 9,,,,
WToO,World Tourism Organization,Madrid,E,Madrid,1975-01-02
IFRCS,International Federation of Red Cross and Red Crescent Societies,Geneva,CH,GE,1919-05-05
Intelsat,International Telecommunications Satellite Organization,Washington,USA,Distr. Columbia,1971-08-20
CEI,Central European Initiative,Budapest,H,Budapest (munic.),1991-07-27
UNMOGIP,United Nations Military Observer Group in India and Pakistan,New York,USA,New York,1948-08-13
ISO,International Organization for Standardization,Geneva,CH,GE,1947-02-01
CIS,Commonwealth of Independent States,Minsk,BY,Belarus,1991-12-08
AFESD,Arab Fund for Economic and Social Development,,,,1968-05-16
CERN,European Organization for Nuclear Research,Geneva,CH,GE,1953-07-01
G-5,Group of 5,,,,1985-09-22
G-15,Group of 15,Geneva,CH,GE,
ABEDA,Arab Bank for Economic Development in Africa,Khartoum,SUD,al Khartum,1974-02-18
IADB,Inter-American Development Bank,Washington,USA,Distr. Columbia,1959-04-08
ICRM,International Red Cross and Red Crescent Movement,Geneva,CH,GE,1928-01-01
UNCTAD,United Nations Conference on Trade and Development,Geneva,CH,GE,1964-12-30
SACU,Southern African Customs Union,Pretoria,RSA,Gauteng,1969-12-11
ANZUS,Australia-New Zealand-United States Security Treaty,Canberra,AUS,Australia Capital Territory,1951-09-01
ASEAN,Association of Southeast Asian Nations,Jakarta,RI,Indonesia,1967-08-09
PCA,Permanent Court of Arbitration,,,,1899-07-29
UPU,Universal Postal Union,Bern,CH,BE,1874-10-09
UDEAC,Central African Customs and Economic Union,Bangui,RCA,Central African Republic,1964-12-08
EIB,European Investment Bank,Luxembourg,L,Luxembourg,1957-03-25
ECO,Economic Cooperation Organization,Tehran,IR,Tehran,1985-01-01
Mercosur,Southern Cone Common Market,Buenos Aires,RA,Distrito Federal,1991-03-26
OPEC,Organization of Petroleum Exporting Countries,Vienna,A,Vienna,1960-09-14
C,Commonwealth,London,GB,Greater London,1931-12-31
Mekong Group,ASEAN-Mekong Basin Development Group,,,,1995-12-01
ECOWAS,Economic Community of West African States,Lagos,WAN,Nigeria,1975-05-28
EADB,East African Development Bank,Kampala,EAU,Uganda,1967-06-06
IGADD,Inter-Governmental Authority on Drought and Development,Djibouti,DJI,Djibouti,1986-01-15
CP,Colombo Plan,Colombo,CL,Sri Lanka,1951-07-01
