name,country,province,population,longitude,latitude
Хохот,ТЖ,"Неправильно составленный запрос. Пожалуйста, уточните, что именно Вы хотите перевести.",652534.0,113.0,41.0
Санта-Ана,"Извините, но я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст, чтобы я мог помочь вам с переводом?",Эль-Сальвадор,202337.0,,
Усть Илимск,"""R"" переводится с английского как ""R"".",Иркутская область,110000.0,,
Тумбес,ПЭ,Тумбес,,,
Чимияо,МOC,Мани́ча,108818.0,,
Браззавиль,РКБ,Конго,,15.25,-4.25
Эффон Алайе,ВАН,Нигерия,135000.0,,
Морено-Вэлли,США,Калифорния,118779.0,,
Топика,США,Кансас,119883.0,-95.6333,39.0667
Архангельск,"""R"" переводится с английского как ""R"".",Архангельская область,374000.0,40.5333,64.55
Чимботе,ПЭ,Анкас,268979.0,,
Гоаати,Индия,Ассам,584342.0,,
Вороше́щий,"""R"" переводится с английского как ""R"".",Вороше́рском районе,908000.0,,
Маринга,Б,Паранá,267878.0,,
Тачна,ПЭ,Тачна,174336.0,,
Халапа Энрикец,Мексика,Веракрус,279451.0,,
Остролек,ПЛ,Остролечки,,,
Мокегуа,ПЭ,Мокегуа,,,
Улхаснагар,Индия,Махараштра,369077.0,,
Мардин,Транслитер: ТР,Мардин,,,
Менонгэ,АНГ,Когда Кубанго,,,
Аккра,Г,Гана,867459.0,-0.2,5.55
Пардубице,ЧЗ,Вычедокские,163000.0,,
Ярославль,"""R"" переводится с английского как ""R"".",Ярославская область,629000.0,,
Синоп,Транслитер: ТР,Синоп,,,
Ташкент,УЗБ,Ташкент,2106000.0,69.3,41.3333
Хосоган,ТЖ,Хубэй,166280.0,,
Сити-Боэлор,В,Боливар,225340.0,,
Бенин-Сити,ВАН,Нигерия,203000.0,,
Люάντα,АНГ,Люάντα,,13.2,-8.6
Гэри,США,Индиана,116646.0,,
Кальян,Индия,Махараштра,1014557.0,,
Монро,США,Алабама,190350.0,-86.3667,32.3833
Кесон,РП,Филиппины,1989000.0,,
Киквит,ЗРЕ,Бандунду,182142.0,,
Ла-Паз,ХАК,Ла-Паз,,,
Оланчито,ХАК,Йоро,15900.0,,
Пуэрто-Лемпира,ХАК,Спасибо Богу,,,
Уорик,GB,Вارفикшир,118600.0,,
Медан,Ри,Индонезия,1730752.0,98.6833,3.58333
Гильдесгейм,Да,Нижняя Саксония,106095.0,,
Тавой,МЯ,Танин-Тари,,,
Такاماتсу,"Добро пожаловать в чат-бот Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Кагава,,,
Бийск,"""R"" переводится с английского как ""R"".",Алтае-Край,228000.0,,
Рио-Бранко,Б,акр,228907.0,-67.5,-9.5
Прайя-Гранде,Б,Сан-Катарина,150574.0,,
Таунги,МЯ,Шан,108200.0,,
Итагуи,Код,Антьокия,169374.0,,
Бутем,ПЛ,Катовице,230000.0,,
Самава,Ирак,Аль-Мутанна,,,
Торонто,КГП,Онтарио,635395.0,-79.5,43.5
Спрингфилд,США,Массачусетс,156983.0,,
Маге,Б,Рио-де-Жанейро,180550.0,,
Пхеньян,Нет,Северная Корея,2335000.0,125.683,39.0333
Ларкана,ПК,Пакистан,123890.0,,
Шибин эл-Ком,ET,Эль-Минувия,136000.0,,
Тамбов,"""R"" переводится с английского как ""R"".",Тамбовская область,316000.0,,
Сау-Джозе-ду-Рио-Прето,Б,Сан-Паулу,323418.0,,
