lake,country,province
Озеро Мичиган,США,Индиана
Озеро Рука,Есть,Мбея
Озеро Аббе,ДЖИ,Джибути
Озеро Босумтви,Г,Гана
Вэттерн,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Йёнчёпинг
Балатон,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Зала
Озеро Леман,Ч,ВД
Лоп-Нор,ТЖ,Синьцзян-Уйгурский автономный район
Озеро Супериор,США,Мичиган
Цюрихский озеро,Ч,ГЛ
Озеро Хьюм,Австралия,Виктория
Озеро Балчаш,Казахстан,Алматы (город)
Чадское озеро,КАМ,Северный крайний
Сторуман,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Вастеран
Озеро Эйр,Австралия,Южная Австралия
Пайяяне,SF,Финляндия
Барраж де Мбакау,КАМ,Адамау
Мёса-Си,"I'm sorry, I don't understand your request. Could you please clarify or provide additional context?",Хедемарк
Салон де Уни,Боль,Боливия
Озеро Мид,США,Аризона
Рутанзиге/Едвард-Зее,ЗРЕ,Киву
Озеро Ньос,КАМ,Северо-Запад
Озеро Орихов,АЛ,Албания
Мёртвое море,Яр,Иордания
Озеро Хьюм,Австралия,Новый Южный Уэльс
Фёравальдстаттер-зее,Ч,НВ
Саймаа,SF,Микели
Озеро Гурон,КГП,Онтарио
Озеро Скутари,АЛ,Албания
Озеро Иразу,КР,Карфаген
Вэттерн,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Остерготландия
Озеро Ван,Транслитер: ТР,Ван
Океан-Хичи,США,Флорида
Великий Медведичный Озеро,КГП,Северо-Западные территории
озеро Киву,АВ,Руанда
Озеро Гарда,я,Венето
Озеро Тахо,США,Калифорния
Озеро Кебан,Транслитер: ТР,Тунцелли
Озеро Титикака,ПЭ,Пуну
Озеро Балчаш,Казахстан,Жамбыл
Озеро Чилва,МВ,Малави
Лох-Несс,GB,Центр
Озеро Виктория,EAI,Ньяса
Озеро Лицанкавур,РЧ,Чили
Озеро Ассаль,ДЖИ,Джибути
Озеро Танганьика,ЗРЕ,Киву
озеро Насер,ET,Асуан
Арресо,ДК,Дания
Кентуккийское озеро,США,Кентукки
Мёртвое море,Я,Южный
Озеро Маникаган,КГП,Кبک
Озеро Орихов,МК,Македония
Нусайдерсее,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Гёёр-Sopрон
Озеро Бангвелю,з,Северный
Фёравальдстаттер-зее,Ч,УР
Нам Ко,ТЖ,Тибет
Сильян,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Даларна
Озеро Аббе,ЭТХ,Эфиопия
Пупо,Боль,Боливия
Оzero Ладога,"""R"" переводится с английского как ""R"".",Лeningрадская область
Озеро Ван,Транслитер: ТР,Бיטлис
Мёртвое море,Запад,Западный берег реки Иордан
Лейте-маджоре,я,Ломбардия
Озеро Танганьика,Есть,Мбея
Кратер-Лейк,США,Орегон
О Zerоу Чанку,"""R"" переводится с английского как ""R"".",Приморский край
Озеро Бракчьяно,я,Лazio
Озеро Абая,ЭТХ,Эфиопия
Фрэнклин Д. Рузвельт,США,Вашингтон
Чев Бahir,EAI,Восточный
Озеро Чапала,Мексика,Халиско
Озеро Оакая,США,Северная Дакота
Чадское озеро,"Я не совсем понимаю ваш запрос. Вы хотите перевести ""RN"" с английского на русский язык? Если да, то ""RN"" переводится как ""RN"".",Нигер
Озеро Гезера,Я,Север
Озеро Мае Ндонгбе,ЗРЕ,Бандунду
Озеро Трасимено,я,Тоскана
Озеро Кебан,Транслитер: ТР,Малатья
Озеро Эйаси,Есть,Аруша
Оzero Араль,Казахстан,Цызыл-Орда
Каспийское море,Казахстан,Мангистау
Лейте-маджоре,Ч,Ти
Оzero Ладога,"""R"" переводится с английского как ""R"".",Республика Карелия
Озеро Мид,США,Невада
Озеро Никарагуа,НИЦ,Никарагуа
Озеро Тахо,США,Невада
Балатон,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Феэр
Озеро Мичиган,США,Иллинойс
