lake,country,province
Озеро Мичиган,США,Индианаa
Озеро Руква,ЕАТ,Мбея
Озеро Аббе,ДСО,Джибути
Озеро Босумтви,GH,Гана
Веттерн,И,Джонкопинг
Балатон,Н,Зала
Лак Леман,CH,VD
Лоп Нор,ТДж,Синьцзян Уйгур
Верхнее озеро,США,Мичиган
Цюрихсэ,CH,GL
Озеро Хьюм,AUS,Виктория
Ozero Balchash,KAZ,Алма-Ата (муниципалитет)
Чадское озеро,КАМ,Северная крайность
Сторуман,И,Вастерботтен
Озеро Айр,AUS,Южная Австралия
Пейджаенн,SF,Суоми
Барьер &lt; &lt; Мбакау &gt; &gt;,КАМ,Адамауа
Мьоза-Смотри.,Н,Хедмарк
Салар де Уюни,БОЛ,Боливия
Озеро Мид,США,Аризона
Рутанзиге/Эдардзе,ЗРЕ,Киву
Озеро Ньос,КАМ,Нордуэст
Озеро Охрид,AL,Австралия
Мертвое море,JOR,Иордания
Озеро Хьюм,AUS,Новый Южный Уэльс
Vierwaldstattersee,CH,НО
Саймаа,SF,Микели
Озеро Гурон,КН,Онтарио
Озеро Скутари,AL,Австралия
Озеро Иразу,ЧР,Картаго
Веттерн,И,Остерготленд
Озеро Ван,ТR,Ван
Озеро Окечоби,США,Флорида
Великолепное медвежье озеро,КН,Северо-западные территории
Озеро Киву,РВА,Руанда
&lt; &lt; Полиция &gt; &gt;,I,Венето
Озеро Тахо,США,Калифорния
Озеро Кебан,ТR,Тунсели
Озеро Титикака,ПЭ,Пуно
Ozero Balchash,KAZ,Жамбил
Озеро Чилва,МВт,Малави
Лох-Несс,ГБ,Центральный
Озеро Виктория,ЭАК,Ньянза
Крейтерское озеро Ликанкабур,RCH,Чили
Лак-ассаль,ДСО,Джибути
Озеро Танганджика,ЗРЕ,Киву
Озеро Насер,ЕТ,Асван
Арресо,ДК,Дания
Кентуккиское озеро,США,Кентукки
Мертвое море,Ил,Южное
Озеро Маникуаган,КН,Квебек
Озеро Охрид,MK,Чешская Республика
Нойсидлерсе,Н,Гьор Сопрон
Озеро Бангвеулу,Z,Северный
Vierwaldstattersee,CH,УР
&lt; &lt; Нам Ко &gt; &gt;,ТДж,Тибет
Сильвян,И,Даларна
Озеро Аббе,ЭТО,Эфиопия
Какашки,БОЛ,Боливия
Ozero Ladoga,Р,Ленинградская область
Озеро Ван,ТR,Битлис
Мертвое море,ЗАХОД,Западный берег
Лаго Маггиоре,I,Ломбардия
Озеро Танганджика,ЕАТ,Мбея
Кратерское озеро,США,Орегон
Ozero Chanka,Р,Приморский крей
Лаго-ди-Бракьяно,I,Лацио
Озеро Абайя,ЭТО,Эфиопия
Франклин Д. Рузвельтское озеро,США,Вашингтон
Жуй Бахир,ЭАК,Восточная
Лаго-де-Чапала,МЕКС,Халиско
Озеро Оахе,США,Северная Дакота
Чадское озеро,РН,Нигер
Озеро Женезарет,Ил,Север
Озеро Май Ндомбе,ЗРЕ,Бандунду
Лаго Трасимено,I,Тоскана
Озеро Кебан,ТR,Малатья
Озеро Айаси,ЕАТ,Аруша
Ozero Aral,KAZ,Кызылорда
Каспийское море,KAZ,Мангистау
Лаго Маггиоре,CH,TI
Ozero Ladoga,Р,Респондент Карелии
Озеро Мид,США,Невада
озеро Никарагуа,НИК,Никарагуа
Озеро Тахо,США,Невада
Балатон,Н,Фейер
Озеро Мичиган,США,Иллинойс
