country,name,percentage
ПА,Протестанты,15.0
РОУ,Мусульмане,75.0
COCO,Кристиан,20.0
ES,Римская католическая,75.0
Z,Кристиан,60.0
ТТ,Мусульмане,6.0
Нл,Протестанты,25.0
PL,Римская католическая,95.0
АНГ,Римская католическая,38.0
KAZ,Христианская православная,44.0
АМСА,Римская католическая,20.0
БВИР,Римская католическая,10.0
ARU,Протестанты,9.0
ОАЭ,Мусульмане,96.0
IRL,Англиканский,3.0
РСС,Мусульмане,15.0
К,Кристиан,100.0
МЭТ,Кристиан,1.1
AFG,Мусульмане,99.0
CH,Протестанты,44.3
Газа,Еврейский,0.6
РЧ,Протестанты,16.0
CH,Римская католическая,47.6
ZW,Кристиан,25.0
ЗАХОД,Еврейский,17.0
НОРФ,Объединение Церкви Австралии,16.4
Кл,Кристиан,8.0
ГР,Мусульмане,1.3
РП,Римская католическая,83.0
SLB,Англиканский,34.0
ЭАК,Протестанты,38.0
BS,Протестанты,12.0
РШМ,Римская католическая,100.0
ФПОЛ,Протестанты,54.0
РТ,Мусульмане,10.0
B,Римская католическая,75.0
БЕРМ,Африканский методистский епископ,11.0
A,Протестанты,6.0
CI,Мусульмане,60.0
КН,Римская католическая,45.0
ТТ,Римская католическая,32.2
БГ,Христианская православная,85.0
AXA,Римская католическая,5.7
CI,Кристиан,12.0
ВАН,Кристиан,40.0
JOR,Мусульмане,92.0
МК,Римская католическая,95.0
БРУ,Мусульмане,63.0
ГЭ,Мусульмане,11.0
ФШМ,Римская католическая,50.0
УРБ,Римская католическая,4.0
ВИРГ,Римская католическая,34.0
Юзеф,Мусульмане,88.0
РБ,Кристиан,50.0
ДК,Протестанты,91.0
ПНГ,Евангелический альянс,4.0
DZ,Мусульмане,99.0
АЗС,Мусульмане,100.0
KAZ,Протестанты,2.0
NEP,Мусульмане,3.0
ТА,Кристиан,0.5
БРУ,Буддисты,14.0
SN,Мусульмане,92.0
TCH,Кристиан,25.0
AUS,Римская католическая,26.0
ГРАД,Римская католическая,95.0
AL,Римская католическая,10.0
МАРТ,Индуистский,5.0
РТ,Кристиан,20.0
СП,Мусульмане,100.0
MD,Христианская православная,98.5
BZ,Римская католическая,62.0
