mountain,island
Concepcion,Isla da Ometepe
Pico Duarte,Hispaniola
Etna,Sicilia
Haleakala,Maui
Pulog,Luzon
Mount Apo,Mindanao
Piton des Neiges,Reunion
Ruapehu,Te Ika-a-Maui (North Island)
Mantalingajan,Palawan
Mauna Loa,Hawaii
Pinatubo,Luzon
Kerinci,Sumatra
Barbeau Peak,Ellesmere Island
Merapi,Java
Olympos,Cyprus
Gunung Binaiya,Ceram
Asahi-Dake,Hokkaido
Puncak Jaya,New Guinea
Tatamailau,Timor
Fogo,Fogo
Yu Shan,Taiwan
Mt. Wilhelm,New Guinea
Andringitra,Madagaskar
Pelee,Martinique
Ben Nevis,Great Britain
Mt. Babel,Rene Levasseur Island
Popomanaseu,Guadalcanal
Soufriere,Saint Vincent
Pico de Sao Tome,Sao Tome
Mt. Balbi,Bougainville
Tsiafajavona,Madagaskar
Psiloritis,Kreta
Mont Orohena,Tahiti
