city,province,country,river,lake,sea
Кременчук,Полтавска,UA,Днепр,,
Булонне Билланкур,Иль де Франция,F,Сена,,
Братск,Иркутская область,Р,Ангара,,
Таллинн,Литва,ЭВ,,,Балтийское море
&lt; &lt; Реджио ди Калабрия &gt; &gt;,Калабрия,I,,,Средиземное море
Белград,Сербия,ОПП,Сохранить,,
Вастеры,Вазманленд,И,,Маеларен,
Бостон,Массачусетс,США,,,Атлантический океан
Ставангер,Рогаланд,Н,,,Северное море
Нумеа,Новая Каледония,НКА,,,Тихоокеанский океан
Шарлоттаун,Остров принца Эдуарда,КН,,,Атлантический океан
Сигнал,Сегедный (муниципальный),Н,Тейсс,,
Лонг Сюйен,Вьетнам,VN,Меконг,,
Шилунг,Тайвань,КР,,,Восточно-Китайское море
Кастри,Сент-Люсия,WL,,,Карибское море
Петропавль,Солтустик Казакстан,KAZ,Ишим,,
Аден,Йемен,ДА,,,Аденский залив
Хамхунг Хунгнам,Северная Корея,Норк,,,Японское море
Северный Хартум,Аль-Хартум,СУД,Нил,,
Панкал Пинанг,Индонезия,РИ,,,Южно-Китайское море
Семей,Семей,KAZ,Иртыш,,
Ланчжоу,Гансу,ТДж,Хванхо,,
Зальцбург,Зальцбург,A,Сальзах,,
Тромсоэ,Тромы,Н,,,Норвежское море
Сан-Луис,Маранхао,КР,,,Атлантический океан
Монреаль,Квебек,КН,Река Святого Лоуренса,,
Ульм,Баден Вуртемберг,D,Иллер,,
Окаяма,Окаяма,J,,,Тихоокеанский океан
Уху,Анхуи,ТДж,Янгце,,
Тунис,Тунис,TN,,,Средиземное море
Кострома,Костромская область,Р,Волга,,
Римини,Эмилия Романья,I,,,Средиземное море
Морони,Коморские Острова,COM,,,Индийский океан
