river,country,province
Uelle,ZRE,Haut Zaire
Enns,A,Lower Austria
Allegheny River,USA,Pennsylvania
Chatanga,R,Krasnoyarskiy kray
Victoria Nile,EAU,Uganda
Yukon River,CDN,Yukon Territory
Inn,CH,GR
Maas,F,Champagne Ardenne
Drin,AL,Albania
Leine,D,Niedersachsen
Columbia River,CDN,British Columbia
Riviere Richelieu,CDN,Quebec
Ounasjoki,SF,Lappia
Ticino,CH,TI
White Nile,SUD,Aali an Nil
Rio Sao Francisco,BR,Minas Gerais
Amur,R,Chitinskaya oblast
Schatt al Arab,IRQ,Al Anbar
Glomma,N,Soer Trondelag
Oesterdalaelv,S,Dalarna
Zambezi,Z,Luapula
Arno,I,Toscana
Rio Grande,USA,Colorado
Murray River,AUS,Victoria
Sanga,RCA,Central African Republic
Tiber,I,Umbria
Luvua,ZRE,Shaba/Katanga
Indus,TJ,Tibet
Bani,CI,Cote dIvoire
Petschora,R,Rep. of Komi
Rio San Juan,NIC,Nicaragua
Waag,SK,Slovakia
Marne,F,Champagne Ardenne
Black Drin,MK,Macedonia
Po,I,Piemonte
Rhein,CH,GR
Suchona,R,Vologodskaya oblast
Mur,A,Salzburg
Isar,A,Tyrol
Rio Lerma,MEX,Nayarit
Pruth,UA,Ivano Frankivska
Akagera,RWA,Rwanda
Dalaelv,S,Dalarna
Rhone,CH,VS
Volga,R,Tverskaya oblast
Niger,RG,Guinea
Semliki,ZRE,Kivu
Detroit River,CDN,Ontario
Ubangi,ZRE,Equateur
Fulda,D,Hessen
Nile,SUD,al Khartum
Paraguay,BR,Mato Grosso
Naryn,KGZ,Kyrgyzstan
Niagara River,USA,New York
March,CZ,Severomoravsky
Donau,D,Baden Wurttemberg
Isere,F,Rhone Alpes
Irtysch,KAZ,Shyghys Qazaqstan
Cuango,ANG,Malanje
Tocantins,BR,Goias
Rio Madeira,BOL,Bolivia
Kokemaeenjoki,SF,Turku-Pori
Bahr el-Djebel/Albert-Nil,EAU,Uganda
Cuilo,ANG,Lunda Sul
Schilka,R,Chitinskaya oblast
Lomami,ZRE,Shaba/Katanga
Amazonas,PE,Cuzco
Missouri,USA,Montana
Ubangi,RCA,Central African Republic
Werra,D,Thuringen
Guadiana,E,Castile La Mancha
Main,D,Bayern
Euphrat,TR,Malatya
Tigris,TR,Diyarbakir
Western Dwina,R,Smolenskaya oblast
Limmat,CH,ZH
Arkansas,USA,Colorado
Aare,CH,BE
Brahmaputra,TJ,Tibet
Ischim,KAZ,Qaraghandy
Saskatchewan River,CDN,Alberta
Tobol,R,Orenburgskaya oblast
Narva,R,Pskovskaya oblast
