name,islands,area,height,type,longitude,latitude
Basse-Terre,Lesser Antilles,848.0,1467.0,volcanic,-61.8,16.15
Isabela,Galapagos,5436.0,1707.0,volcanic,-91.3,-1.0
Ameland,Westfriesische Inseln,57.6,,,5.75,53.5
Rota,Mariana Islands,85.0,495.0,,145.2,15.15
Singapore,,632.6,176.0,,103.833,1.3
Gran Canaria,Canares,1560.0,1949.0,volcanic,-15.6,28.0
Sylt,Nordfriesische Inseln,99.0,52.5,,8.3,54.9
Saint Lucia,Lesser Antilles,616.0,950.0,volcanic,-60.5,14.0
Aust-Vagoey,Lofotes,526.0,1146.0,,14.6,68.3
Bornholm,,588.0,162.0,,14.9,55.1
Sri Lanka,,65610.0,,,80.0,7.0
Antigua,Lesser Antilles,281.0,400.0,,-61.8,17.05
Okinawa,Japan,2255.0,,volcanic,128.0,26.0
Panay,Phillipines,12297.0,2117.0,,122.5,11.15
Cuba,Greater Antilles,105806.0,1974.0,,-79.0,22.0
Schiermonnikoog,Westfriesische Inseln,40.0,,,6.2,53.5
Bangka,Sunda Islands,11942.0,700.0,,106.0,2.25
Hierro,Canares,268.0,1500.0,volcanic,-18.0,27.7
Barra,Outer Hebrides,91.0,,,-7.7,57.0
Tortola,Lesser Antilles,55.0,521.0,volcanic,-64.37,18.27
Ambon,Moluccan Islands,775.0,1225.0,,128.2,-3.7
Montserrat,Lesser Antilles,102.0,1050.0,volcanic,-62.13,16.42
Aland,Aland Islands,650.0,,,20.0,60.1
Anglesey,British Isles,715.0,,,-4.4,53.3
Sao Tome,,859.0,2024.0,volcanic,6.6,0.2
Hainan,,34380.0,1897.0,,109.6,19.1
