city,province,country,river,lake,sea
Adamstown,Pitcairn Islands,PITC,,,Pacific Ocean
Mumbai,Maharashtra,IND,,,Arabian Sea
Rotterdam,Zuid Holland,NL,Rhein,,
Innsbruck,Tyrol,A,Inn,,
Mata-Utu,Wallis and Futuna,WAFU,,,Pacific Ocean
Santa Cruz de Tenerife,Canary Islands,E,,,Atlantic Ocean
Al Amarah,Maysan,IRQ,Tigris,,
Tela,Atlantida,HCA,,,Caribbean Sea
Mbandaka,Equateur,ZRE,Zaire,,
Port Sudan,ash Sharqiyah,SUD,,,Red Sea
Blagoveshchensk,Amurskaya oblast,R,Amur,,
Ulm,Baden Wurttemberg,D,Iller,,
Vladivostok,Primorsky kray,R,,,Sea of Japan
Kikwit,Bandundu,ZRE,Cuilo,,
Mamoutzou,Mayotte,MAYO,,,Indian Ocean
Strasbourg,Alsace,F,Rhein,,
Conakry,Guinea,RG,,,Atlantic Ocean
Niigata,Niigata,J,,,Sea of Japan
Luoyang,Henan,TJ,Hwangho,,
Victoria,British Columbia,CDN,,,Pacific Ocean
Baracaldo,Basque Country,E,,,Atlantic Ocean
Port Blair,Andaman and Nicobar Is.,IND,,,Gulf of Bengal
Banjarmasin,Indonesia,RI,,,Sunda Sea
Matsue,Shimane,J,,,Sea of Japan
Pittsburgh,Pennsylvania,USA,Ohio River,,
Ostrava,Severomoravsky,CZ,Oder,,
Kurgan,Kurganskaya oblast,R,Tobol,,
Khartoum North,al Khartum,SUD,Nile,,
Tromsoe,Troms,N,,,Norwegian Sea
Ryazan,Ryazanskaya oblast,R,Oka,,
Tampico,Tamaulipas,MEX,,,Gulf of Mexico
Petropavl,Soltustik Qazaqstan,KAZ,Ischim,,
Noumea,New Caledonia,NCA,,,Pacific Ocean
Yaren,Nauru,NAU,,,Pacific Ocean
