country,population_growth,infant_mortality
RP,2.18,35.9
AG,0.76,17.2
RO,-1.21,23.2
BF,2.53,117.8
UA,-0.4,22.5
BS,1.05,23.3
SGP,1.9,4.7
KWT,6.65,11.1
SF,0.1,4.9
RSM,0.82,5.5
JOR,2.65,31.5
M,1.01,6.9
NORF,,
MART,1.1,7.1
IR,2.21,52.7
STP,2.58,61.1
RM,2.83,93.5
VU,2.17,64.6
GBZ,0.54,6.9
WSA,2.46,145.82
MNTS,0.39,16.08
D,0.67,6.0
OM,3.53,27.3
TN,1.81,35.1
TM,1.82,81.6
NOK,1.74,25.9
R,-0.07,24.7
BHT,2.32,116.3
MH,3.85,46.9
EW,-1.13,17.4
UAE,4.33,20.4
JA,0.8,15.6
GH,2.29,80.3
LV,-1.39,21.2
CR,2.06,13.5
THA,1.03,33.4
CAYM,2.39,6.94
TUCA,2.56,13.89
