name,area,longitude,latitude
Колорадо-Плейн-Бюф,337000.0,-110.0,36.0
Калаhari,1200000.0,21.0,-22.0
Уст-Урт,180000.0,56.0,43.0
Ферло,70000.0,-14.0,15.0
Оуэтти,36000.0,-117.0,42.0
Эрг-Чеч,10000.0,-3.0,25.0
Эрг Мактеир,40000.0,-11.0,22.0
Каракум,400000.0,60.0,40.0
Гибсон-пустыня,310800.0,125.0,-23.0
Эрг Ребиана,200000.0,22.0,23.0
Симпсон-Десерт,176500.0,137.0,-25.0
Баха-Каліфорния-Десерт,30000.0,-116.0,31.0
Руб-аль-Хали,780000.0,51.0,21.0
Мурункум,37500.0,72.0,44.0
Великая соленая пустыня озера,10360.0,-114.0,41.0
Эрж Уоране,80000.0,-11.0,21.0
Сирийский пустыня,518000.0,39.0,33.0
Нубийский пустыня,50000.0,21.0,32.0
Ригестан,25000.0,65.0,30.0
Даште-Маргох,40000.0,62.0,31.0
Рин,80000.0,47.0,48.0
Великий бассейн,300000.0,-117.0,38.0
Нуллаборрская равнина,200000.0,129.0,-31.0
Джураб,100000.0,18.0,17.0
Такламакан,300000.0,82.0,38.0
Морава,57000.0,-115.2,36.2
Ордос,90000.0,108.0,38.0
Эрди Эннеди,180000.0,22.0,18.0
Сонора,320000.0,-113.0,32.0
Танами,37500.0,130.0,-20.0
