island,country,province
Хонсю,Джо,Ишикава
Блионоро,МЭЛ,Саравак
Хонсю,Джо,Ямагата
Батам,Ри,Индонезия
Сент-Мартин,Нет,Нидерландские Антильские острова
Вангероге,Д,Нижняя Саксония
Блионоро,Ри,Индонезия
Хонсю,Джо,Тосига
Кюсю,Джо,Оита
Лейте,РП,Филиппины
Базе-Тэрр,Гвад,Гваделупа
Ислай,Хорошо.,Стратклайд
Сент-Пьер,Секретная программа исследования и развития,Сент-Пьер и Микилон
Остров Санта-Роза,США,Калифорния
Хонсю,Джо,Осака
Ангилья,АКСА,Ангилья
Икария,ГР,Ворион Айаион
Великобритания,Хорошо.,Центральный
Остров принца Уэльского,КДН,Северо-Западные территории
Великобритания,Хорошо.,Вест-Йоркшир
Великобритания,Хорошо.,Норфолк
Хонсю,Джо,Аомори
Сахалин,Р,Сахалинская область
Великобритания,Хорошо.,Ронда-Кёнт-Тафф
Великобритания,Хорошо.,Стратклайд
Церам,Ри,Индонезия
Великобритания,Хорошо.,Хамберсайд
Великобритания,Хорошо.,Большомэристский округ Большой Манчестер
Третья,П,Азорские острова
Сокотра,Да,Йемен
Курса,Ф,Курса
Великобритания,Хорошо.,Линкольншир
Куба,C,Гавана
Гештальт,IР,Хормозган
Лангёог,Д,Нижняя Саксония
Гранде-Терр,НЦА,Новая Каледония
Лолланд,ДК,Дания
Вестрей,Хорошо.,Оркнейские острова
Великобритания,Хорошо.,Бёркшир
Хонсю,Джо,Хёго
