country,target
Инд,нехристианин
МА,нехристианин
"Добро пожаловать в Cohere! Я — AI-ассистент Coral, и я здесь, чтобы помогать вам. Как я могу помочь сегодня?",Крэйстин
ЦИ,нехристианин
ЧЕЛОВЕК,Крэйстин
"Извините, но я не понимаю, что вы имеете в виду под ""BZ"". Если у вас есть конкретный запрос на перевод, я с удовольствием помогу вам.",Крэйстин
Фиджи,Крэйстин
TM,нехристианин
МЯ,нехристианин
В,Крэйстин
СИ,Крэйстин
ВУ,Крэйстин
Ц,Крэйстин
ИЛ,нехристианин
АКСА,Крэйстин
ПНГ,Крэйстин
SМЕ,нехристианин
Пи,Крэйстин
АМР,Крэйстин
я,Крэйстин
Коко,нехристианин
Джо́р,нехристианин
П,Крэйстин
ЗВ,Крэйстин
"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Крэйстин
БИХ,нехристианин
А,Крэйстин
ДК,Крэйстин
СИР,нехристианин
ГР,Крэйстин
ПЭ,Крэйстин
Д,Крэйстин
НОРФ,Крэйстин
Кук,Крэйстин
Макс,нехристианин
ММР,нехристианин
БС,Крэйстин
МВ,Крэйстин
RL,нехристианин
Ф,Крэйстин
РХ,Крэйстин
ТО,Крэйстин
Нет,Крэйстин
Вода,нехристианин
БВИР,Крэйстин
Австралия,Крэйстин
Фаркс,Крэйстин
