name,country,province,population,longitude,latitude
АнНасирия,ИРК,Ди-Кар,265937.0,,
Малабо,GQ,Экваториальная Гвинея,33000.0,9.0,4.0
Гуарапуава,КР,Парана,149158.0,,
Лусака,Z,Лусака,982362.0,28.2,-15.3
Мадюн,РИ,Индонезия,170242.0,,
Сан Николя де лос Гарза,МЕКС,Нуэво Леон,436603.0,,
Кавасаки,J,Канагава,1187000.0,,
Шкодер,AL,Австралия,62000.0,19.2,42.2
Сюйхуа,ТДж,Хейлонгцзян,227881.0,,
Нижнекамск,Р,Республика Татарстан,210000.0,,
Гуликтон,Юзеф,Сирдар,,,
Ниигата,J,Ниигата,,,
Виктория де Дуранго,МЕКС,Дюранго,348036.0,,
Фёрт,D,Байерн,107799.0,,
Санта Роза,США,Калифорния,113261.0,-122.817,38.5167
Хейз,ТДж,Шаньдун,189293.0,,
Руда Сляска,PL,Катовики,170000.0,,
Горзов Вилькопольский,PL,Горцовски,123000.0,,
Милан,I,Ломбардия,1432184.0,9.28333,45.45
Лилль,F,&lt; &lt; Норд Пас де Кале &gt; &gt;,172142.0,3.3,50.37
Братск,Р,Иркутская область,257000.0,,
Ухай,ТДж,Нэй Монголь,264081.0,,
Арлингтон,США,Вирджиния,170897.0,,
Пуэрто-Аякучо,YV,Амазонки,,,
Джексон,США,Миссисипи,202062.0,-90.0833,32.3167
Такна,ПЭ,Такна,174336.0,,
Ньиргьяза,Н,Заболки Сатмар,115000.0,,
Кочи,J,Кочи,,,
Кричума,КР,Санта-Катарина,159033.0,,
Ставангер,Н,Рогаланд,95089.0,5.5,59.0
Ужасно.,IR,Хузестан,181309.0,,
Биала Подласка,PL,Bialskopodlaskye,,,
Кайфенг,ТДж,Хэнан,507763.0,,
Маристад,И,Skaraborg,24255.0,13.5,58.4
Пондичерри,СИН,Пондичерри,,79.5,12.0
Паго-Паго,АМСА,Американское Самоа,,-170.42,-14.16
Симберск,Р,Ульяновская область,678000.0,,
Ньюарк на Тренте,ГБ,Ноттингемшир,104400.0,,
Сан-Гонкало,КР,Рио-де-Жанейро,827967.0,,
Санкт Галлен,CH,SG,74106.0,,
Картахена,CO,Боливар,745689.0,,
Мерида,E,Эстремадура,,,
Честер,ГБ,Чешир,120800.0,,
Кабинда,АНГ,Кабинда,,,
Брага,Р,Брага,63033.0,,
Донецк,UA,Донецка,1117000.0,,
Миядзаки,J,Миядзаки,,,
