river,country,province
Лена,Р,Иркутская область
Оранье,ЛС,Лесото
Санага,КАМ,Кот/литератор
Нил,ЕТ,Асван
Габариты,БД,Бангладеш
Реус,CH,LU
Амазонки,ПЭ,Куско
Сусона,Р,Вологодская область
Атбара,ЭТО,Эфиопия
Драу,Н,Баранья
Ривер Огайо,США,Индианаa
Нил,ЕТ,Эль-Гарбия
Днестр,UA,Тернопилска
Драу,A,Каринтия
Ольт,RO,Ольт
Амазонки,КР,Амазонки
Нил,ЕТ,Бени Сюф
Нил,СУД,Аль-Хартум
Нил,ЕТ,Кена
Темба,ГБ,Оксфордшир
Умеэльв,И,Вастерботтен
Днестр,UA,Хмельницкая
Рио Магдалена,CO,Толима
Донау,БГ,Австралия
Петшора,Р,Архангельская область
Тичино,CH,TI
Евфрат,ИРК,Аль-Мутанна
Черный кусок,MK,Чешская Республика
Уэсер,D,Нордрхейн Вестфален
