desert,country,province
Grand Erg Est,TN,Tunisia
Dascht-e-Kavir,IR,Esfahan
Great Salt Lake Desert,USA,Utah
Azaouad,DZ,Algeria
Simpson Desert,AUS,Queensland
Dascht-e-Kavir,IR,Yazd
Karakum,TM,Dashhowuz
Great Victoria Desert,AUS,South Australia
Sonora,MEX,Sonora
Dascht-e-Margoh,AFG,Afghanistan
Syrian Desert,IRQ,Al Anbar
Colorado Plateau,USA,Arizona
Talak,RN,Niger
Dascht-e-Lut,IR,Esfahan
Libyan Desert,SUD,Darfur
Colorado Plateau,USA,New Mexico
Gobi,MNG,Mongolia
Sonora,USA,California
Dascht-e-Kavir,IR,Khorasan
Red Centre,AUS,Northern Territory
Trarza,RIM,Mauritania
Mujunkum,KAZ,Zhambyl
Ryn,R,Rep. of Kalmykiya
Ryn,KAZ,Atyrau
Grand Erg Est,DZ,Algeria
Darfur,SUD,Darfur
Hamada du Draa,MA,Morocco
Erg Ouarane,RIM,Mauritania
Libyan Desert,ET,El Giza
Nefud,SA,Saudi Arabia
Rub Al Chali,UAE,Ras al Khaymah
Nullarbor Plain,AUS,Western Australia
Hamada al-Hamra,LAR,Libya
Tanami,AUS,Northern Territory
Mojave,USA,California
Erdi Ennedi,TCH,Chad
Sturt Desert,AUS,New South Wales
Simpson Desert,AUS,Northern Territory
Tanezrouft,RMM,Mali
Nubian Desert,SUD,ash Sharqiyah
Owyhee,USA,Oregon
Kalahari,NAM,Namibia
Karakum,TM,Ahal
Rigestan,PK,Pakistan
Thar,IND,Punjab
Kysylkum,UZB,Qaraqalpoghiston
Sonora,MEX,Chihuahua
Red Centre,AUS,Western Australia
Libyan Desert,ET,Beni Suef
Libyan Desert,ET,El Wadi el Jadid
Erg Igidi,DZ,Algeria
Syrian Desert,SA,Saudi Arabia
Gobi,TJ,Ningxia Huizu
Kysylkum,KAZ,Qyzylorda
Mojave,USA,Utah
Simpson Desert,AUS,South Australia
Kalahari,ANG,Moxico
Erg Rebiana,LAR,Libya
Rub Al Chali,UAE,Dubayy
Kysylkum,UZB,Jizzakh
Djourab,TCH,Chad
Tenere,RN,Niger
Ryn,KAZ,Batys Qazaqstan
Kalahari,RSA,North West
Azaouad,RMM,Mali
Rub Al Chali,OM,Oman
Ust Urt,UZB,Qaraqalpoghiston
Ust Urt,KAZ,Aqtobe
Sonora,USA,Arizona
Rub Al Chali,UAE,Ash Shariqah
Kalahari,ANG,Cuando Cubango
Karakum,TM,Balkan
Erg Maqteir,RIM,Mauritania
Negev,IL,South
Erg Chech,DZ,Algeria
Chihuahua,USA,Arizona
Mujunkum,KAZ,Qyzylorda
Karakum,UZB,Samarqand
Kalahari,RB,Botswana
Rub Al Chali,SA,Saudi Arabia
Ordos,TJ,Shaanxi
Ferlo,SN,Louga
Fesan,LAR,Libya
Grand Erg Ouest,DZ,Algeria
Owyhee,USA,Idaho
Libyan Desert,ET,El Minya
Sturt Desert,AUS,Queensland
Gobi,TJ,Nei Monggol
Rigestan,AFG,Afghanistan
Hamada du Draa,DZ,Algeria
Dascht-e-Lut,IR,Kerman
Karakum,TM,Leban
Tenere,TCH,Chad
Syrian Desert,SYR,Syria
Ust Urt,KAZ,Mangghystau
Kum Tagh,TJ,Xinjiang Uygur
Sturt Desert,AUS,Northern Territory
Dascht-e-Lut,IR,Sistan e Baluchestan
Karakum,UZB,Qaraqalpoghiston
Nullarbor Plain,AUS,South Australia
Kalahari,Z,Western
Mojave,USA,Arizona
Rub Al Chali,UAE,Abu Dhabi
Karakum,TM,Mary
TaklaMakan,TJ,Xinjiang Uygur
Great Basin,USA,Utah
Red Centre,AUS,South Australia
Great Basin,USA,California
Arabian Desert,ET,El Bahr el Ahmar
Chihuahua,USA,New Mexico
Dascht-e-Kavir,IR,Semnan
Ryn,R,Astrakhanskaya oblast
Rub Al Chali,UAE,Umm al Qaywayn
Gibson Desert,AUS,Western Australia
Great Basin,USA,Nevada
Erg Chech,RMM,Mali
Libyan Desert,SUD,ash Shamaliyah
Erg Igidi,RIM,Mauritania
Azaouad,RN,Niger
Owyhee,USA,Nevada
Baja California Desert,MEX,Baja California
Colorado Plateau,USA,Utah
Ferlo,SN,Tambacounda
Rub Al Chali,UAE,Al Fujayrah
Dascht-e-Kavir,IR,Tehran
Qaidam,TJ,Qinghai
Kysylkum,UZB,Samarqand
Thar,IND,Rajasthan
Namib,NAM,Namibia
Ordos,TJ,Nei Monggol
Erg Isaouane,DZ,Algeria
Libyan Desert,LAR,Libya
Libyan Desert,ET,Matruh
Thar,IND,Gujarat
Colorado Plateau,USA,Colorado
Erg Igidi,RMM,Mali
Gobi,TJ,Gansu
Ordos,TJ,Ningxia Huizu
Dascht-e-Lut,IR,Khorasan
Thar,IND,Haryana
Kalahari,Z,Southern
Dascht-e-Lut,IR,Yazd
