river,country,province
Vaal,RSA,Mpumalanga
Northern Dwina,R,Vologodskaya oblast
Blue Nile,SUD,Nil al Asraq
Kokemaeenjoki,SF,Turku-Pori
Murat,TR,Bingol
Guadiana,P,Algarve
Morava,SRB,Serbia
Weichsel,PL,Siedleckie
Manicouagan,CDN,Quebec
Drau,H,Zala
Rio Magdalena,CO,Caldas
Jangtse,TJ,Jiangsu
Amazonas,CO,Amazonas
Rhein,CH,AG
Nile,SUD,al Khartum
Amazonas,PE,Cuzco
Dnepr,UA,Zaporizka
Murray River,AUS,New South Wales
Dnjestr,UA,Lvivska
Saskatchewan River,CDN,Manitoba
Darling River,AUS,New South Wales
Rio San Juan,NIC,Nicaragua
Drau,SLO,Slovenia
Naryn,UZB,Toshkent
Schari,RCA,Central African Republic
Donau,RO,Caras Severin
Ruzizi,BI,Burundi
Seine,F,Bourgogne
Volga,R,Saratovskaya oblast
Pruth,RO,Vaslui
Irawaddy,TJ,Yunnan
Mackenzie River,CDN,Northwest Territories
Cuilo,ANG,Moxico
Arno,I,Toscana
Brahmaputra,BD,Bangladesh
Maas,B,Limburg
Senegal,SN,Tambacounda
Niagara River,CDN,Ontario
Parana,BR,Mato Grosso do Sul
Truckee River,USA,California
Uelle,ZRE,Haut Zaire
Euphrat,IRQ,Babil
Douro,P,Vila Real
Pjandsh,TAD,Badakhshoni Kuni
Mosel,F,Lorraine
Etsch,I,Trentino Alto Adige
Ounasjoki,SF,Lappia
Lech,A,Vorarlberg
Euphrat,IRQ,Dhi Qar
Vuoksi,SF,Kymi
Maas,B,Namur
Ischim,KAZ,Qaraghandy
March,CZ,Jihomoravsky
Volga,R,Volgogradskaya oblast
Sobat,SUD,Aali an Nil
Lomami,ZRE,Kivu
Enns,A,Salzburg
Tigris,IRQ,Dahuk
Irawaddy,MYA,Sagaing
Donau,RO,Dolj
Brigach,D,Baden Wurttemberg
Pruth,UA,Ivano Frankivska
Zaire,ZRE,Bas Zaire
White Nile,SUD,Aali an Nil
Tajo,P,Lisbon
Orinoco,YV,Amazonas
Theiss,H,Borsod Abauj Zemplen
Tigris,TR,Mardin
Rio Negro,BR,Roraima
Jordan,WEST,West Bank
Amudarja,UZB,Samarqand
Senegal,RG,Guinea
Ticino,CH,TI
Weichsel,PL,Tarnobrzeskie
Glomma,N,Akershus
Paraguay,RA,Chaco
Isere,F,Rhone Alpes
Volga,R,Tverskaya oblast
Moldau,CZ,Praha
Mur,A,Salzburg
Po,I,Piemonte
Paraguay,PY,Paraguay
Semliki,ZRE,Kivu
Ebro,E,Catalonia
Uruguay,ROU,Uruguay
Ural,R,Rep. of Bashkortostan
Olt,RO,Harghita
March,A,Lower Austria
Amudarja,UZB,Qaraqalpoghiston
Uruguay,RA,Misiones
Tobol,R,Tyumenskaya oblast
Jenissej,R,Rep. of Tyva
Joekulsa a Fjoellum,IS,Iceland
Lualaba,ZRE,Haut Zaire
Blue Nile,SUD,al Khartum
Ob,R,Tomskaya oblast
Maas,NL,Gelderland
Zaire,ZRE,Haut Zaire
Irawaddy,TJ,Tibet
Rio Magdalena,CO,Magdalena
Missouri,USA,Iowa
Saone,F,Rhone Alpes
Weichsel,PL,Gdanskie
Black Drin,MK,Macedonia
Mur,H,Zala
Glomma,N,Soer Trondelag
Parana,RA,Santa Fe
Garonne,F,Languedoc Roussillon
Iller,A,Vorarlberg
Jangtse,TJ,Qinghai
Dnepr,UA,Kyyivska
Saar,D,Rheinland Pfalz
Sanaga,CAM,Est
Detroit River,CDN,Ontario
Pibor,SUD,Aali an Nil
Vuoksi,SF,Kuopio
Guadiana,P,Beja
Newa,R,Leningradskaya oblast
Sanaga,CAM,Centre
Loire,F,Pays de la Loire
Tiber,I,Toscana
Dnjestr,UA,Chernivetska
Neckar,D,Baden Wurttemberg
Seine,F,Ile de France
Dalaelv,S,Uppsala
Angara,R,Krasnoyarskiy kray
Hwangho,TJ,Qinghai
Lukenie,ZRE,Kasai Oriental
Murat,TR,Elazig
Lukenie,ZRE,Kasai Occidental
Weichsel,PL,Torunskie
Douro,E,Castile and Leon
Benue,WAN,Nigeria
Missouri,USA,Kansas
Saone,F,Bourgogne
Parana,RA,Distrito Federal
Goetaaelv,S,Goteborg och Bohus
Jangtse,TJ,Hubei
Lagen,N,Oppland
Salzach,A,Salzburg
Oder,PL,Szczecinskie
Ganges,IND,West Bengal
Ticino,I,Piemonte
Donau,RO,Ialomita
Euphrat,IRQ,Al Qadisiyah
Thames,GB,Kent
Murray River,AUS,South Australia
Tocantins,BR,Tocantins
Olt,RO,Olt
Oka,R,Tulskaya oblast
Rhein,CH,SG
Indus,PK,Pakistan
Guadiana,E,Castile La Mancha
Nile,ET,El Qalubiya
Volga,R,Samarskaya oblast
Tobol,KAZ,Qostanay
Mur,SLO,Slovenia
Thames,GB,Greater London
Lena,R,Rep. of Sakha
Ural,KAZ,Atyrau
Brahmaputra,IND,Arunachal Pradesh
Black Drin,AL,Albania
Petschora,R,Arkhangelskaya oblast
Cuilo,ANG,Bie
Sanaga,CAM,Cote/Littoral
Oder,PL,Gorzowskie
Mississippi,USA,Minnesota
Ischim,KAZ,Soltustik Qazaqstan
Nile,ET,El Qahira
Sanga,CAM,Est
Volga,R,Astrakhanskaya oblast
Vaesterdalaelv,S,Dalarna
Rio Magdalena,CO,Huila
Missouri,USA,Nebraska
Volga,R,Ivanovskaya oblast
Allegheny River,USA,New York
Tiber,I,Lazio
Rio San Juan,CR,Heredia
Paraguay,BOL,Bolivia
Northern Dwina,R,Arkhangelskaya oblast
Tshuapa,ZRE,Equateur
Ural,R,Chelyabinskaya oblast
Shabelle,SP,Somalia
Orinoco,YV,Anzoategui
Mekong,TJ,Yunnan
Ohio River,USA,West Virginia
Tigris,IRQ,Maysan
Volga,R,Rep. of Tatarstan
Irawaddy,MYA,Mandalay
Tocantins,BR,Maranhao
Atbara,SUD,ash Shamaliyah
Chatanga,R,Krasnoyarskiy kray
Rio Grande,MEX,Chihuahua
Aare,CH,BE
Guadalquivir,E,Andalusia
Leine,D,Niedersachsen
Donau,D,Bayern
Schilka,R,Chitinskaya oblast
Tigris,IRQ,Wasit
Cuango,ANG,Lunda Norte
Tajo,P,Santarem
Donau,RO,Constanta
Euphrat,IRQ,Al Basrah
Euphrat,IRQ,Al Anbar
Donau,BG,Bulgaria
Lech,A,Tyrol
Douro,P,Aveiro
Karun,IR,Boyer Ahmad e Kohkiluyeh
Umeaelv,S,Vasterbotten
Dalaelv,S,Dalarna
Loire,F,Auvergne
Oder,D,Sachsen
Saar,D,Saarland
Western Dwina,BY,Belarus
Jordan,IL,North
Kasai,ZRE,Kasai Occidental
Kasai,ANG,Lunda Sul
Parana,RA,Entre Rios
Rhone,CH,VD
Theiss,H,Hajdu Bihar
Thames,GB,Berkshire
Syrdarja,UZB,Namangan
Kasai,ZRE,Shaba/Katanga
Doubs,F,Franche Comte
Weser,D,Niedersachsen
Ammer,D,Bayern
Saone,F,Lorraine
Akagera,EAT,Mwanza
Reuss,CH,LU
Iller,D,Baden Wurttemberg
Donau,H,Budapest (munic.)
Rio Magdalena,CO,Bolivar
Mur,A,Styria
Aruwimi,ZRE,Haut Zaire
Murat,TR,Mus
