country,organization,type
YE,WMO,member
TCH,AfDB,regional member
RWA,WCL,member
I,IBRD,member
C,WCL,member
OM,IOC,National Olympic Committee
SP,UNIDO,member
GUY,IMO,member
S,UPU,member
SGP,ICAO,member
RP,IOM,member
WAG,ITU,member
K,CP,member
CH,ICC,member
ANG,IOM,member
RN,IDB,member
G,FZ,member
IND,AfDB,nonregional member
GE,WMO,member
E,ESA,member
I,UN,member
RCA,WCL,member
GCA,IOM,member
SME,UNMIH,member
TCH,IDA,Part II
LAO,IFAD,Category III
RIM,G-77,member
HR,ISO,member
ARM,OSCE,member
EAU,UPU,member
ZRE,OAU,member
JOR,ABEDA,member
RCB,Interpol,member
DZ,G-77,member
OM,FAO,member
GR,UPU,member
IR,IOM,observer
IL,CCC,member
GCA,WMO,member
ROK,AfDB,nonregional member
MC,UNESCO,member
PL,ILO,member
RI,WIPO,member
AUS,CP,member
P,IOC,National Olympic Committee
S,ICAO,member
TR,IFRCS,member
MACX,IMF,member
RIM,ACCT,associate member
CL,ICFTU,member
S,ILO,member
USA,NATO,member
TAD,ICAO,member
BRN,FAO,member
GB,UNIKOM,member
BDS,WMO,member
CL,IAEA,member
BERM,Caricom,observer
CZ,CCC,member
VU,WMO,member
CO,IOM,member
STP,IBRD,member
PA,OPANAL,member
ROU,IOM,member
MA,AL,member
UA,OSCE,member
CY,ITU,member
USA,SPC,member
KIR,IMF,member
UA,IOC,National Olympic Committee
SK,PFP,member
ROU,UNAVEM III,member
ROK,UPU,member
MS,ICAO,member
NEP,IMF,member
JA,WFTU,member
CAM,ICRM,National Society
H,UNHCR,member
UZB,IMF,member
DK,CE,member
A,PFP,member
BI,OAU,member
BD,NAM,member
R,UN,member
LAR,Intelsat,member
NL,ESA,member
UZB,ITU,member
HR,OSCE,member
RM,IFAD,Category III
CAM,ECA,member
BF,CCC,member
RCA,FAO,member
BR,ECLAC,member
MACX,UNESCO,associate member
BS,IFC,member
SF,IAEA,member
WAG,FAO,member
DK,ILO,member
MS,OAU,member
E,AsDB,nonregional member
CAM,Interpol,member
CR,ECLAC,member
PA,IMO,member
CY,OSCE,member
K,AsDB,regional member
USA,G-10,member
HR,IAEA,member
IRL,MINURSO,member
BY,IBRD,member
LT,IAEA,member
AG,ISO,subscriber member
ET,IDB,member
BF,ITU,member
RCB,UNESCO,member
NL,OECD,member
SP,OIC,member
RG,FAO,member
DK,OSCE,member
GB,ICC,member
UAE,ILO,member
ET,WTrO,member
CH,IMF,member
BF,WFTU,member
RB,ACP,member
RCA,UNESCO,member
RP,WFTU,member
MNE,IDA,Part II
BF,OIC,member
NOK,WMO,member
JA,C,member
PA,UNIDO,member
FJI,G-77,member
SF,UNIFIL,member
RN,Intelsat,member
SA,CCC,member
MAL,IBRD,member
TN,IDA,Part II
JA,IFAD,Category III
CZ,WTrO,member
MD,IBRD,member
GB,ICFTU,member
UAE,CCC,member
CL,WToO,member
MV,Intelsat,nonsignatory user
D,UPU,member
CDN,ECLAC,member
SUD,WToO,member
CAM,ACP,member
DK,WHO,member
KAZ,IDA,Part II
ET,ICAO,member
CZ,ICFTU,member
GUY,IDA,Part II
B,EU,member
R,UNPROFOR,member
PNG,Intelsat,member
ET,IOM,member
IRL,EIB,member
RH,IMO,member
UAE,IDA,Part I
AXA,UPU,member
SRB,ICC,member
IRL,ILO,member
ZW,ACP,member
IL,WIPO,member
G,CCC,member
UA,UNMOT,member
ARM,IMF,member
ROK,UNESCO,member
ARM,ICAO,member
LB,ILO,member
BG,Intelsat,nonsignatory user
IRL,IFRCS,member
BG,IOC,National Olympic Committee
BOL,ITU,member
NOK,WIPO,member
HR,WMO,member
B,CCC,member
AZ,IMF,member
BZ,IADB,member
CO,WTrO,member
PNG,FAO,member
J,WFTU,member
L,WMO,member
TCH,Interpol,member
RG,UN,member
PNG,C,member
Q,G-77,member
COM,G-77,member
VN,UN,member
RG,WHO,member
R,UNMIH,member
ROK,IAEA,member
A,ITU,member
ET,FAO,member
S,BIS,member
THA,UNESCO,member
MD,FAO,member
TJ,IFAD,Category III
MS,IDA,Part II
JA,ICFTU,member
YV,WMO,member
GR,UNIDO,member
GQ,IDA,Part II
GNB,IFAD,Category III
B,IOC,National Olympic Committee
SLO,IFC,member
CO,IMO,member
K,WToO,member
PA,Inmarsat,member
CI,Entente,member
SME,FAO,member
MD,WToO,member
BF,FZ,member
BI,WToO,member
CDN,OECD,member
MNG,IMF,member
GUY,FAO,member
CO,UPU,member
MAL,IDA,Part II
RP,UN,member
RO,ACCT,member
Z,WToO,member
CL,IFAD,Category III
L,UNESCO,member
F,ICRM,National Society
WAFU,SPC,member
CR,UNU,member
SUD,UNIDO,member
YE,AL,member
IND,UNMIH,member
PK,IAEA,member
A,UNMIH,member
SLB,IDA,Part II
LT,CE,member
N,EBRD,member
B,UNTSO,member
ES,NAM,observer
WL,Interpol,member
CAM,G-19,member
DK,IFRCS,member
YE,WIPO,member
RG,ECA,member
ZW,G-15,member
MOC,ICAO,member
NIUE,WMO,member
MK,Intelsat,nonsignatory user
RO,IOC,National Olympic Committee
MAL,ISO,member
WAN,ITU,member
SK,OSCE,member
SLO,IADB,member
Q,AFESD,member
PL,UNIDO,member
S,UNPROFOR,member
CI,WToO,member
BF,ICFTU,member
RMM,WCL,member
AZ,UN,member
YE,WTrO,applicant
HONX,WFTU,member
BI,CCC,member
M,IOM,observer
TT,G-77,member
ES,IBRD,member
USA,AsDB,nonregional member
SRB,CEI,associate member
MNG,WIPO,member
MNG,AsDB,regional member
E,IDA,Part II
ARU,WCL,member
R,ZC,member
MAL,WIPO,member
MYA,WHO,member
WS,IMF,member
AUS,EN,member
D,G-8,member
RP,IBRD,member
S,IFAD,Category I
TR,IFAD,Category III
BRN,UPU,member
GNB,IMO,member
RT,ECA,member
L,CE,member
M,PCA,member
IRL,Intelsat,member
MW,WFTU,member
RT,WHO,member
VN,WToO,member
WV,ICAO,member
COM,IFRCS,associate member
IRL,IMF,member
SK,CERN,member
TT,IMO,member
SYR,ICAO,member
CAM,UN,member
ROK,ICAO,member
G,UNIDO,member
BG,UN,member
EC,ICAO,member
RC,WTrO,applicant
LS,IOC,National Olympic Committee
SF,IMO,member
UAE,ICAO,member
GNB,UN,member
EAU,CCC,member
KGZ,PCA,member
VN,FAO,member
DK,EU,member
CZ,ITU,member
M,Inmarsat,member
Z,IOM,member
C,WHO,member
ROU,UNMOGIP,member
LV,WTrO,applicant
SK,ECE,member
VU,NAM,member
IND,WTrO,member
SUD,AL,member
USA,MTCR,member
F,ILO,member
ES,Intelsat,member
TM,ILO,member
ER,IFAD,Category III
TR,ECO,member
WV,IOC,National Olympic Committee
IS,NIB,member
MEX,UNITAR,member
NL,NSG,member
BEN,G-77,member
RN,IFC,member
SD,Intelsat,member
G,AfDB,regional member
RT,G-77,member
BRN,IBRD,member
BOL,WToO,member
ZRE,IMO,member
UA,ANC,member
DZ,UNHCR,member
CAM,NAM,member
H,EU,member
R,UNITAR,member
TR,FAO,member
RA,G-19,member
TN,Intelsat,member
HONX,WMO,member
SLB,WFTU,member
ETH,WMO,member
RH,WToO,member
NIC,LAIA,observer
WG,Interpol,member
SGP,IMO,member
FJI,IFC,member
MOC,G-77,member
ZW,UNAVEM III,member
CL,UPU,member
SF,WFTU,member
MD,ILO,member
GQ,FZ,member
G,IFRCS,associate member
S,ICRM,National Society
BZ,CDB,regional member
MH,Interpol,member
ZRE,AfDB,regional member
