name,country,population,area,capital,capprov
Kayin,MYA,1055400,30383.0,Hpa an,Kayin
Bursa,TR,1603137,11043.0,Bursa,Bursa
Giurgiu,RO,325000,3810.0,Giurgiu,Giurgiu
Rhode Island,USA,987429,3139.0,Providence,Rhode Island
Gracias a Dios,HCA,39000,16630.0,Puerto Lempira,Gracias a Dios
Philippines,RP,74480848,,Manila,Philippines
Penzenskaya oblast,R,1562300,43200.0,Penza,Penzenskaya oblast
Krakowskie,PL,1238100,3254.0,Krakow,Krakowskie
Sankt Peterburg,R,4801500,0.0,Sankt Peterburg,Sankt Peterburg
Nawoiy,UZB,715000,110800.0,Nawoiy,Nawoiy
Madrid,E,5034548,8028.0,Madrid,Madrid
Kyoto,J,2629592,4613.0,Kyoto,Kyoto
Farghona,UZB,2338000,7100.0,Farghona,Farghona
Huila,ANG,869000,75002.0,Lubango,Huila
Jihomoravsky,CZ,2059000,15028.0,Brno,Jihomoravsky
BL,CH,252331,517.0,Liestal,BL
Magdalena,CO,890934,23188.0,Santa Marta,Magdalena
Kaliningradskaya oblast,R,932200,15100.0,Kaliningrad,Kaliningradskaya oblast
Syria,SYR,15608648,,Damascus,Syria
Bur Said (munic.),ET,461000,72.0,Bur Said,Bur Said (munic.)
Constanta,RO,737000,7055.0,Constanta,Constanta
West Bengal,IND,68077965,88752.0,Calcutta,West Bengal
Gelderland,NL,1864732,4995.0,Arnhem,Gelderland
East Flanders,B,1340056,2982.0,Ghent,East Flanders
Pohjols-Karjala,SF,177000,,Joensuu,Pohjols-Karjala
Aichi,J,6868336,5138.0,Nagoya,Aichi
Balearic Islands,E,736865,4992.0,Palma de Mallorca,Balearic Islands
Nord Pas de Calais,F,3965000,12413.0,Lille,Nord Pas de Calais
El Buhayra,ET,3602000,10130.0,Damanhur,El Buhayra
El Iskandariya,ET,3170000,2679.0,Alexandria,El Iskandariya
Inhambane,MOC,1157000,68615.0,Inhambane,Inhambane
Junin,PE,1132448,44409.0,Huancayo,Junin
Tochigi,J,1984390,6414.0,Utsonomiya,Tochigi
Palau,PAL,16952,,Melekeok,Palau
Amurskaya oblast,R,1037800,363700.0,Blagoveshchensk,Amurskaya oblast
Kabardino Balkar Rep.,R,789900,12500.0,Nalchik,Kabardino Balkar Rep.
Aali an Nil,SUD,1599605,238792.0,Malakal,Aali an Nil
Guanacaste,CR,254530,10141.0,Liberia,Guanacaste
Moere og Romsdal,N,237290,,Molde,Moere og Romsdal
Salah ad Din,IRQ,723500,26175.0,Samarra,Salah ad Din
Tarnobrzeskie,PL,604300,6283.0,Tarnobrzeg,Tarnobrzeskie
Mississippi,USA,2730501,123514.0,Jackson,Mississippi
Pecs (munic.),H,171600,113.0,Pecs,Pecs (munic.)
NW,CH,36466,276.0,Stans,NW
Lambayeque,PE,1009655,14231.0,Chiclayo,Lambayeque
Sanliurfa,TR,1001455,18584.0,Urfa,Sanliurfa
Luxembourg,B,234664,4441.0,Arlon,Luxembourg
Sakarya,TR,683061,4817.0,Sakarya,Sakarya
Aquitaine,F,2796000,41309.0,Bordeaux,Aquitaine
Wisconsin,USA,5169677,145436.0,Madison,Wisconsin
Veszprem,H,378300,4689.0,Veszprem,Veszprem
Murmanskaya oblast,R,1048000,144900.0,Murmansk,Murmanskaya oblast
Somogy,H,340000,6035.0,Kaposvar,Somogy
Jonkoping,S,309738,9944.0,Jonkoping,Jonkoping
North Yorkshire,GB,720900,8309.0,Northallerton,North Yorkshire
Sabah,MAL,1736902,73620.0,Kota Kinabalu,Sabah
Beni Suef,ET,1586000,1322.0,Beni Suef,Beni Suef
Cook Islands,COOK,11870,,Avarua,Cook Islands
Tete,MOC,734600,100724.0,Tete,Tete
El Daqahliya,ET,3828000,3471.0,El Mansura,El Daqahliya
El Gharbiya,ET,3113000,1942.0,Tanta,El Gharbiya
Indiana,USA,5864108,93719.0,Indianapolis,Indiana
Bayburt,TR,107330,3652.0,Bayburt,Bayburt
Reunion,REUN,679198,,Saint-Denis,Reunion
Entre Rios,RA,1020257,78781.0,Parana,Entre Rios
Zhezkazghan,KAZ,484400,312600.0,Zhezkazghan,Zhezkazghan
Georgia,GE,5219810,,Tbilisi,Georgia
Iceland,IS,270292,,Reykjavik,Iceland
Surkhondare,UZB,1437000,20800.0,Termiz,Surkhondare
Finnmark,N,75667,,Vadsoe,Finnmark
Pilskie,PL,485700,8205.0,Pila,Pilskie
Isla de la Juventud,C,71000,2396.0,Nueva Gerona,Isla de la Juventud
Saint Kitts and Nevis,KN,41369,,Basseterre,Saint Kitts and Nevis
Cordoba,RA,2766683,165321.0,Cordoba,Cordoba
Erzincan,TR,299251,11903.0,Erzincan,Erzincan
Saint Louis,SN,680200,44127.0,Saint Louis,Saint Louis
Nordrhein Westfalen,D,17816079,34077.0,Dusseldorf,Nordrhein Westfalen
Vasternorrland,S,261280,21678.0,Harnosand,Vasternorrland
Arad,RO,507000,7652.0,Arad,Arad
Aveiro,P,656000,2808.0,Aveiro,Aveiro
Newfoundland,CDN,551792,404517.0,Saint Johns,Newfoundland
Provence Cote dAzur,F,4258000,31400.0,Marseille,Provence Cote dAzur
Lempira,HCA,194600,4290.0,Gracias,Lempira
Lindi,EAT,646600,66046.0,Lindi,Lindi
Norrbotten,S,264834,98913.0,Lulea,Norrbotten
Buskerud,N,219967,,Drammen,Buskerud
Cardiff,GB,306600,139.0,Cardiff,Cardiff
Voreion Aiyaion,GR,189541,3836.0,Mytilini,Voreion Aiyaion
Blaenau Gwent,GB,73300,109.0,Ebbw Vale,Blaenau Gwent
Sardegna,I,1657000,24090.0,Cagliari,Sardegna
Severocesky,CZ,1190000,7819.0,Usti nad Labem,Severocesky
Kuopio,SF,252000,,Kuopio,Kuopio
Lorestan,IR,1501778,28803.0,Khorramabad,Lorestan
Neuquen,RA,388833,94078.0,Neuquen,Neuquen
Kirsehir,TR,256862,6570.0,Kirsehir,Kirsehir
West Bank,WEST,1427741,,,
Samsun,TR,1158400,9579.0,Samsun,Samsun
Cankiri,TR,279129,8454.0,Cankiri,Cankiri
Guangdong,TJ,66890000,186000.0,Guangzhou,Guangdong
Yaracuy,YV,466152,7100.0,San Felipe,Yaracuy
Saint Lucia,WL,157862,,Castries,Saint Lucia
Hedmark,N,186355,,Hamar,Hedmark
Lara,YV,1430968,19800.0,Barquisimeto,Lara
Acre,BR,483483,153149.0,Rio Branco,Acre
Rep. of Sakha,R,1022800,3103200.0,Yakutsk,Rep. of Sakha
Bangladesh,BD,123062800,,Dhaka,Bangladesh
Rondonia,BR,1221290,238512.0,Porto Velho,Rondonia
Selangor,MAL,2289236,7956.0,Shah Alam,Selangor
ash Shamaliyah,SUD,1083024,476040.0,ad Damir,ash Shamaliyah
Bolivar,YV,1142210,238000.0,Ciudad Bolivar,Bolivar
Ternopilska,UA,1175100,13800.0,Ternopil,Ternopilska
Tumbes,PE,173616,4669.0,Tumbes,Tumbes
Kumamoto,J,1859793,7408.0,Kumamoto,Kumamoto
Connecticut,USA,3269858,12997.0,Hartford,Connecticut
Delaware,USA,731581,5297.0,Dover,Delaware
Lithuania,LT,3646041,,Vilnius,Lithuania
Colon,PA,222600,7247.0,Colon,Colon
Zala,H,302600,3786.0,Zalaegerszeg,Zala
Akita,J,1213667,11612.0,Akita,Akita
JU,CH,69188,836.0,Delemont,JU
French Guiana,FGU,151187,,Cayenne,French Guiana
Baranya,H,417100,4487.0,Pecs,Pecs (munic.)
Hawaii,USA,1183723,16760.0,Honolulu,Hawaii
Vrancea,RO,394000,4863.0,Focsani,Vrancea
Antwerp,B,1610695,2867.0,Antwerp,Antwerp
Marche,I,1438000,9693.0,Ancona,Marche
Benin,BEN,5709529,,Porto-Novo,Benin
Central,GB,273400,2700.0,Stirling,Central
Karnataka,IND,44977201,191791.0,Bangalore,Karnataka
Alsace,F,1624000,8280.0,Strasbourg,Alsace
Casanare,CO,147472,44640.0,Yopal,Casanare
Bakhtaran,IR,1622159,23667.0,Bakhtaran,Bakhtaran
Aragon,E,1183576,47720.0,Zaragoza,Aragon
Kronoberg,S,178612,8458.0,Vaxjo,Kronoberg
Quindio,CO,392208,1845.0,Armenia,Quindio
Holguin,C,972000,9301.0,Holguin,Holguin
Yangon,MYA,3965900,10171.0,Rangoon,Yangon
Rep. of Karelia,R,785000,172400.0,Petrozavodsk,Rep. of Karelia
Qaraqalpoghiston,UZB,1343000,164900.0,Nukus,Qaraqalpoghiston
Cumbria,GB,489700,6810.0,Carlisle,Cumbria
Netherlands Antilles,,227049,,Willemstad,Netherlands Antilles
Nigeria,WAN,103912489,,Abuja,Nigeria
Kaskazini Ujunga,EAT,97000,470.0,Mkokotoni,Kaskazini Ujunga
Iringa,EAT,1208900,58864.0,Iringa,Iringa
Permskaya oblast,R,3009400,160600.0,Perm,Permskaya oblast
Svalbard,SVAX,2116,,Longyearbyen,Svalbard
Algeria,DZ,29183032,,Algier,Algeria
Sistan e Baluchestan,IR,1455102,181578.0,Zahedan,Sistan e Baluchestan
Devon,GB,1040000,6711.0,Exeter,Devon
Samarqand,UZB,2322000,16400.0,Samarqand,Samarqand
Rzeszowskie,PL,734100,4397.0,Rzeszow,Rzeszowskie
Chernihivska,UA,938600,31900.0,Chernihiv,Chernihivska
Xinjiang Uygur,TJ,16320000,1600000.0,Urumqi,Xinjiang Uygur
Western Cape,RSA,4118000,129386.0,Cape Town,Western Cape
Kusini Pemba,EAT,127600,332.0,Chake Cahke,Kusini Pemba
Porto,P,1622300,2395.0,Porto,Porto
Matanzas,C,596000,11978.0,Matanzas,Matanzas
Sirnak,TR,262006,7172.0,Sirnak,Sirnak
Dorset,GB,662900,2654.0,Dorchester,Dorset
Lvivska,UA,2764400,21800.0,Lviv,Lvivska
Singida,EAT,791800,49341.0,Singida,Singida
Mecklenburg Vorpommern,D,1832298,23170.0,Schwerin,Mecklenburg Vorpommern
Greater London,GB,6803100,1579.0,London,Greater London
Michoacan,MEX,3870604,59864.0,Morelia,Michoacan
Zielonogorskie,PL,664700,8868.0,Zielona Gora,Zielonogorskie
Taldyqorghan,KAZ,721500,118500.0,Taldyqorghan,Taldyqorghan
Falkland Islands,FALK,3140,,Stanley,Falkland Islands
Comoros,COM,569237,,Moroni,Comoros
Tambacounda,SN,370000,59602.0,Tambacounda,Tambacounda
Tunisia,TN,9019687,,Tunis,Tunisia
Iwate,J,1419505,15277.0,Morioka,Iwate
Krasnodarsky kray,R,5043900,76000.0,Krasnodar,Krasnodarsky kray
Vastmanland,S,259438,6302.0,Vasteras,Vastmanland
Ostergotland,S,406100,10562.0,Linkoping,Ostergotland
Cuzco,PE,1107473,71891.0,Cuzco,Cuzco
Nepal,NEP,22094033,,Kathmandu,Nepal
Terengganu,MAL,770931,12955.0,Kuala Terengganu,Terengganu
Zaporizka,UA,2099600,27200.0,Zaporizhzhya,Zaporizka
Ninawa,IRQ,1507926,35899.0,Mosul,Ninawa
Denmark,DK,5249632,,Copenhagen,Denmark
Miranda,YV,2303302,7950.0,Los Teques,Miranda
Jordan,JOR,4212152,,Amman,Jordan
Volgogradskaya oblast,R,2703700,113900.0,Volgograd,Volgogradskaya oblast
Arunachal Pradesh,IND,864558,83743.0,Itanagar,Arunachal Pradesh
Montenegro,MNE,672180,,Podgorica,Montenegro
Rep. of North Ossetiya,R,662600,8000.0,Vladikavkaz,Rep. of North Ossetiya
Groningen,NL,557995,2344.0,Groningen,Groningen
Caras Severin,RO,408000,8503.0,Resita,Caras Severin
San Luis,RA,286458,76748.0,San Luis,San Luis
Castile La Mancha,E,1656179,79462.0,Toledo,Castile La Mancha
Orebro,S,273608,8519.0,Orebro,Orebro
Asyut,ET,2456000,1553.0,Asyut,Asyut
Nizhegorodskaya oblast,R,3726400,74800.0,Nizhniy Novgorod,Nizhegorodskaya oblast
Berlin,D,3472009,889.0,Berlin,Berlin
Cote/Littoral,CAM,1354800,20239.0,Douala,Cote/Littoral
Mardin,TR,557727,8891.0,Mardin,Mardin
Liberia,LB,2109789,,Monrovia,Liberia
Ayacucho,PE,517397,43814.0,Ayacucho,Ayacucho
Matruh,ET,182000,212112.0,Marsa Matruh,Matruh
Apurimac,PE,409630,20895.0,Abancay,Apurimac
Burgenland,A,273000,3965.0,Eisenstadt,Burgenland
LU,CH,340536,1493.0,Luzern,LU
Man,GBM,73837,,Douglas,Man
Guanajuato,MEX,4406568,30589.0,Guanajuato,Guanajuato
Liege,B,1006081,3862.0,Liege,Liege
Lipetskaya oblast,R,1250200,24100.0,Lipetsk,Lipetskaya oblast
Paraiba,BR,3305562,56584.0,Joao Pessoa,Paraiba
Guerrero,MEX,2916567,63749.0,Chilpancingo,Guerrero
Equateur,ZRE,3960187,403293.0,Mbandaka,Equateur
Franche Comte,F,1097000,16202.0,Besancon,Franche Comte
Rep. of Tyva,R,309700,170500.0,Kyzyl,Rep. of Tyva
Formosa,RA,398413,72066.0,Formosa,Formosa
Denbighshire,GB,91300,844.0,Ruthin,Denbighshire
Yunnan,TJ,39390000,394000.0,Kunming,Yunnan
Yevreyskaya avt. oblast,R,209900,36000.0,Birobidzhan,Yevreyskaya avt. oblast
Suffolk,GB,661900,3797.0,Ipswich,Suffolk
Limburg,B,755593,2422.0,Hasselt,Limburg
Cortes,HCA,732600,3954.0,San Pedro Sula,Cortes
Bialostockie,PL,697000,10055.0,Bialystok,Bialostockie
Kirikkale,TR,349396,4365.0,Kirikkale,Kirikkale
Yamanashi,J,881996,4463.0,Kofu,Yamanashi
Kasai Occidental,ZRE,3465756,156967.0,Kananga,Kasai Occidental
Arequipa,PE,999851,63345.0,Arequipa,Arequipa
GL,CH,39410,685.0,Glarus,GL
Paraguay,PY,5504146,,Asuncion,Paraguay
Setubal,P,713700,5064.0,Setubal,Setubal
Antalya,TR,1132211,20591.0,Antalya,Antalya
American Samoa,AMSA,65628,,Pago Pago,American Samoa
Ulyanovskaya oblast,R,1495200,37300.0,Simbirsk,Ulyanovskaya oblast
Kemerovskaya oblast,R,3063500,95500.0,Kemerovo,Kemerovskaya oblast
Tolima,CO,1142220,23562.0,Ibague,Tolima
Midi Pyrenees,F,2431000,45349.0,Toulouse,Midi Pyrenees
Mon,MYA,1680200,12297.0,Moulmein,Mon
Hebei,TJ,63880000,190000.0,Shijiazhuang,Hebei
Hunan,TJ,63550000,210000.0,Changsha,Hunan
Zaire,ANG,192000,40130.0,Mbanza Congo,Zaire
Sri Lanka,CL,18553074,,Colombo,Sri Lanka
Martinique,MART,399151,,Fort-de-France,Martinique
Darien,PA,45000,16671.0,La Palma,Darien
Diyala,IRQ,955112,19076.0,Baqubah,Diyala
Namibe,ANG,115000,58137.0,Namibe,Namibe
Budapest (munic.),H,2008500,525.0,Budapest,Budapest (munic.)
Warwickshire,GB,489900,1981.0,Warwick,Warwickshire
Hordaland,N,399702,,Bergen,Hordaland
ZG,CH,92392,238.0,Zug,ZG
Toliara,RM,1396700,161405.0,Toliara,Toliara
Qaraghandy,KAZ,1270100,115400.0,Karaganda,Qaraghandy
Guinea,RG,7411981,,Conakry,Guinea
Shanxi,TJ,30450000,156000.0,Taiyuan,Shanxi
East Sussex,GB,716500,1795.0,Lewes,East Sussex
Sirdare,UZB,600000,5100.0,Guliston,Sirdare
Nueva Esparta,YV,330307,1150.0,La Ascuncion,Nueva Esparta
Kriti,GR,537183,8336.0,Iraklion,Kriti
Novgorodskaya oblast,R,742600,55300.0,Novgorod,Novgorodskaya oblast
Surrey,GB,1035500,1679.0,Kingston,Surrey
Botosani,RO,468000,4965.0,Botosani,Botosani
Santiago de Estero,RA,671988,136351.0,Santiago del Estero,Santiago de Estero
Copperbelt,Z,1866400,31328.0,Ndola,Copperbelt
Vanuatu,VU,177504,,Port-Vila,Vanuatu
Catamarca,RA,264324,102602.0,San Fernando del Valle de Catamarca,Catamarca
Louga,SN,490400,29188.0,Louga,Louga
Central,EAK,3110000,13176.0,Nyeri,Central
Diyarbakir,TR,1094996,15355.0,Diyarbakir,Diyarbakir
Vychodocesky,CZ,1240000,11240.0,Hradec Kralove,Vychodocesky
Nova Scotia,CDN,909282,55490.0,Halifax,Nova Scotia
Hidalgo,MEX,2112473,20987.0,Pachuca de Soto,Hidalgo
Samarskaya oblast,R,3311500,53600.0,Samara,Samarskaya oblast
Minas Gerais,BR,16660691,588383.0,Belo Horizonte,Minas Gerais
Suriname,SME,436418,,Paramaribo,Suriname
Quintana Roo,MEX,703536,50350.0,Chetumal,Quintana Roo
Tabasco,MEX,1748769,24661.0,Villahermosa,Tabasco
Kusini Ujunga,EAT,70200,854.0,Koani,Kusini Ujunga
Albania,AL,3249136,,Tirane,Albania
Wyoming,USA,479743,253324.0,Cheyenne,Wyoming
Styria,A,1203000,16386.0,Graz,Styria
Colon,HCA,167900,8875.0,Trujillo,Colon
Arauca,CO,89972,23818.0,Arauca,Arauca
Flintshire,GB,145300,437.0,Mold,Flintshire
Bourgogne,F,1609000,31582.0,Dijon,Bourgogne
Norfolk,GB,759400,5368.0,Norwich,Norfolk
Bahr al Ghazal,SUD,2265510,200894.0,Waw,Bahr al Ghazal
Limon,CR,237183,9189.0,Limon,Limon
Mwanza,EAT,1878300,19592.0,Mwanza,Mwanza
SO,CH,239264,790.0,Solothurn,SO
Chelmskie,PL,248500,3866.0,Chelm,Chelmskie
Tennessee,USA,5368198,109153.0,Nashville,Tennessee
Puntarenas,CR,357103,11277.0,Puntarenas,Puntarenas
AI,CH,14750,172.0,Appenzell,AI
Avon,GB,962000,1346.0,Bristol,Avon
