country,name,percentage
SUD,Christian,5.0
RWA,Protestant,9.0
IND,Sikh,2.0
BZ,Protestant,30.0
VU,Seventh-Day Adventist,6.2
RG,Muslim,85.0
RC,Taoist,93.0
USA,Jewish,2.0
SUD,Muslim,70.0
RSA,Muslim,2.0
BOL,Roman Catholic,95.0
F,Roman Catholic,90.0
NL,Roman Catholic,34.0
NORF,Seventh-Day Adventist,4.4
SLB,United,11.0
BY,Christian Orthodox,60.0
NL,Protestant,25.0
FPOL,Roman Catholic,30.0
DK,Roman Catholic,2.0
ETH,Christian Orthodox,35.0
RCB,Muslim,2.0
IND,Muslim,14.0
MS,Hindu,52.0
PK,Muslim,97.0
RO,Protestant,6.0
NL,Muslim,3.0
HR,Muslim,1.2
DZ,Muslim,99.0
SPMI,Roman Catholic,99.0
RO,Christian Orthodox,70.0
SLB,Roman Catholic,19.0
RP,Muslim,5.0
HR,Roman Catholic,76.5
MACX,Roman Catholic,7.0
RSM,Roman Catholic,100.0
MYA,Buddhist,89.0
THA,Buddhist,95.0
GH,Muslim,30.0
SLB,Anglican,34.0
PNG,Protestant,26.0
KIR,Roman Catholic,52.6
RWA,Roman Catholic,65.0
AZ,Christian Orthodox,4.8
WAN,Christian,40.0
JOR,Christian,8.0
SLO,Roman Catholic,96.0
ARM,Christian Orthodox,94.0
AFG,Muslim,99.0
MART,Roman Catholic,95.0
WL,Protestant,7.0
ANG,Protestant,15.0
CAYM,United Church,11.8
CAYM,Church of God,26.0
WD,Roman Catholic,77.0
BS,Protestant,12.0
HR,Protestant,0.4
LAR,Muslim,97.0
TUCA,Methodist,16.0
WAL,Muslim,60.0
LB,Muslim,20.0
BS,Methodist,6.0
MART,Hindu,5.0
XMAS,Christian,18.0
MD,Christian Orthodox,98.5
ANG,Roman Catholic,38.0
BF,Christian,10.0
F,Jewish,1.0
PY,Roman Catholic,90.0
ZRE,Kimbanguist,10.0
CL,Buddhist,69.0
MA,Muslim,98.7
VIRG,Episcopalian,17.0
CI,Christian,12.0
AL,Muslim,70.0
SN,Muslim,92.0
CAYM,Roman Catholic,11.0
NAM,Protestant,50.0
GUY,Christian,57.0
RA,Protestant,2.0
MACX,Protestant,1.0
IR,Muslim,99.0
ZW,Christian,25.0
TUCA,Church of God,12.0
MYA,Christian,4.0
D,Protestant,45.0
BERM,Seventh-Day Adventist,5.0
MW,Muslim,20.0
EAU,Muslim,16.0
AXA,Roman Catholic,5.7
USA,Protestant,56.0
GBZ,Protestant,11.0
FJI,Christian,52.0
UZB,Christian Orthodox,9.0
AL,Roman Catholic,10.0
RMM,Christian,1.0
FGU,Roman Catholic,100.0
RB,Christian,50.0
I,Roman Catholic,98.0
TCH,Christian,25.0
AXA,Methodist,23.9
DOM,Roman Catholic,95.0
GE,Armenian Apostolic,8.0
AMSA,Christian Congregationalist,50.0
TN,Christian,1.0
FJI,Muslim,8.0
ZRE,Protestant,20.0
WL,Roman Catholic,90.0
BD,Muslim,83.0
RA,Roman Catholic,90.0
SME,Hindu,27.4
MA,Jewish,0.2
NZ,Baptist,2.0
EAU,Protestant,33.0
SRB,Muslim,3.2
GUY,Muslim,9.0
NORF,Anglican,39.0
MV,Muslim,100.0
BI,Christian,67.0
SME,Protestant,25.2
AND,Roman Catholic,100.0
SK,Christian Orthodox,4.1
AZ,Muslim,93.4
GUAD,Roman Catholic,95.0
WAG,Christian,9.0
IND,Christian,2.4
WL,Anglican,3.0
EAK,Roman Catholic,28.0
IL,Druze,2.0
DJI,Christian,6.0
RI,Roman Catholic,3.0
HONX,Christian,10.0
BEN,Christian,15.0
Q,Muslim,95.0
ROK,Christian,48.6
DK,Protestant,91.0
YV,Protestant,2.0
BERM,African Methodist Episcopal,11.0
MNG,Muslim,4.0
WAN,Muslim,50.0
K,Buddhist,95.0
MEX,Protestant,6.0
DZ,Christian,0.5
SME,Roman Catholic,22.8
CAM,Christian,33.0
TN,Muslim,98.0
BERM,Protestant,18.0
BRU,Christian,8.0
IND,Jains,0.5
BIH,Muslim,40.0
SF,Christian Orthodox,1.0
BEN,Muslim,15.0
SLB,Protestant,5.0
WAG,Muslim,90.0
AXA,Anglican,29.0
ROU,Jewish,2.0
PNG,Anglican,5.0
CL,Christian,8.0
LAO,Buddhist,60.0
P,Roman Catholic,97.0
VIRG,Roman Catholic,34.0
KWT,Muslim,85.0
AMSA,Protestant,30.0
SK,Protestant,8.4
CAM,Muslim,16.0
GAZA,Muslim,98.7
SY,Roman Catholic,90.0
SRB,Protestant,1.1
BVIR,Roman Catholic,10.0
NCA,Protestant,30.0
SA,Muslim,100.0
TCH,Muslim,50.0
NAU,Christian,100.0
CL,Muslim,8.0
IND,Hindu,80.0
GUAM,Roman Catholic,95.0
MYA,Muslim,4.0
RCA,Roman Catholic,25.0
F,Muslim,1.0
TUV,Seventh-Day Adventist,1.4
THA,Muslim,3.8
RH,Roman Catholic,80.0
CDN,Roman Catholic,45.0
SLB,Baptist,17.0
VU,Church Christ,3.8
MH,Christian,100.0
RI,Protestant,6.0
JOR,Muslim,92.0
AUS,Anglican,26.1
CH,Protestant,44.3
BDS,Protestant,67.0
PITC,Seventh-Day Adventist,100.0
BS,Roman Catholic,19.0
GNB,Muslim,30.0
CH,Roman Catholic,47.6
JA,Roman Catholic,5.0
NIUE,Mormon,10.0
PNG,Seventh-Day Adventist,1.0
WD,Protestant,15.0
E,Roman Catholic,99.0
GH,Christian,24.0
ETH,Muslim,45.0
SRB,Roman Catholic,5.5
NEP,Muslim,3.0
TAD,Muslim,85.0
AMSA,Roman Catholic,20.0
CDN,United Church,12.0
MW,Protestant,55.0
NIC,Protestant,5.0
RIM,Muslim,100.0
IRQ,Christian,3.0
MNE,Roman Catholic,3.5
KAZ,Muslim,47.0
TM,Muslim,87.0
FL,Protestant,8.3
VU,Roman Catholic,15.0
PR,Roman Catholic,85.0
ROU,Protestant,2.0
TT,Muslim,6.0
ZW,Muslim,1.0
A,Protestant,6.0
SLB,Seventh-Day Adventist,10.0
MK,Christian Orthodox,67.0
CZ,Christian Orthodox,3.0
SRB,Christian Orthodox,85.0
NIUE,Ekalesia Niue,61.0
JA,Protestant,55.9
V,Roman Catholic,100.0
CO,Roman Catholic,95.0
MOC,Muslim,20.0
MC,Roman Catholic,95.0
IS,Protestant,96.0
MS,Christian,28.3
TUV,Bahai,1.0
NZ,Protestant,3.0
BS,Baptist,32.0
TJ,Christian,1.0
IL,Christian,2.0
BRU,Buddhist,14.0
FSM,Protestant,47.0
CZ,Protestant,4.6
GUAD,Protestant,1.0
FPOL,Protestant,54.0
IL,Muslim,14.0
RL,Christian,30.0
GBZ,Roman Catholic,74.0
BS,Anglican,20.0
RP,Protestant,9.0
COM,Roman Catholic,14.0
MA,Christian,1.1
NZ,Methodist,5.0
