name,code,capital,province,area,population
Буркина-Фасо,БФ,Уагадугу,Буркина-Фасо,274200.0,10623323
Ирак,Ирак,Багдад,Багдад,437072.0,21422292
Панама,ПА,Панама-Сити,Панама,78200.0,2655094
Сент-Мартин,СМАР,Мариго,Сент-Мартин,54.0,29820
Индонезия,Ри,Джакарта,Индонезия,1919440.0,206611600
Мали,ММ,Бамако,Мали,1240000.0,9653261
Бруней,БРУ,Бандар-Сери-Бегаван,Бруней,5770.0,299939
Монголия,МНГ,Улан-Батор,Монголия,1565000.0,2496617
Фолклендские острова,Фолк,Стэнли,Фолклендские острова,12173.0,3140
Уругвай,"Добро пожаловать! Я готов помочь с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Монtevидео,Уругвай,176220.0,3238952
Австралия,Австралия,Канберра,Австралийский столичный регион,7686850.0,18260863
Таджикистан,Тад,Душанбе,Душанбе (город),143100.0,5916373
Словакия,СК,Братислава,Словакия,48845.0,5374362
Сент-Люсия,ВЛ,Кастри,Сент-Люсия,620.0,157862
Судан,СУД,Хартум,ал Хартум,2505810.0,31547543
Камерун,КАМ,Яунде,Центр,475440.0,14261557
Остров Нортгемптон,НОРФ,Кингстон,Остров Нортгемптон,34.6,2209
Перу,ПЭ,Пять,Пять,1285220.0,24523408
Армения,РАМ,Ереван,Армения,29800.0,3463574
Гваделупа,ГУАД,Гваделупа,Гваделупа,1780.0,407768
Соединенное Королевство,ГБ,Лондон,Великая Лондон,244820.0,58489975
Фарерские острова,Фаркс,Торсхавн,Фарерские острова,1400.0,43857
Сент-Пьер и Микелон,Спами,Сент-Пьер,Сент-Пьер и Микелон,242.0,6809
Гайана,ХОЧУ,Джорджтаун,Гайана,214970.0,712091
Алжир,ДЗ,Алжир,Алжир,2381740.0,29183032
Португалия,"Пожалуйста, предоставьте текст для перевода.",Лиссабон,Лиссабон,92080.0,9865114
Кост-д’Ивуар,ЦИ,Ямусукро,Кост-д’Ивуар,322460.0,14762445
Черногория,МНЭ,Подгорица,Черногория,14026.0,672180
Мако,Макс,Мако,Мако,16.0,496837
Уzbekistan,"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Ташкент,Ташкент,447400.0,23418381
Ватикан,В,Ватикан,Ватикан,0.44,840
Италия,я,Рим,Лацио,301230.0,57460274
Швейцария,Ч,Берн,БЕ,41290.0,7207060
