country,gdp,agriculture,service,industry,inflation
СЛБ,1000.0,,,,13.0
ФPOL,6100.0,3.5,20.4,76.1,1.1
ЭФИ,24200.0,48.0,15.0,37.0,10.0
БВИР,133.0,,,,2.5
СД,3600.0,25.0,40.0,35.0,14.7
МАЛ,193600.0,8.0,25.0,67.0,5.3
RB,4500.0,5.0,,,10.0
"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",565000.0,3.6,33.6,62.8,4.3
ЦИ,21900.0,37.0,24.0,39.0,10.0
"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",105700.0,19.6,36.3,44.1,25.0
КГЗ,5400.0,,,,32.0
ТН,37100.0,15.0,30.0,55.0,5.5
Да,97000.0,28.0,28.0,44.0,14.0
"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести:",489.0,32.2,12.8,55.0,7.8
В,,,,,
ФСМ,205.0,,,,4.0
РОК,590700.0,8.0,45.0,47.0,4.3
КДН,694000.0,2.0,26.0,72.0,2.4
КР,18400.0,,,,22.5
В реальной жизни,54600.0,6.8,35.3,57.9,2.8
RL,18300.0,13.0,28.0,59.0,9.0
РМ,11400.0,35.0,15.0,50.0,35.0
КУХАР,183.2,15.1,9.6,75.3,2.1
БС,4800.0,3.0,35.0,62.0,1.5
РА,278500.0,6.0,31.0,63.0,1.7
маё,953.6,,,,
СМЭ,1300.0,21.6,23.7,54.7,62.0
"Доброго дня! Я готов допомогти вам з перекладу. Надішліть мені текст, який потрібно перекласти, і я зроблю це якомога швидше.",6000.0,8.2,44.7,47.1,15.0
МАРТ,3950.0,6.0,11.0,83.0,3.9
Здравствуйте! Как я могу вам помочь?,10000.0,1.4,33.7,64.9,3.6
МОК,12200.0,33.0,12.0,55.0,50.0
SGП,66100.0,,28.0,72.0,1.7
ГР,101700.0,11.8,22.2,66.0,8.1
НМИС,633.4,,,,-0.8
РН,5500.0,38.5,17.9,43.6,35.6
A,10700.0,1.0,50.0,49.0,3.0
КΟΣ,3237.0,20.0,20.0,60.0,5.3
Фолк,105.1,,,,
ПА,13600.0,10.0,16.0,74.0,1.1
Дом,26800.0,13.0,32.0,55.0,9.5
ИР,323500.0,21.0,37.0,42.0,60.0
GBZ,205.0,,,,
ЭК,44600.0,13.0,39.0,48.0,25.0
