name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Дунай,,,Чёрное море,2845.0,8.52,47.95,Чёрный лес,686.0,29.65,45.16
Бahr эль-Джебель/Альберт-Нил,Белый Нил,,,,30.9,1.7,Восточноафриканская рифтовая система,619.0,30.43,9.5
Ваал,Орандж,,,1251.0,30.0,-26.0,Дракенскург,,24.0,-29.0
Миссисипи,,,Гольфстрим,3778.0,-95.2,47.25,,512.0,-89.25,29.15
Рио Лерма,,Озеро Чапала,Тихоокеанский океан,965.0,-99.0,19.0,,,-105.6,21.5
Рюсс,Аарэ,Вёртва́льдерзее,,164.0,8.54,46.56,Альпы,2431.0,8.2371,47.4921
Прекрасная река Дарлинг,Муррей-Деринг,,,2739.0,152.0,-28.0,Великая разломная система,,141.9,-34.1
Марн,Сень,,,514.0,5.35,47.8,,406.0,2.4,48.8
Шатт аль-Араб,,,Персидский залив,193.0,47.44,31.0,,20.0,48.6,29.9
Минчо,Пой,,,75.0,10.7,45.4,Альпы,65.0,10.95,45.1
Массы,,,Северное море,925.0,5.63,47.97,,409.0,4.67,51.72
Аарэ,Рейн,Бриенцер-Зе,,288.0,8.2,46.55,Альпы,2310.0,8.22,47.61
Ада,Пой,Озеро Комо,,313.0,10.3,46.55,Альпы,2235.0,9.88,45.13
Лаген,Глома,Мёса-Сэ,,322.0,8.45,62.19,,611.0,11.45,61.1
Кимийоки,,,Балтийское море,203.0,25.4,61.5,,78.0,26.5,60.3
Сеньегал,,,Атлантический океан,1430.0,-12.0,11.5,,,-16.5,15.96
Река Святого Лаврентия,,,Атлантический океан,1197.0,-76.55,44.2,,75.0,-64.8,49.6
Шабель,Юбба,,,1820.0,,,,,42.76,0.5
Еуфрат,Шатт аль-Араб,,,2736.0,38.75,38.8,,,47.44,31.0
Вольта,,Озеро Вонта,Атлантический океан,1500.0,-4.5,11.0,,,0.68,5.77
Главная,Рейн,,,524.0,11.4,50.1,Фихтельгебирге,887.0,8.29,49.99
Дон,,,Азовское море,1870.0,37.5,53.0,,,39.4,47.1
Река Коннектикут,,,Атлантический океан,655.0,-71.21,45.25,,,-72.33,41.27
Арканзас,Миссисипи,,,2334.0,-106.3,39.25,,4260.0,-91.0,34.0
Аммер,Изар,Аммерзее,,168.0,11.05,47.57,Альпы,850.0,11.96,48.5
Семлики,,Озеро Сезо-Секо/Альбертзее,,230.0,29.6,-0.35,Восточноафриканская рифтовая система,920.0,30.9,1.7
