desert,country,province
Великий Эрг Эст,TN,Тунис
Дашт-е-Кавир,IR,Эсфахан
Большая пустыня Соленого озера,США,Юта
Азауад,DZ,Алжир
Пустыня Симпсон,AUS,Квинсленд
Дашт-е-Кавир,IR,Язд
Каракум,ТМ,Дашхауз
Великая пустыня Виктория,AUS,Южная Австралия
Сонора,МЕКС,Сонора
Дашт-э-Марго,AFG,Афганистан
Сирийская пустыня,ИРК,Аль-Анбар
Колорадо Плато,США,Аризона
Талак,РН,Нигер
Дашт-е-Лут,IR,Эсфахан
Ливийская пустыня,СУД,Дарфур
Колорадо Плато,США,Новая Мексика
Гоби,МПГ,Монголия
Сонора,США,Калифорния
Дашт-е-Кавир,IR,Хорасан
Красный центр,AUS,Северная территория
Трарца,РИМ,Мавритания
Муджункум,KAZ,Жамбил
Рин,Р,Республика Калмикия
Рин,KAZ,Атырау
Великий Эрг Эст,DZ,Алжир
Дарфур,СУД,Дарфур
Хамада дю Драа,МЭТ,Марокко
Эрг Уаран,РИМ,Мавритания
Ливийская пустыня,ЕТ,Эль-Гиза
Нефуд,С.А.,Саудовская Аравия
Руб аль-Чали,ОАЭ,Рас-эль-Хайма
Площадь Нулларбора,AUS,Западная Австралия
Хамада аль-Хамра,ЛАР,Ливия
Танами,AUS,Северная территория
Mojave,США,Калифорния
Эрди Эннеди,TCH,Чад
Пустыня,AUS,Новый Южный Уэльс
Пустыня Симпсон,AUS,Северная территория
Танезруфт,РММ,Мали
Нубийская пустыня,СУД,Шаркия
Оуихи,США,Орегон
Калахари,ДН,Намибия
Каракум,ТМ,Ахал
Ригестан,ПК,Пакистан
Thar,СИН,Пенджаб
Кысилкум,Юзеф,Каракальпогистон
Сонора,МЕКС,Чиуауа
Красный центр,AUS,Западная Австралия
Ливийская пустыня,ЕТ,Бени Сюф
Ливийская пустыня,ЕТ,Эль-Вади-эль-Джадид
Эрг Игиди,DZ,Алжир
Сирийская пустыня,С.А.,Саудовская Аравия
Гоби,ТДж,Нинксиа Хуидзу
Кысилкум,KAZ,Кызылорда
Mojave,США,Юта
Пустыня Симпсон,AUS,Южная Австралия
Калахари,АНГ,Моксико
Эрг Ребиана,ЛАР,Ливия
Руб аль-Чали,ОАЭ,Дюбай
Кысилкум,Юзеф,Джиззах
Джураб,TCH,Чад
Тенере,РН,Нигер
Рин,KAZ,Баты-казакстан
Калахари,RSA,Северо-западный
Азауад,РММ,Мали
Руб аль-Чали,РОУ,Оман
Ust Urt,Юзеф,Каракальпогистон
Ust Urt,KAZ,Aqtobe
Сонора,США,Аризона
Руб аль-Чали,ОАЭ,Эш Шарика
Калахари,АНГ,Куандо Кубинго
Каракум,ТМ,Балканские острова
Эрг Мактейр,РИМ,Мавритания
Негев,Ил,Южное
Эрг Чеч,DZ,Алжир
Чиуауа,США,Аризона
Муджункум,KAZ,Кызылорда
Каракум,Юзеф,Самарканд
Калахари,РБ,Ботсвана
Руб аль-Чали,С.А.,Саудовская Аравия
Ордос,ТДж,Шаанси
Ферло,SN,Луга
Фесан,ЛАР,Ливия
Великий Эрг Вест,DZ,Алжир
Оуихи,США,Айдахо
Ливийская пустыня,ЕТ,Эль-Минья
Пустыня,AUS,Квинсленд
Гоби,ТДж,Нэй Монголь
Ригестан,AFG,Афганистан
Хамада дю Драа,DZ,Алжир
Дашт-е-Лут,IR,Керман
Каракум,ТМ,Лебан
Тенере,TCH,Чад
Сирийская пустыня,СИР,Сирия
Ust Urt,KAZ,Мангистау
Кум Таг,ТДж,Синьцзян Уйгур
Пустыня,AUS,Северная территория
Дашт-е-Лут,IR,Систан и Белучестан
Каракум,Юзеф,Каракальпогистон
Площадь Нулларбора,AUS,Южная Австралия
Калахари,Z,Западный
Mojave,США,Аризона
Руб аль-Чали,ОАЭ,Абу-Даби
Каракум,ТМ,Мэри
Такла-Макан,ТДж,Синьцзян Уйгур
Большой бассейн,США,Юта
Красный центр,AUS,Южная Австралия
Большой бассейн,США,Калифорния
Арабская пустыня,ЕТ,Эль-Бахр-эль-Ахмар
Чиуауа,США,Новая Мексика
Дашт-е-Кавир,IR,Семнан
Рин,Р,Астраханская область
Руб аль-Чали,ОАЭ,Умм аль-Кайвейн
Пустыня Гибсон,AUS,Западная Австралия
Большой бассейн,США,Невада
Эрг Чеч,РММ,Мали
Ливийская пустыня,СУД,Эш Шамалия
Эрг Игиди,РИМ,Мавритания
Азауад,РН,Нигер
Оуихи,США,Невада
Пустыня в Нижней Калифорнии,МЕКС,Нижняя Калифорния
Колорадо Плато,США,Юта
Ферло,SN,Тамбакунда
Руб аль-Чали,ОАЭ,Аль-Фуджайра
Дашт-е-Кавир,IR,Тегеран
Организация &lt; &lt; Организация Объединенных Наций &gt; &gt;,ТДж,Цинхай
Кысилкум,Юзеф,Самарканд
Thar,СИН,Раджастан
Намиб,ДН,Намибия
Ордос,ТДж,Нэй Монголь
Эрг Исауан,DZ,Алжир
Ливийская пустыня,ЛАР,Ливия
Ливийская пустыня,ЕТ,Матрух
Thar,СИН,Гуджарат
Колорадо Плато,США,Колорадо
Эрг Игиди,РММ,Мали
Гоби,ТДж,Гансу
Ордос,ТДж,Нинксиа Хуидзу
Дашт-е-Лут,IR,Хорасан
Thar,СИН,Харьяна
Калахари,Z,Южный
Дашт-е-Лут,IR,Язд
