river,country,province
Рио Сан-Франциско,КР,Серджип
Мёр,Н,Зала
&lt; &lt; Рио Гранде &gt; &gt;,МЕКС,Тамаулипас
Санга,КБК,Конго
Гудзон Ривер,США,Нью-Йорк
Семлики,ЕАС,Уганда
Меконг,VN,Вьетнам
Карасу,ТR,Эрзинкан
Шилка,Р,Читинская область
Гвадалкивир,E,Андалусия
Тобол,Р,Тюменская область
Аргун,Р,Читинская область
Главное,D,Гессен
Днепр,UA,Херсонска
Таджо,Р,Лиссабон
Alz,D,Байерн
Прайт,RO,Галати
Иравадди,МЬЯ,Янгон
Черный кусок,AL,Австралия
Янгце,ТДж,Шанхай (шум)
Замбези,МПК,Маника
Мюррей Ривер,AUS,Южная Австралия
Гуадиана,Р,Авейро
Иллер,D,Баден Вуртемберг
Лувуа,ЗРЕ,Шаба/Катанга
Уругвай,Ру,Уругвай
Джокулса Фьоэллум,ИУ,Италия
Гётаэльв,И,Готеборг ох Бохус
Гуадиана,Р,Порто
Далаэльв,И,Уппсала
Габариты,СИН,Западный Бенгал
Заир,ЗРЕ,Бас Заир
Нарва,Р,Псковская область
Кемийоки,SF,Лаппия
Синий Нил,СУД,Аль-Хартум
Касаи,ЗРЕ,Бандунду
Кимижоки,SF,Уусимаа
Миссури,США,Миссури
Эннс,A,Штирия
Нил,ЕТ,Эль-Бухайра
Южная Морава,ОПП,Сербия
Реус,CH,АГ
Луалаба,ЗРЕ,Верхний Заир
Вольта,GH,Гана
Некар,D,Баден Вуртемберг
Уругвай,РЭ,Энтр-Риос
Верра,D,Нидераксен
Теннесси,США,Кентукки
Замбези,МПК,Замбезия
Брахмапутра,БД,Бангладеш
Эбро,E,Каталония
Бахр-эль-Гасаль,СУД,Aali a Nil
Уэлл,ЗРЕ,Уравнение
Ориноко,YV,Дельта Амакуро
Парана,РЭ,Энтр-Риос
Атбара,СУД,Эш Шамалия
Эльба,D,Нидераксен
Рейн,Нл,Зуид Холланд
Молдау,CZ,Праха
&lt; &lt; Шатт аль-Араб &gt; &gt;,ИРК,Аль-Анбар
Прайт,MD,Молдова
Эннс,A,Нижняя Австрия
Минсио,I,Венето
Вейксель,PL,Гданьское
Уэсер,D,Бремен
Мурат,ТR,Элазиг
Интенсивность,D,Байерн
Марн,F,Иль де Франция
Дон,Р,Ростовская область
Лулуа,ЗРЕ,Касаи
Остердалаэльв,И,Даларна
Евфрат,ИРК,Аль-Анбар
Иравадди,МЬЯ,Качин
Куанго,ЗРЕ,Бандунду
Уэсер,D,Нидераксен
Река Детройт,КН,Онтарио
Луапула,Z,Луапула
Хорошо.,Р,Нижегородская область
Сусона,Р,Вологодская область
Бому,ЗРЕ,Уравнение
Иртыш,Р,Тюменская область
Мёр,HR,Хорватия
Ривер Огайо,США,Иллинойс
Река Грузовик,США,Невада
Река Святого Лоуренса,КН,Квебек
Тьорса,ИУ,Италия
Сальзах,D,Байерн
Западная Морава,ОПП,Сербия
Рио Сан-Хуан,ЧР,Алахуэла
Сенегал,SN,Сент-Луис
Фими,ЗРЕ,Бандунду
Клараэльв,И,Вармленд
Река Аллегени,США,Пенсильвания
Волга,Р,Астраханская область
Колима,Р,Республика Саха
Po,I,Эмилия Романья
Собачья,СУД,Aali a Nil
Донау,RO,Тульцеа
Карун,IR,Хузестан
Парана,РЭ,Буэнос-Айрес
Пьэндш,AFG,Афганистан
Темба,ГБ,Кент
Бому,РСС,Центральноафриканская Республика
Нил,ЕТ,Думят
Гуадиана,E,Андалусия
Река Муррумбиджи,AUS,Новый Южный Уэльс
Вестердалаэльв,И,Даларна
Аллер,D,Нидераксен
Бахр-эль-Джебель/Альберт-Нил,СУД,Aali a Nil
Кура,AZ,Азербайджан
Умеэльв,И,Вастерботтен
Ангара,Р,Красноярский крей
Лейн,D,Тюринген
Нил,ЕТ,Эль-Дакалия
Санага,КАМ,Кот/литератор
Интенсивность,A,Тирол
Лена,Р,Республика Саха
Оулуйоки,SF,Оулу
Сомнения,F,Бургонский
Иордания,JOR,Иордания
март,SK,Словакия
Ломами,ЗРЕ,Верхний Заир
Вёрм,D,Байерн
Сохранить,ОПП,Сербия
Гамбия,ВАГ,Гамбия
Северная Двина,Р,Архангельская область
Мозель,D,Rheinland Pfalz
Чир,МПК,Тете
Рио Сан-Хуан,НИК,Никарагуа
Сальзах,A,Зальцбург
Луар,F,Платежи за обучение в Луаре
Лимат,CH,АГ
Маникуаган,КН,Квебек
Aare,CH,АГ
Длинная кость,AL,Австралия
Ольт,RO,Ольт
Гаронн,F,Аквитан
Рио Десагуадеро,БОЛ,Боливия
Хванхо,ТДж,Шаньдун
Морава,ОПП,Сербия
Парагвай,PY,Парагвай
Руки,ЗРЕ,Уравнение
Катун,Р,Альтайский крей
Фульда,D,Гессен
Саскачеванская река,КН,Саскачеван
Паатшоки,Н,Финнмарк
Арувими,ЗРЕ,Верхний Заир
Вааг,SK,Словакия
Колорадо,МЕКС,Сонора
Джениссдж,Р,Красноярский крей
Виктория Нил,ЕАС,Уганда
Рио-Мамор,БОЛ,Боливия
Гломма,Н,Остров
Бригач,D,Баден Вуртемберг
Нарын,TAD,Худжан
Парагвай,РЭ,Чако
Иордания,ЗАХОД,Западный берег
Люкни,ЗРЕ,Бандунду
Рузизи,ЗРЕ,Киву
Темба,ГБ,Эссекс
Доуро,Р,Порто
Прокрутка,Р,Ленинградская область
Эннс,A,Верхняя Австрия
Арканзас,США,Арканзас
Река Ниагара,КН,Онтарио
Ривьер Ришелье,КН,Квебек
Асахан,РИ,Индонезия
Etsch,I,Венето
Пьэндш,TAD,Хатлон
Шабель,СП,Сомали
Рио Сан-Франциско,КР,Алагоа
Лех,D,Байерн
Дорогая Ривер,AUS,Новый Южный Уэльс
Токантины,КР,Пункт
Река Коннектикут,США,Коннектикут
Амударья,Юзеф,Каракальпогистон
Вааль,RSA,Северный мыс
Колорадо,МЕКС,Нижняя Калифорния
Аммер,D,Байерн
Лимпопо,МПК,Газа
Урал,KAZ,Атырау
Тибер,I,Лацио
Изир,F,Рон-Алпес
&lt; &lt; Рио Гранде &gt; &gt;,США,Техас
Эннс,A,Зальцбург
март,A,Нижняя Австрия
Бусира,ЗРЕ,Уравнение
Рио Магдалена,CO,Атлантико
Чатанга,Р,Красноярский крей
Маас,Нл,Зуид Холланд
Лаген,Н,Акершус
Река Мерримак,США,Массачусетс
Река Юкон,США,Аляска
Днестр,UA,Odeska
