country,target
КАМ,Кристиан
B,Кристиан
Н,Кристиан
СП,нехристианские
МЬЯ,нехристианские
ДН,Кристиан
МПГ,нехристианские
I,Кристиан
HCA,Кристиан
ВАФА,Кристиан
РШМ,Кристиан
JOR,нехристианские
Клянусь!,Кристиан
IRL,Кристиан
РММ,нехристианские
NAU,Кристиан
ВАН,нехристианские
YV,Кристиан
TN,нехристианские
MD,Кристиан
Кейм,Кристиан
NEP,нехристианские
ГЭ,Кристиан
Q,нехристианские
ГРАД,Кристиан
РОУ,нехристианские
COM,нехристианские
ТВЧ,нехристианские
УРБ,Кристиан
СИР,нехристианские
КР,нехристианские
PL,Кристиан
ТМ,нехристианские
IR,нехристианские
С.А.,нехристианские
БОЛ,Кристиан
БРИН,нехристианские
ИУ,Кристиан
J,нехристианские
GQ,Кристиан
Н,Кристиан
ФЛ,Кристиан
ВАЛ,нехристианские
ГБЦ,Кристиан
DZ,нехристианские
SN,нехристианские
WS,Кристиан
ФСО,Кристиан
WL,Кристиан
HR,Кристиан
ARM,Кристиан
МПК,Кристиан
AUS,Кристиан
CO,Кристиан
TAD,нехристианские
БД,нехристианские
ФПОЛ,Кристиан
ЛАР,нехристианские
НКА,Кристиан
Парень,Кристиан
ВАГ,нехристианские
МВ,нехристианские
KWT,нехристианские
ФГУ,Кристиан
C,Кристиан
Газа,нехристианские
ДЖА,Кристиан
ПК,нехристианские
БРУ,нехристианские
РЭ,Кристиан
ОПП,Кристиан
KAZ,нехристианские
УР,Кристиан
ЕТ,нехристианские
ГУАМ,Кристиан
ЛБ,нехристианские
CI,нехристианские
МЭТ,нехристианские
RL,нехристианские
БИ,Кристиан
МАКХ,нехристианские
Мэйо,нехристианские
НОРФ,Кристиан
ОК,Кристиан
F,Кристиан
ВИРГ,Кристиан
ЭАК,Кристиан
E,Кристиан
Ру,Кристиан
ФШМ,Кристиан
АМСА,Кристиан
CH,Кристиан
ES,Кристиан
Z,Кристиан
SK,Кристиан
КОК,Кристиан
AFG,нехристианские
АНГ,Кристиан
МЕКС,Кристиан
COCO,нехристианские
И,Кристиан
МАРТ,Кристиан
G,Кристиан
ХОНКС,Кристиан
К,Кристиан
ГР,Кристиан
CY,Кристиан
Юзеф,нехристианские
ЕС,Кристиан
ТR,нехристианские
СИН,нехристианские
КН,Кристиан
РИ,нехристианские
MS,нехристианские
PY,Кристиан
БВИР,Кристиан
ПНГ,Кристиан
РТ,Кристиан
ГРОКС,Кристиан
СУД,нехристианские
КР,Кристиан
ДОМ,Кристиан
Р,Кристиан
ТУКА,Кристиан
МВт,Кристиан
СПМИ,Кристиан
РБ,Кристиан
SY,Кристиан
БиГ,нехристианские
ЗАХОД,нехристианские
WD,Кристиан
RG,нехристианские
РН,нехристианские
ЛС,Кристиан
Ил,нехристианские
БВ,нехристианские
М,Кристиан
ПР,Кристиан
МК,Кристиан
МНП,Кристиан
CZ,Кристиан
Кл,нехристианские
РП,Кристиан
ТДж,нехристианские
CV,Кристиан
SLO,Кристиан
ДК,Кристиан
К,нехристианские
РЧ,Кристиан
ТА,нехристианские
ТЛ,Кристиан
AL,нехристианские
MK,Кристиан
ВРЕМЯ,Кристиан
V,Кристиан
A,Кристиан
SF,Кристиан
МГ,Кристиан
FARX,Кристиан
РИМ,нехристианские
НЬЮ,Кристиан
TCH,нехристианские
AXA,Кристиан
Нл,Кристиан
БУ,Кристиан
ЭТО,нехристианские
КИР,Кристиан
АЗС,нехристианские
AZ,нехристианские
ТТ,Кристиан
Новой Зеландии,Кристиан
НИК,Кристиан
БГ,Кристиан
RCH,Кристиан
