city,province,country,island
Hertford,Hertfordshire,GB,Great Britain
Merthyr Tydfil,Merthyr Tydfil,GB,Great Britain
Pangkal Pinang,Indonesia,RI,Bangka
Llangefni,Anglesey,GB,Anglesey
Sevenoaks,Kent,GB,Great Britain
Brighton,East Sussex,GB,Great Britain
Southampton,Hampshire,GB,Great Britain
Okayama,Okayama,J,Honshu
Ruthin,Denbighshire,GB,Great Britain
San Juan,Puerto Rico,PR,Puerto Rico
Llandrindod Wells,Powys,GB,Great Britain
Banda Aceh,Indonesia,RI,Sumatra
Pekalongan,Indonesia,RI,Java
Suva,Fiji,FJI,Viti Levu
Liverpool,Merseyside,GB,Great Britain
Basse-Terre,Guadeloupe,GUAD,Basse-Terre
Ajaccio,Corse,F,Corse
Santa Clara,Villa Clara,C,Cuba
Ebbw Vale,Blaenau Gwent,GB,Great Britain
Kolonia,Micronesia,FSM,Ponape
Maebashi,Gumma,J,Honshu
Yamaguchi,Yamaguchi,J,Honshu
Guantanamo,Guantanamo,C,Cuba
Torshavn,Faroe Islands,FARX,Streymoy
Semarang,Indonesia,RI,Java
Jamestown,Saint Helena,HELX,Saint Helena
Magelang,Indonesia,RI,Java
Canterbury,Kent,GB,Great Britain
Ciego de Avila,Ciego de Avila,C,Cuba
Matsuyama,Ehime,J,Shikoku
Sanya,Hainan,TJ,Hainan
Fareham,Hampshire,GB,Great Britain
Crewe,Cheshire,GB,Great Britain
Pontianak,Indonesia,RI,Borneo
Ponta Delgada,Azores,P,Sao Miguel
Nassau,Bahamas,BS,New Providence
Elmbridge,Surrey,GB,Great Britain
Keflavik,Iceland,IS,Iceland
Majuro,Marshall Islands,MH,Majuro
Nagano,Nagano,J,Honshu
Beverley,Humberside,GB,Great Britain
Slough,Berkshire,GB,Great Britain
Milton Keynes,Buckinghamshire,GB,Great Britain
Gloucester,Gloucestershire,GB,Great Britain
Urawa,Saitama,J,Honshu
Matlock,Derbyshire,GB,Great Britain
Auckland,New Zealand,NZ,Te Ika-a-Maui (North Island)
Ujung Pandang,Indonesia,RI,Sulawesi
Antsiranana,Antsiranana,RM,Madagaskar
Victoria de las Tunas,Las Tunas,C,Cuba
Norwich,Norfolk,GB,Great Britain
Binjai,Indonesia,RI,Sumatra
Santa Cruz de Tenerife,Canary Islands,E,Teneriffa
Zamboanga,Philippines,RP,Mindanao
Fukushima,Fukushima,J,Honshu
Balikpapan,Indonesia,RI,Borneo
Surabaya,Indonesia,RI,Java
Bayamo,Granma,C,Cuba
Panchiao,Taiwan,RC,Taiwan
Pontypool,Torfaen,GB,Great Britain
Kings Lynn,Norfolk,GB,Great Britain
Rotherham,South Yorkshire,GB,Great Britain
Fort-de-France,Martinique,MART,Martinique
Dublin,Ireland,IRL,Ireland
Mytilini,Voreion Aiyaion,GR,Lesbos
Douglas,Man,GBM,Isle of Man
Victoria,Malta,M,Gozo
Dundee,Tayside,GB,Great Britain
Sapporo,Hokkaido,J,Hokkaido
Dorchester,Dorset,GB,Great Britain
Kochi,Kochi,J,Shikoku
Maidstone,Kent,GB,Great Britain
Utsonomiya,Tochigi,J,Honshu
Kingston,Norfolk Island,NORF,Norfolk Island
Fukuoka,Fukuoka,J,Kyushu
Tunbridge Wells,Kent,GB,Great Britain
Funafuti,Tuvalu,TUV,Fongafale
Newcastle upon Tyne,Tyne and Wear,GB,Great Britain
Cagayan de Oro,Philippines,RP,Mindanao
Christchurch,New Zealand,NZ,Te Waka-a-Maui (South Island)
Northallerton,North Yorkshire,GB,Great Britain
Yuzhno Sakhalinsk,Sakhalinskaya oblast,R,Sachalin
Gateshead,Tyne and Wear,GB,Great Britain
Saint Helier,Jersey,GBJ,Jersey
Pasig,Philippines,RP,Luzon
Port-Vila,Vanuatu,VU,Efate
Carlisle,Cumbria,GB,Great Britain
