name,islands,area,height,type,longitude,latitude
Сардиния,,24090.0,1834.0,,9.0,40.0
Маврикий,,1860.0,828.0,вулканический,57.0,-20.0
Лолланд,,1241.0,,,11.5,54.4
Панай,Филиппины,12297.0,2117.0,,122.5,11.15
Корово,Азорские острова,17.5,718.0,вулканический,-31.1,39.7
Бали,Острова Су́ндаландии,743122.0,4101.0,,113.67,-0.2
Большой Тёрк,Острова Turks и Кайманов,14.0,20.0,,-71.08,21.28
Остров Уайт,Британские острова,381.0,,,-1.3,50.6
Излей,Внутренние Гебридные острова,619.6,491.0,,7.0,62.1
Корфу,Ионические острова,593.0,906.0,,19.8,39.6
Бишоп-Рок,Острова Силли,,,,-6.3,50.0
Крете,,8331.0,2456.0,,25.0,37.0
Кракатау,Острова Су́ндаландии,,813.0,вулканический,105.6,-6.1
Тенериффа,Канареи,2034.0,3718.0,вулканический,-16.6,28.3
Церамика,Молукки,17100.0,3027.0,,128.0,-2.0
Ланаи,Гавайские острова,364.0,1027.0,,-157.0,20.5
Котельный остров,,11665.0,374.0,,141.0,75.4
Остров Рене Левассера,,2020.0,952.0,,-68.7,51.4
Порту-Санта,Мэдейра,42.0,517.0,вулканический,-16.35,33.0
Западная Фолклендская земля,Фолклендские острова,4532.0,700.0,,-60.1,-51.8
Маньто-Рейн,,2766.0,,,-82.2,45.75
Нижне-Терр,Малые Антильские острова,848.0,1467.0,вулканический,-61.8,16.15
Изабелла,Галапагосские острова,5436.0,1707.0,вулканический,-91.3,-1.0
Тахити,Острова Полинезии,1045.0,2241.0,вулканический,-149.34,-17.32
Окинава,Япония,2255.0,,вулканический,128.0,26.0
Боркум,Острова Остфрисия,31.0,6.0,,6.7,53.6
Тобаго,Малые Антильские острова,301.0,576.0,,-60.7,11.25
Филифуди,Липари,9.5,774.0,вулканический,14.55,38.6
Гранд-Терр,Малые Антильские острова,589.0,,вулканический,-61.4,16.3
Кюсю,Япония,35640.0,1758.0,вулканический,131.0,32.0
Кварратти,Лаккадивы,6.0,2.0,,72.6,10.6
Мальта,Мальта,246.0,252.0,,14.5,35.9
Мэдейра,Мэдейра,794.0,1861.0,вулканический,-16.0,31.0
