name,area,depth,altitude,type,river,longitude,latitude
Арресо,40.2,5.6,,,,12.1,56.0
Саляр де Уюни,10582.0,0.0,3650.0,соль,,-67.5,-20.1
Озеро Ирасу,1.0,,3200.0,кислота,,-83.9,10.0
Озеро Орихид,367.0,289.0,695.0,,Чёрный Дрин,20.7,41.0
Озеро Чаны,2500.0,106.0,10.0,,,77.5,54.9
Дарячех е Намак,1800.0,1.0,790.0,соль,,51.88,34.5
Великий Сладкий озеро,28568.0,614.0,156.0,,Река Маккензи,-113.9,61.7
Пайяянне,1118.0,95.0,78.0,,Каймёйоки,25.4,61.5
Лоп Нор,5000.0,0.0,780.0,соль,,90.6,40.2
Чиemsее,80.0,73.0,518.0,,Альц,12.4,47.9
Озеро Преспу,273.0,54.0,849.0,,,21.0,40.9
Озеро Виктория,68870.0,85.0,1134.0,,Виктория Нил,33.0,-1.0
Нусайдльер-Зе,320.0,1.8,115.5,,,16.7,47.8
Озеро Тахо,497.0,501.0,1900.0,,Трюки-Ривер,-120.0,39.0
Озеро Сезо-Секо/Альберт-Зе,5347.0,48.0,619.0,,Бахр-эль-Джабаль/Альберт-Нил,30.9,1.7
Озеро Эйаси,1050.0,,1030.0,соль,,35.0,-3.6
Озеро Хьюм,202.0,,,,Мюррей-Дэрлинг,147.0,-36.1
Боденское озеро,538.5,254.0,395.0,,Рейн,9.4,47.6
Озеро Кабора-Басси,2800.0,,326.0,искусственный,Замбеци,32.7,-15.6
Лох-ломонд,71.0,190.0,7.9,,,-4.59,56.08
Озеро Трасимено,128.0,7.0,259.0,кальдера,,12.1,43.1
Озеро Рука,5760.0,5.0,800.0,соль,,32.35,-8.0
Оаэ-Лейк,1453.0,,,искусственный,Миссури,-100.4,44.45
Озеро Танганьика,32893.0,1470.0,782.0,,Лукуга,30.0,-6.0
Озеро Атлин,798.0,283.0,668.0,,Река Юкон,-133.75,59.5
Озо Араль,17160.0,35.0,31.0,соль,,59.62,44.81
Мёса-Сее,368.0,449.0,123.0,,Лаген,11.0,60.65
Ваттерен,1900.0,119.0,88.0,,,14.5,58.3
Чев Бахир,800.0,7.5,520.0,соль,,36.85,4.7
Озеро Цинхае,4583.0,,3195.0,соль,,100.2,36.9
Пирамидное озеро,487.0,108.0,1155.0,соль,,-119.57,40.03
Оゼロ Ладьога,18400.0,225.0,4.0,,"Извините, я не понимаю ваш запрос. Можете ли вы повторить ваш вопрос или просьбу?",31.53,60.82
Хамун е Джаз Муриан,1600.0,,500.0,соль,,61.2,30.8
Озеро Гарда,370.0,346.0,65.0,,Минчо,10.65,45.6
Озеро Маникагоан,1942.0,,350.0,воздействие,,-68.7,51.4
Кратер-Лейк,53.2,594.0,1883.0,кальдера,,-122.1,42.9
Озеро Манагуа,1035.0,20.0,39.0,,Рио Сан-Хуан,-86.4,12.35
