abbreviation,name,city,country,province,established
Эскеп,Экономическая и социальная комиссия для Азии и Тихого океана,Бангкок,А,Таиланд,1947-03-28
БДЕАК,Банк развития государств Центральной Африки,Браззавиль,РКБ,Конго,1975-12-03
ЗЧ,Комитет Занга,,,,
В то время,Всемирная организация туризма,Мадрид,"Добро пожаловать в Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я с радостью предоставлю вам точный перевод.",Мадрид,1975-01-02
САКУ,Южноафриканское таможенное союз,Претוריה,RSA,Гутенг,1969-12-11
МИЭ,Международное энергетическое агентство,Париж,Ф,Иль-де-Франс,1974-11-15
ОАПЕК,Организация арабских стран-экспортеров нефти,,,,1968-01-09
ООНТСО,Организация по наблюдению за прекращением огня ООН,Иерусалим,ЕЛ,Центральный,1948-05-01
БСЭ,Зонa эконoмическoe souzdарение Black Sеa,,,,1992-06-25
МЕРКОСур,Южно-Конный общий рынок,Буенос-Айрес,А,Федеральный округ,1991-03-26
КЕ,Экономическая комиссия для Европы,Женева,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,GE,1947-03-28
ЦЕ,Совет Европы,Страсбург,Ф,Аляс,1949-05-05
WMO - Всемирная метеорологическая организация,Всемирная метеорологическая организация,Женева,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,GE,1947-10-11
АКК,Совет по сотрудничеству арабских государств,,,,1989-02-16
Африканский банк развития,Африканский банк развития,Абиджан,ЦИ,Кот-д’Ивуар,1963-08-04
АБЕДА,Арабский банк экономического развития в Африке,Хартум,СУД,אל-Хартум,1974-02-18
АМФ,Арабский монетарный фонд,Абудаби,ЭМИРАТЫ АБРАРА,Абудаби,1976-04-27
Г-15,Группа из 15 человек,Женева,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,GE,
ОЭСР,Организация экономического сотрудничества и развития,Париж,Ф,Иль-де-Франс,1960-12-14
АМУ,Союз арабских государств Магриба,Рабат,МА,Марокко,1989-02-17
МНДБ,Миссия Организации Объединенных Наций в Гаити,Нью-Йорк,США,Нью-Йорк,1993-09-23
АЛ,Лига арабских государств,Каир,ET,Эль-Каир,1945-03-22
Международный совет по авиацией,Международная организация гражданской авиации,Монреаль,КДН,Квебек,1944-12-07
КБСС,Совет государств Балтийского моря,,,,1992-03-05
УНРВА,Бюро Организации Объединенных Наций по оказанию помощи и работам в интересах палестинских беженцев на Ближнем Востоке,Вена,А,Вена,1949-12-08
UNООН,Миссия поддержки Организации Объединенных Наций для Руанды,Нью-Йорк,США,Нью-Йорк,1993-10-05
АИАЭ,Международное агентство по атомной энергии,Вена,А,Вена,1956-10-26
АГ,Група Анд,Пять,ПЭ,Пять,1969-05-26
СЧЁ,Агентство по культурному и техническому сотрудничеству,Париж,Ф,Иль-де-Франс,1970-03-21
Инмарсаат,Международная организация спутниковой связи,Лондон,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Более Лондона,1976-09-03
НИБ,Северный инвестиционный банк,Гельсинки,SF,УусИММА,1975-12-04
Г-10,Группа из 10 человек,Париж,Ф,Иль-де-Франс,1962-10-01
УНОМИЛ,Миссия наблюдателей Организации Объединенных Наций в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
ОΕΚС,Организация восточнокарибских государств,Кастрис,ВЛ,Сент-Люсия,1981-06-18
АСЕАН,Ассоциация государств Юго-Восточной Азии,Джакарта,Ри,Индонезия,1967-08-09
НАТО,Североатлантический договор,Брюссель,Б,Прованс,1949-09-17
Г-24,Группа из 24 человек,Брюссель,Б,Прованс,1972-01-01
Опанал,Агентство по запрещению ядерного оружия в Латинской Америке и Карибском бассейне,Мексико-Сити,Мексика,Федеральный округ,1967-02-14
БДИ,Банк исламского развития,Джидда,СА,Саудовская Аравия,1973-12-15
ФТИКУ,Международная конфедерация профсоюзов,Брюссель,Б,Прованс,1949-12-01
СААРК,Южно-азиатское сотрудничество,Катманду,НПЭП,Непал,1985-12-08
САДК,Южноафриканское сообщество по развитию,Габороне,РБ,Ботсвана,1992-08-17
UNФИКП,Силы Организации Объединенных Наций на Кипре,Нью-Йорк,США,Нью-Йорк,1964-03-04
АФЭСД,Арабский фонд экономического и социального развития,,,,1968-05-16
ЦЕГЛОПЛ,Экономическое сообщество стран Большого африканского озера,,,,1976-09-26
Удеак,Центральноафриканское таможенное и экономическое объединение,Банги,АВТОСЛАВ,Центральная Африканская Республика,1964-12-08
ВИДБ,Многосторонний банк развития для стран Америки,Вашингтон,США,Колумбия,1959-04-08
Спарцея,Южно-Тихоокеанское региональное соглашение о торговле и экономическом сотрудничестве,,,,1981-01-01
ООН,Организация Объединенных Наций по промышленному развитию,Вена,А,Вена,1966-11-17
Специальное управление ООН по наблюдению за прекращением огня,Группа военных наблюдателей Организации Объединенных Наций в Индии и Пакистане,Нью-Йорк,США,Нью-Йорк,1948-08-13
КАК,Центральноамериканская общая зона,Город Гватемалы,GКА,Гватемала,1960-12-13
ЭКЛАК,Экономическая комиссия для Латинской Америки и Карибского бассейна,Сантьяго,RЧ,Чили,1948-02-25
Европейский союз,Европейский Союз,Брюссель,Б,Прованс,1992-02-07
ФЗ,Фран-зона,Париж,Ф,Иль-де-Франс,1945-12-20
УНИКОМ,Миссия Организации Объединенных Наций по наблюдению за ситуацией между Ираком и Кувейтом,Нью-Йорк,США,Нью-Йорк,1991-04-09
КАН,Совет сотрудничества стран Северной Атлантики,Брюссель,Б,Прованс,1991-11-08
УНМОТ,Миссия наблюдателей ООН в Таджикистане,Нью-Йорк,США,Нью-Йорк,1994-12-16
АШТ,Азиатско-Тихоокеанское экономическое сотрудничество,Сингапур,SGP,Сингапур,1989-11-07
ВФАО,Международный фонд сельскохозяйственного развития,Рим,я,Лазио,1974-11-01
