country1,country2,length
Н,И,1619.0
ARM,AZ,787.0
КАМ,ВАН,1690.0
KOS,MK,159.0
СУА,HCA,256.0
БОЛ,RCH,861.0
ИРК,JOR,181.0
E,Р,1214.0
ЕТ,СУД,1273.0
DZ,РИМ,463.0
Клянусь!,PL,605.0
RO,ОПП,476.0
Н,RO,443.0
SK,UA,90.0
DZ,РН,956.0
IR,ПК,909.0
ЭАК,СП,682.0
МЬЯ,ТДж,2185.0
AFG,ТДж,76.0
Q,С.А.,60.0
PL,SK,444.0
F,МК,4.4
РСС,ЗРЕ,1577.0
РММ,SN,419.0
ЕАТ,ЗРЕ,459.0
AL,KOS,112.0
ЭАК,ЕАС,933.0
БГ,MK,148.0
ЧР,НИК,309.0
ПК,ТДж,523.0
СУД,ЗРЕ,628.0
ГНБ,RG,386.0
ДСО,СП,58.0
ЛТ,PL,91.0
CI,RG,610.0
BF,РТ,126.0
MD,RO,450.0
ЭВ,Р,290.0
ЕАТ,МВт,475.0
Норк,ТДж,1416.0
МНП,ОПП,124.0
ЕТ,Газа,11.0
KGZ,Юзеф,1099.0
RSA,ZW,225.0
CI,РММ,532.0
ГНБ,SN,338.0
RSA,УР,430.0
KAZ,KGZ,1051.0
СИН,МЬЯ,1463.0
AFG,Юзеф,137.0
БиГ,HR,932.0
КР,Ру,985.0
ИРК,СИР,605.0
DZ,МЭТ,1559.0
BZ,МЕКС,250.0
ДН,Z,233.0
A,D,784.0
AZ,Р,284.0
БОЛ,КР,3400.0
LAO,МЬЯ,235.0
TAD,ТДж,414.0
D,PL,456.0
ЕАТ,ЕАС,396.0
AFG,ПК,2430.0
RG,РММ,858.0
РИМ,РММ,2237.0
Бен,BF,306.0
KGZ,ТДж,858.0
РЭ,Ру,579.0
С.А.,ОАЭ,457.0
A,Н,366.0
CZ,D,646.0
