mountain,island
Керинчи,Суматра
Панчак Джая,Новая Гвинея
Piton des Neiges,Воссоединение
Виктория,Вити Леву
Piton de la Fournaise,Воссоединение
Канлаон,Негры
Г-н Один,Остров Баффин
Циафаявона,Мадагаскар
Гора Апо,Минданао
Гунунг Агунг,Бали
Пели,Мартиника
Кракатау,Кракатау
Мауна Луа,Гавайи
&lt; &lt; Роке де лос Мучачос &gt; &gt;,Ла-Пальма
Мантальингаджан,Палаван
Королева Марис Пик,Тристан-да-Кунья
Суфриер Хиллз,Монтсеррат
Pico de los Nieves,Гран Канариа
Рантекомбола,Сулавеси
Асахи-Дейк,Хоккайдо
Гунунг Бинайя,Церам
Ла Суфриер,Басс-Терре
Концепция,Айла да Ометепе
Халекала,Мауи
Oraefajokull,Италия
Фого,Фого
Leuser,Суматра
Пико,Пико
Голубая гора,Чили
Барбо Пик,Остров Эллесмир
Семеру,Ява
Тамбора,Сумбава
Ю Шан,Тайвань
Жима,Олкхон
Пико де Тейд,Тенерифа
Пулог,Лузон
Бен Невис,Великобритании
Суфриер,Сент-Винсент
Снэфелл,Италия
Диаблотины морна,Доминика
Руапеху,Те Ика-а-Мауи (Северный остров)
Г-н Бабель,Остров Рене Левассеур
Псилорит,Крета
Пико де Сан-Томе,Сан-Томе
Монте Синто,Корс
Мерапи,Ява
Олимпос,Кипр
М. Кук,Те Вака-а-Мауи (Южный остров)
Этна,Сицилия
Пинатубо,Лузон
Андрингитра,Мадагаскар
Мауна Кеа,Гавайи
Серро-де-Пунта,Пуэрто-Рико
Кинабалу,Борнео
Ринджани,Ломбок
Гилуве,Новая Гвинея
Вильгельм,Новая Гвинея
Сильвисили,Саваи
Пико Туркино,Куба
Tatamailau,Тимор
Mt. Balbi,Бугенвиль
Попоманасей,Гвадалканал
Пико Руиво,Мадейра
Пико Дуарти,Испаньола
Pico Basile,Биоко
Монт-Орохена,Таити
Царатанана,Мадагаскар
