name,country,population,area,capital,capprov
Зиланд,Нл,365846,1791.0,Миддельбург,Зиланд
Лжец,B,1006081,3862.0,Лжец,Лжец
Керман,IR,1862542,179916.0,Керман,Керман
Путумайо,CO,174219,24885.0,Мокоа,Путумайо
Дарфур,СУД,3093699,508684.0,Эль-Фашир,Дарфур
Пистолет,Н,957900,6394.0,Будапешт,Будапешт (муниципалитет)
Пернамбуко,КР,7404559,98937.0,Ресифи,Пернамбуко
Нэй Монголь,ТДж,22600000,1183000.0,Hohhot,Нэй Монголь
Филиппины,РП,74480848,,Манила,Филиппины
Пермская область,Р,3009400,160600.0,Перм,Пермская область
Эль-Минуфия,ЕТ,2449000,1532.0,Шибин-эль-Ком,Эль-Минуфия
Латвия,ЛВ,2468982,,Рига,Латвия
Тронделаг,Н,246824,,Тронхайм,Тронделаг
Хамадан,IR,1651320,19784.0,Хамадан,Хамадан
Касаи,ЗРЕ,3465756,156967.0,Кананга,Касаи
Вирджиния,США,6733996,105586.0,Ричмонд,Вирджиния
Уануко,ПЭ,722669,36938.0,Уануко,Уануко
Акершус,Н,393217,,Осло,Осло
BL,CH,252331,517.0,Лжебный,BL
Сирт,ТR,243435,5406.0,Сирт,Сирт
Пиауи,КР,2676098,252378.0,Терезина,Пиауи
Ваупы,CO,26178,65268.0,Миту,Ваупы
Курская область,Р,1346900,29800.0,Курск,Курская область
Нара,J,1430862,3692.0,Нара,Нара
Страна Басков,E,2075561,7235.0,Витория Гастеиз,Страна Басков
Жамбил,KAZ,1039600,144300.0,Жамбил,Жамбил
Хедмарк,Н,186355,,Хамар,Хедмарк
Мэриленд,США,5094289,27091.0,Аннаполис,Мэриленд
Бермудские острова,БЕРМ,67837,,Гамильтон,Бермудские острова
Согн-о-о-фьордане,Н,106116,,Германнсверк,Согн-о-о-фьордане
Брэганка,Р,158300,6608.0,Брэганка,Брэганка
Сага,J,884316,2433.0,Сага,Сага
Акмола,KAZ,845700,92000.0,Акмола,Акмола
Прахова,RO,877000,4694.0,Плоешти,Прахова
Майотта,Мэйо,223765,,Мамуцу,Майотта
Дольдж,RO,772000,7413.0,Крайова,Дольдж
Коморские Острова,COM,569237,,Морони,Коморские Острова
Калараси,RO,351000,5075.0,Калараси,Калараси
Репозиция Альтая,Р,201600,92600.0,Горно-Альтайск,Репозиция Альтая
Новгородская область,Р,742600,55300.0,Новгород,Новгородская область
Дияла,ИРК,955112,19076.0,Бакуба,Дияла
Замойский,PL,490800,6980.0,Замоск,Замойский
Лунда Сул,АНГ,155000,56985.0,Сауримо,Лунда Сул
Диурбел,SN,619700,4359.0,Диурбел,Диурбел
Плокки,PL,518600,5117.0,Плоскость,Плокки
Французская Гвиана,ФГУ,151187,,Кайенн,Французская Гвиана
Кувейт,KWT,1950047,,Кувейт,Кувейт
Бликинг,И,151168,2941.0,Карлскрона,Бликинг
Аомори,J,1481663,9619.0,Аомори,Аомори
Осло,Н,449337,,Осло,Осло
Кена,ЕТ,2493000,1851.0,Кена,Кена
Новая Мексика,США,1729751,314925.0,Санта-Фе,Новая Мексика
Брабант,B,2253794,3358.0,Брюссель,Брабант
Норте Cuanza,АНГ,378000,24110.0,Ндалатандо,Норте Cuanza
