name,country,province,population,longitude,latitude
Dededo,GUAM,Guam,46000.0,144.8,13.5
Mary,TM,Mary,94900.0,,
Bilbao,E,Basque Country,371876.0,,
Rajahmundry,IND,Andhra Pradesh,324881.0,,
Zhezkazghan,KAZ,Zhezkazghan,,,
Toledo,USA,Ohio,332943.0,-83.8,41.6
Kaesong,NOK,North Korea,120000.0,,
Harrogate,GB,North Yorkshire,146500.0,,
Duque de Caxias,BR,Rio de Janeiro,712370.0,,
Pretoria,RSA,Gauteng,526000.0,28.2333,-25.75
Merida,YV,Merida,170902.0,,
Chernihiv,UA,Chernihivska,301000.0,,
Benha,ET,El Qalubiya,120000.0,,
St. Petersburg,USA,Florida,240318.0,-83.3333,27.7667
Musoma,EAT,Mara,,,
Mansfield,GB,Nottinghamshire,102100.0,,
Stockton on Tees,GB,Cleveland,177800.0,,
Ostrava,CZ,Severomoravsky,332000.0,,
Vladimir,R,Vladimirskaya oblast,339000.0,,
Sukkur,PK,Pakistan,190551.0,,
Majunga,RM,Mahajanga,200000.0,,
Buea,CAM,Sudoueste,,,
Yuzhno Sakhalinsk,R,Sakhalinskaya oblast,160000.0,,
Dourados,BR,Mato Grosso do Sul,153165.0,,
Ouagadougou,BF,Burkina Faso,,-2.0,12.0
Taizhou,TJ,Jiangsu,152442.0,,
Poole,GB,Dorset,137200.0,,
Salem,IND,Tamil Nadu,366712.0,,
Tbilisi,GE,Georgia,1200000.0,44.8,41.7167
Kuwait,KWT,Kuwait,167768.0,47.3,29.3
Longjing,TJ,Jilin,139417.0,,
Limoges,F,Limousin,133464.0,1.2,45.5
Juazeiro,BR,Bahia,171904.0,,
Qaemshahr,IR,Mazandaran,123684.0,,
Kavalla,GR,Anatoliki Makedhonia kai Thraki,56705.0,,
Gorgan,IR,Mazandaran,162468.0,,
Denver,USA,Colorado,467610.0,-104.867,39.75
Pamplona,E,Navarre,182465.0,,
