country,name,percentage
CL,Tamil,18.0
USA,Native American,0.8
SRB,Serb,82.9
ZW,Asian,1.0
BD,Bengali,98.0
IR,Kurd,7.0
MYA,Chinese,3.0
WAL,African,99.0
RO,Roma,1.6
EAU,Arab,1.0
MART,Chinese,5.0
PL,German,1.3
AFG,Hazara,19.0
MACX,Chinese,95.0
SME,Hindustani,37.0
A,Slovene,0.2
TN,Jewish,1.0
AFG,Tajik,25.0
AUS,Asian,4.0
MD,Jewish,1.5
IRQ,Arab,75.0
PY,Amerindians,5.0
MA,Arab-Berber,99.1
PA,Indian,6.0
UA,Jewish,1.0
RCA,Mandjia,21.0
SN,European Lebanese,1.0
GE,Abkhaz,1.8
MA,Jewish,0.2
IND,Mongol,3.0
A,Croat,0.3
