river,country,province
Morava,SRB,Serbia
Oka,R,Nizhegorodskaya oblast
Indus,PK,Pakistan
Ohio River,USA,Illinois
Rio Magdalena,CO,Atlantico
Saone,F,Rhone Alpes
Loire,F,Pays de la Loire
Lomami,ZRE,Haut Zaire
Saar,D,Rheinland Pfalz
Drin,AL,Albania
March,SK,Slovakia
Asahan,RI,Indonesia
Hudson River,USA,New York
Oranje,NAM,Namibia
Tshuapa,ZRE,Equateur
Dalaelv,S,Uppsala
Saluen,MYA,Mon
Enns,A,Lower Austria
Joekulsa a Fjoellum,IS,Iceland
Ural,KAZ,Atyrau
Tiber,I,Lazio
Rio Negro,BR,Amazonas
Jangtse,TJ,Shanghai (munic.)
Rio Lerma,MEX,"Mexico, Estado de"
Salzach,D,Bayern
Kymijoki,SF,Uusimaa
Fulda,D,Hessen
Riviere Richelieu,CDN,Quebec
Missouri,USA,Missouri
Connecticut River,USA,Connecticut
Oder,D,Mecklenburg Vorpommern
Argun,R,Chitinskaya oblast
Schilka,R,Chitinskaya oblast
Mincio,I,Veneto
Semliki,EAU,Uganda
Murat,TR,Elazig
Jangtse,TJ,Jiangsu
Karun,IR,Khuzestan
Colorado,MEX,Baja California
Nile,ET,El Buhayra
Senegal,SN,Saint Louis
Ruzizi,ZRE,Kivu
Schari,TCH,Chad
Amazonas,BR,Para
Kasai,ZRE,Bandundu
Benue,WAN,Nigeria
Ubangi,ZRE,Equateur
Shabelle,SP,Somalia
Tennessee,USA,Kentucky
Swir,R,Leningradskaya oblast
Cuilo,ZRE,Bandundu
Western Dwina,LV,Latvia
Naryn,TAD,Khujand
Mississippi,USA,Louisiana
Jenissej,R,Krasnoyarskiy kray
Guadiana,P,Porto
Oesterdalaelv,S,Dalarna
Mur,H,Zala
Rhone,F,Provence Cote dAzur
Po,I,Veneto
Kokemaeenjoki,SF,Turku-Pori
Iller,D,Bayern
Goetaaelv,S,Goteborg och Bohus
Donau,UA,Odeska
Volta,GH,Ghana
Amazonas,BR,Amapa
Ammer,D,Bayern
Tajo,P,Lisbon
Murray River,AUS,South Australia
Syrdarja,UZB,Toshkent
Garonne,F,Aquitaine
Dnepr,UA,Khersonska
Sanga,RCB,Congo
Enns,A,Salzburg
Pruth,MD,Moldova
Tigris,IRQ,Al Anbar
Ounasjoki,SF,Lappia
Vuoksi,R,Rep. of Karelia
Arkansas,USA,Arkansas
