mountain,country,province
Andringitra,RM,Fianarantsoa
Jabal Katrina,ET,Sina al Janubiyah
Citlaltepetl (Pico de Orizaba),MEX,Puebla
Cotopaxi,EC,Ecuador
Grand Ballon,F,Lorraine
Pikes Peak,USA,Colorado
Monte Pissis,RA,La Rioja
Gunung Agung,RI,Indonesia
Pidurutalagala,CL,Sri Lanka
Mt. Babel,CDN,Quebec
Karisimbi,RWA,Rwanda
Manaslu,NEP,Nepal
Kangchendzonga,IND,Sikkim
Rantekombola,RI,Indonesia
Pico de Agulhas Negras,BR,Rio de Janeiro
Mt St.Elias,USA,Alaska
Grossglockner,A,Carinthia
Kebnekaise,S,Norrbotten
Ben Nevis,GB,Highland
Clingmans Dome,USA,Tennessee
Ojos del Salado,RCH,Chile
Gannett Peak,USA,Wyoming
Monte Rosa,CH,VS
Etna,I,Sicilia
Merapi,RI,Indonesia
Portefjaellen,S,Norrbotten
Popomanaseu,SLB,Solomon Islands
Tambora,RI,Indonesia
Barre des Ecrins,F,Rhone Alpes
Concepcion,NIC,Nicaragua
Kilimanjaro,EAT,Kilimanjaro
Mauna Kea,USA,Hawaii
Gasherbrum II,PK,Pakistan
Moldoveanu,RO,Sibiu
Boundary Peak,USA,California
Monte Cinto,F,Corse
Pico Bolivar,YV,Merida
Pico de Aneto,E,Aragon
Kanlaon,RP,Philippines
Fujisan,J,Yamanashi
Finsteraarhorn,CH,VS
Tahan,MAL,Pahang
Annapurna,NEP,Nepal
Demirkazik,TR,Nigde
Sulitjelma,S,Norrbotten
Joekul,N,Hordaland
Lhotse,NEP,Nepal
Mt Blackburn,USA,Alaska
Tubkhal,MA,Morocco
Pico Rocarre,PE,Ancash
Semeru,RI,Indonesia
Silisili,WS,Samoa
Cerro Chirripo,CR,Cartago
Jabal Shuayb,YE,Yemen
Tahat,DZ,Algeria
Nanga Parbat,PK,Pakistan
Pico,P,Azores
Gran Sasso,I,Abruzzo
Llullaillaco,RA,Tucuman
Broad Peak,TJ,Xinjiang Uygur
Jabal Marra,SUD,Darfur
Mt Robson,CDN,British Columbia
