name,mountains,height,type,longitude,latitude
Psiloritis,Crete,2456.0,,24.7,35.2
Pico Cristobal Colon,Sierra Nevada de Santa Marta,5775.0,,-73.7,10.85
Tirich Mir,Hindukusch,7690.0,,71.8,36.25
Gran Sasso,Apennin,2912.0,,13.55,42.5
Olympos,Troodos,1952.0,,32.85,34.9
Kasbek,Kaukasus,5033.0,volcanic,44.31,42.42
Mount Everest,Himalaya,8848.0,,86.9,28.0
Korab,Balkan,2751.0,,20.3,41.4
Gunung Binaiya,,3027.0,,129.3,-3.1
Dhaulagiri,Himalaya,8167.0,,83.5,28.7
Mt.Victoria,,1323.0,volcanic,178.0,-17.8
Pico Ruivo,Madeira,1861.0,volcanic,-16.0,31.0
Karisimbi,East African Rift,4507.0,volcano,29.45,-1.5
Kinabalu,,4101.0,granite,116.5,6.1
Mt Columbia,Rocky Mountains,3747.0,,-117.44,52.15
Torre de Estrela,Cordillera Central,1993.0,,-7.6,40.3
Mt McKinley,Alaska Range,6193.0,,-151.0,63.1
Kanlaon,,2435.0,volcano,123.1,10.4
Finsteraarhorn,Alps,4274.0,,8.1,46.5
Monte Rosa,Alps,4634.0,,7.9,45.9
Concepcion,,1700.0,volcano,-85.6,11.5
Feldberg,Schwarzwald,1493.0,,7.5,47.5
Piton de la Fournaise,,2631.0,volcano,55.7,-21.2
Pik Chan-Tengri,Tien Shan,6995.0,,80.0,43.0
Leuser,,3466.0,volcanic,98.0,3.0
Zard Kuh,Zagros,4550.0,,50.1,32.35
Kangchendzonga,Himalaya,8586.0,,88.1,27.7
Oraefajokull,,2110.0,volcano,64.0,16.39
Pik Pobeda,Tien Shan,7439.0,,80.1,42.0
Pik Moskva,Pamir,6785.0,,71.5,39.0
Moncayo,Cordillera Iberica,2313.0,,1.85,41.8
Mantalingajan,,2085.0,volcanic,118.4,9.7
Fogo,Cape Verdes,2829.0,volcano,-24.4,14.95
Puy De Dome,Cevennes,1465.0,volcanic,3.0,45.8
Glittertind,,2452.0,,8.1,61.4
Mt. Cook,New Zealand Alps,3754.0,,170.2,-43.6
Pico de los Nieves,Canary Islands,1949.0,volcano,-15.6,25.95
Jabal Lubnan,Lebanon,3088.0,,36.1,34.3
Snaefell,,1833.0,volcanic,-15.2,64.5
Barbeau Peak,British Empire Range,2616.0,,-75.0,81.9
Gannett Peak,Rocky Mountains,4207.0,,-110.0,43.2
Mawenzi,East African Rift,5148.0,volcano,37.45,-3.1
Demirkazik,Taurus,3756.0,,35.2,37.8
Ararat,Kurdistan,5165.0,volcanic,44.3,39.7
Cathkin Peak,Drakensberge,3181.0,,29.35,-29.1
Schneekoppe,Sudety Mountains,1602.0,,15.7,50.7
Makalu,Himalaya,8485.0,,87.1,27.9
Ruapehu,,2797.0,volcano,175.6,-39.3
Pik Revoluzija,Pamir,6974.0,,72.2,38.3
Sajama,Andes,6542.0,volcano,-68.9,-18.1
Cotopaxi,Andes,5897.0,volcano,-78.4,-0.7
GerlachovskyStit,Beskides,2655.0,,20.1,49.2
Humphreys Peak,Rocky Mountains,3850.0,volcanic,-111.65,35.3
Mt. Babel,,952.0,,-68.7,51.45
Alpamayo,Cordillera Blanca,5947.0,,-77.7,-8.9
Pico Turquino,Sierra Maestra,1974.0,,-76.8,20.0
Mont Blanc,Alps,4808.0,,6.8,45.8
Mont Orohena,,2241.0,volcanic,-149.5,-17.6
Elbrus,Kaukasus,5642.0,volcanic,42.26,43.21
Sulitjelma,,1914.0,,16.2,67.1
Dodabetta,West Ghats,2636.0,,76.7,11.4
Queen Marys Peak,,2060.0,volcano,-12.3,-37.1
Musala,Balkan,2925.0,,23.6,42.2
Merapi,,2914.0,volcano,110.4,-7.5
Gasherbrum II,Karakorum,8034.0,,76.65,35.75
Borah Peak,Rocky Mountains,3859.0,,-113.8,44.1
Tarrekaise,,1850.0,,17.3,67.0
Mt Logan,Elias Range,5959.0,,-140.4,60.6
Lhotse,Himalaya,8516.0,,86.9,28.0
Olymp,,2917.0,,22.35,40.1
