country,target
AZ,non-Christian
COOK,Christian
SUD,non-Christian
C,Christian
FPOL,Christian
ANG,Christian
MS,non-Christian
CV,Christian
TN,non-Christian
BZ,Christian
LB,non-Christian
CH,Christian
AND,Christian
WL,Christian
RP,Christian
RO,Christian
WD,Christian
A,Christian
LAR,non-Christian
MNE,Christian
MA,non-Christian
AMSA,Christian
GUAD,Christian
TJ,non-Christian
NEP,non-Christian
GUAM,Christian
DK,Christian
RIM,non-Christian
LAO,non-Christian
V,Christian
SPMI,Christian
AL,non-Christian
TCH,non-Christian
SLO,Christian
SY,Christian
ES,Christian
SF,Christian
CDN,Christian
MEX,Christian
EC,Christian
FSM,Christian
BIH,non-Christian
BS,Christian
