country1,country2,length
Да,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1619.0
ГЕ,"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",723.0
B,"Добро пожаловать в Coral, искусственный интеллект, который поможет вам с переводом. Я могу помочь перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",620.0
"Добро пожаловать в наш чат-бот! Я с радостью помогу вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь дать точный и естественный перевод.",ДК,68.0
МОК,А.С.А.,491.0
Бр,ВИ,2200.0
"Добро пожаловать в Coral, искусственный интеллект, который поможет вам с переводом. Я могу помочь перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",МЧ,4.4
ГЕ,Тр,252.0
Чешская Республика,"Добро пожаловать в наш чат-бот! Я с радостью помогу вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь дать точный и естественный перевод.",646.0
ET,Я,255.0
Необходим перевод?,ПК,2912.0
БЕН,RT,644.0
Р,УА,531.0
"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно?",МК,148.0
ТАП,узб,1161.0
LV,"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",217.0
Эфир,СУД,1606.0
БФ,RT,126.0
ГГ,RT,877.0
ДЗ,А,1559.0
А,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода.",366.0
Хорошо,В реальной жизни,360.0
"Добро пожаловать в мой мир, где слова оживают и превращаются в волшебные мосты между языками! Я - ваш верный помощник, готовый перевести ваши мысли и идеи на понятный и точный русский язык. Давайте начнём наше увлекательное путешествие!",СА,728.0
Афганистан,ТЖ,76.0
И,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время. Я могу перевести для вас текст с английского на русский язык. Как я могу вам помочь сегодня?",65.0
ХСА,НИК,922.0
По,"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",959.0
ОМ,СА,676.0
СН,ВГ,740.0
ЦИ,ГГ,668.0
